,X,STUDY_ID,REVIEWERS,INCLUDE,STUDY_ID.1,TITLE,AU,PY,ABSTRACT
1,1,77,All,not vetted,6655,LARGE MAMMAL SPECIES RICHNESS AND HABITAT USE IN AN UPPER AMAZONIAN FOREST USED FOR ECOTOURISM,SALVADOR SALVADOR;CLAVERO MIGUEL;PITMAN RENATA LEITE,2011,"ecotourism has often been presented as the only sustainable source of incomes for the inhabitants of upper amazonia, yet the real socioeconomic benefits of the activity remain controversial and its impact on wildlife, poorly studied. we assessed the diversity of large mammals in a land plot used for ecotourism in the banks of alto madre de dios river (manu biosphere reserve, peru) by conducting 186 km of walk censuses complemented with interviews over a period of 4 months. we found that the species richness and composition were similar to those found in two adjacent pristine sites, but varied within seasons and forest types. the floodplain forest seemed to host a large number of species continuously throughout the year, whereas the terra firme was occupied by a consistently impoverished fauna during the dry season scarcity period. our results confirm the existence of lateral seasonal movements between forest types and subtypes and the preference of many species for riverine habitats. therefore, we advocate that ecotourism reserves along major rivers may act as effective faunal refugees and provide one of the few opportunities for the conservation of floodplain habitats outside strictly protected areas in a mosaic landscape threatened by bouncing populations of colonists. (c) 2010 deutsche gesellschaft fur saugetierkunde. published by elsevier gmbh. all rights reserved."
2,2,94,All,not vetted,2577,Selective responses of benthic foraminifera to thermal pollution,TITELBOIM DANNA;ALMOGI-LABIN AHUVA;HERUT BARAK;KUCERA MICHAL;SCHMIDT CHRISTIANE;HYAMS-KAPHZAN ORIT;OVADIA OFER;ABRAMOVICH SIGAL,2016,"Persistent thermohaline pollution at a site along the northern coast of israel, due to power and desalination plants, is used as a natural laboratory to evaluate the effects of rising temperature and salinity levels on benthic foraminifera living in shallow hard-bottom habitats. Biomonitoring of the disturbed area and a control station shows that elevated temperature is a more significant stressor compared to salinity, thus causing a decrease in abundance and richness. Critical temperature thresholds were observed at 30 and 35 degrees c, the latter representing the most thermally tolerant species in the studied area pararotalia calcariformata, which is the only symbiont-bearing species observed within the core of the heated area. Common species of the shallow hard-bottom habitats including several lessepsian invaders are almost absent in the most exposed site indicating that excess warming will likely impede the survival of these species that currently benefit from the ongoing warming of the eastern mediterranean. (C) 2016 elsevier ltd. All rights reserved."
3,3,109,All,not vetted,3924,The role of fragmentation and landscape changes in the ecological release of common nest predators in the neotropics,COVE MICHAEL V;MANUEL SPINOLA R;JACKSON VICTORIA L;SAENZ JOEL C,2014,"Loss of large mammalian carnivores may allow smaller mesopredators to become abundant and threaten other community members. There is considerable debate about mesopredator release and the role that other potential factors such as landscape variables and human alterations to land cover lead to increased mesopredator abundance. We used camera traps to detect four mesopredators (tayra, eira barbara; white-nosed coati, nasua narica; northern raccoon, procyon lotor; and common opossum, didelphis opossum) in a biological corridor in costa rica to estimate habitat covariates that influenced the species' detection and occurrence. We selected these mesopredators because as semi-arboreal species they might be common nest predators, posing a serious threat to resident and migratory songbirds. Pineapple production had a pronounced positive effect on the detectability of tayras, while forest cover had a negative effect on the detection of coatis. This suggests that abundance might be elevated due to the availability of agricultural food resources and foraging activities are concentrated in forest fragments and pineapple edge habitats. Raccoon and opossum models exhibited little influence on detection from habitat covariates. Occurrence models did not suggest any significant factors influencing site use by nest predators, revealing that all four species are habitat generalists adapted to co-existing in human altered landscapes. Furthermore, fragmentation and land cover changes may predispose nesting birds, herpetofauna, and small mammals to heightened predation risk by mesopredators in the neotropics."
4,4,153,All,not vetted,3456,EFFECT OF RECREATIONAL DIVING ON PATAGONIAN ROCKY REEFS,BRAVO GONZALO;MARQUEZ FEDERICO;MARZINELLI EZEQUIEL M;MENDEZ MARIA M;BIGATTI GREGORIO,2015,"tourism has grown considerably in the last decades, promoting activities such as recreational scuba diving that may affect marine benthic communities. in puerto madryn, patagonia argentina, sub-aquatic tourism areas (sta) receive about 7,000 divers per year. diving is concentrated on a few small rocky reefs and 50% of the dives occur in summer. in this work, we evaluated the effect of recreational diving activities on benthic communities and determined whether diving causes a press (long-term) or a pulse (short-term) response. we quantified the percentage cover of benthic organisms and compared benthic assemblage structure and composition between two sites with contrasting usage by divers, 'highly disturbed' and 'moderately disturbed' sites, and two 'control' sites with similar physical characteristics but no diving activity, twice before and after the diving peak in summer. we found differences in benthic assemblage structure (identity and relative abundance of taxa) and composition (identity only) among diving sites and controls. these differences were consistent before and after the peak of diving in summer, suggesting that recreational diving may produce a press impact on overall benthic assemblage structure and composition in these sta. at the moderately disturbed site, however, covers of specific taxa, such as some key habitat-forming or highly abundant species, usually differed from those in controls only immediately after summer, after which they begun to resemble controls, suggesting a pulse impact. thus, sta in golfo nuevo seem to respond differently to disturbances of diving depending on the usage of the sites. this information is necessary to develop sound management strategies in order to preserve local biodiversity. (c) 2014 elsevier ltd. all rights reserved."
5,5,329,All,not vetted,1488,Impacts of oil palm expansion on avian biodiversity in a neotropical natural savanna,LOPEZ-RICAURTE LINA;EDWARDS DAVID P;ROMERO-RODRIGUEZ NABHI;GILROY JAMES J,2017,"The consequences of converting tropical rainforest to oil palm are well-documented, but the impacts of oil palm conversion on natural savanna landscapes remain little-known. Natural savannas in south america have been identified as fertile grounds for future oil palm expansion, partly due to perceived low biodiversity impacts relative to forest systems. We quantify the impacts of oil palm conversion for bird communities inhabiting natural savannas in the colombian flaws. Bird species richness and abundance were significantly reduced at sampling points in oil palm relative to adjacent natural savannas, with marked concomitant shifts in community composition. Aquatic, forest and grassland specialists all showed significantly lower abundances in oil palm habitat relative to savanna, as did migratory species and carnivorous/insectivorous dietary guilds. In both habitats, point-level species richness and total bird abundance increased with proximity to remnant forest patches. Within savanna, total bird abundance also decreased with proximity to adjacent oil palm, though species richness was not significantly affected. Within oil palm, point-level abundance increased with proximity to savanna, suggesting that communities in both habitats may be impacted by reciprocal edge or spill-over effects. Point-level abundance in oil palm also increased significantly with the presence of an invasive vine 'kudzu', a species introduced in some plantations as a soil protection measure, although species richness was not affected. Our work underlines the need for careful monitoring of further large-scale agro-industrial conversion in the llanos. In particular, we suggest greater efforts to direct oil palm expansion towards already degraded lands (e.g. Improved grassland areas currently used for intensive cattle grazing) to ensure remaining natural savannas are spared."
6,6,1,Anna,not vetted,300,"Aquatic macroinvertebrate diversity and conservation management of taungthaman lake, amarapura township, mandalay region, myanmar",LWIN NYUNT;SAW THANDAR;KHAING KHIN YEE MON;KHAING MI MI,2019,"Diversity of aquatic macroinvertebrate and conservation management was studied in taungthaman lake, during november 2018-february 2019. In order to bioassay water quality and aquatic health analysis using diversity indices. Species richness values of 15, 15, 18 and 31, evenness values of 0.78, 0.82, 0.78, and 0.71, shannon-wiener index values of 3.06, 3.04, 3.25 and 5.63, and simpson's index values of 0.133, 0.117, 0.100, and 0.074 were determined for macroinvertebrates. In the present study, low diversity indices, like the shannon-wiener index, demonstrated that the lake is polluted and poor health status. Taungthaman lake supports a highly productive freshwater capture/culture fishery and also an important tourist attraction. Although the lake is highly valuable in its natural state, it is also highly vulnerable to the impact of external factors. Therefore, it is necessary to prevent and conservation management of aquatic environment of lake health."
7,7,21,Anna,not vetted,2567,Land use biodiversity impacts embodied in international food trade,CHAUDHARY ABHISHEK;KASTNER THOMAS,2016,"Agricultural land use to meet the demands of a growing population, changing diets, lifestyles and biofuel production is a significant driver of biodiversity loss. Globally applicable methods are needed to assess biodiversity impacts hidden in internationally traded food items. We used the countryside species area relationship (sar) model to estimate the mammals, birds, amphibians and reptiles species lost (i.e. Species 'committed to extinction') due to agricultural land use within each of the 804 terrestrial ecoregion. These species lost estimates were combined with high spatial resolution global maps of crop yields to calculate species lost per ton for 170 crops in 184 countries. Finally, the impacts per ton were linked with the bilateral trade data of crop products between producing and consuming countries from fao, to calculate the land use biodiversity impacts embodied in international crop trade and consumption. We found that 83% of total species loss is incurred due to agriculture land use devoted for domestic consumption whereas 17% is due to export production. Exports from indonesia to usa and china embody highest impacts (20 species lost at the regional level each). In general, industrialized countries with high per capita gdp tend to be major net importers of biodiversity impacts from developing tropical countries. Results show that embodied land area is not a good proxy for embodied biodiversity impacts in trade flows, as crops occupying little global area such as sugarcane, palm oil, rubber and coffee have disproportionately high biodiversity impacts. (C) 2016 elsevier ltd. All rights reserved."
8,8,23,Anna,not vetted,2613,Assessing species traits and landscape relationships of the mammalian carnivore community in a neotropical biological corridor,VARGAS LAIN E PARDO;COVE MICHAEL V;MANUEL SPINOLA R;CAMILO DE LA CRUZ JUAN;SAENZ JOEL C,2016,"Mammalian carnivores play an important role in regulating food webs and ecosystems. While many carnivore populations are facing various threats such as habitat loss and fragmentation, poaching, and illegal trade, others have adapted to human-dominated landscapes. Information about neotropical carnivore communities in particular is limited, especially in disturbed landscapes. We conducted a camera trap survey at 38 sites across the san juan-la selva biological corridor in costa rica to assess occupancy and detection probabilities of the carnivore community. We developed hypotheses within a likelihood-based framework in order to determine the landscape features and species traits (diet and size) that influenced their occupancy. We detected nine of the 13 native carnivores predicted to occur in the corridor. When modeled separately, each species responded to land cover changes differently, suggesting no strong community-wide predictors of occupancy. We then modeled three separate guilds within the carnivore community: omnivorous mesopredators, obligate carnivorous mesopredators, and apex predators. These community guild models revealed a negative relationship between omnivorous mesopredators and increasing forest and tree plantation cover, suggesting omnivores utilize forest fragments and edge habitats in agricultural landscapes. Obligate carnivorous mesopredator models did not reveal any strong habitat relationships, but landscape effects tended to contradict our a priori predictions. Apex predators were positively associated with increasing forest and tree plantation cover, protected areas, and increasing distances to villages. Alarmingly, apex predators and obligate carnivorous mesopredators were generally rare within the biological corridor. A lack of top-down control alone might result in heightened occupancy for all mesopredators, but because the community is dominated by omnivorous species, bottom-up release from human-induced land cover changes and resource provision may better explain their high occupancy."
9,9,38,Anna,not vetted,4087,Assessment of bird response to the migratory bird habitat initiative using weather-surveillance radar,SIEGES MASON L;SMOLINSKY JACLYN A;BALDWIN MICHAEL J;BARROW WYLIE C JR;RANDALL LORI A;BULER JEFFREY J,2014,"In response to the deepwater horizon oil spill in spring 2010, the natural resources conservation service implemented the migratory bird habitat initiative (mbhi) to provide temporary wetland habitat for migrating and wintering waterfowl, shorebirds, and other birds along the northern gulf of mexico via managed flooding of agricultural lands. We used weather-surveillance radar to conduct broad regional assessments of bird response to mbhi activities within the mississippi alluvial valley and the west gulf coastal plain. Across both regions, birds responded positively to mbhi management by exhibiting greater relative bird densities within sites relative to pre-management conditions in prior years and relative to surrounding non-flooded agricultural lands. Bird density at mbhi sites was generally greatest during winter for both regions. Unusually high flooding in the years prior to implementation of the mbhi confounded detection of overall changes in remotely sensed soil wetness across sites. The magnitude of bird response at mbhi sites compared to prior years and to non-flooded agricultural lands was generally related to the surrounding landscape context: proximity to areas of high bird density, amount of forested wetlands, emergent marsh, non-flooded agriculture, or permanent open water. However, these relationships varied in strength and direction between regions and seasons, a finding which we attribute to differences in seasonal bird composition and broad regional differences in landscape configuration and composition. We detected greater increases in relative bird use at sites in closer proximity to areas of high bird density during winter in both regions. Additionally, bird density was greater during winter at sites with more emergent marsh in the surrounding landscape. Thus, bird use of managed wetlands could be maximized by enrolling lands located near areas of known bird concentration and within a mosaic of existing wetlands. Weather-radar observations provide strong evidence that mbhi sites located inland from coastal wetlands impacted by the oil spill provided wetland habitat used by a variety of birds."
10,10,43,Anna,not vetted,4841,Recurrent jellyfish blooms are a consequence of global oscillations,CONDON ROBERT H;DUARTE CARLOS M;PITT KYLIE A;ROBINSON KELLY L;LUCAS CATHY H;SUTHERLAND KELLY R;MIANZAN HERMES W;BOGEBERG MOLLY;PURCELL JENNIFER E;DECKER MARY BETH;UYE SHIN-ICHI;MADIN LAURENCE P;BRODEUR RICHARD D;HADDOCK STEVEN H D;MALEJ ALENKA;PARRY GREGORY D;ERIKSEN ELENA;QUINONES JAVIER;ACHA MARCELO;HARVEY MICHEL;ARTHUR JAMES M;GRAHAM WILLIAM M,2013,"A perceived recent increase in global jellyfish abundance has been portrayed as a symptom of degraded oceans. This perception is based primarily on a few case studies and anecdotal evidence, but a formal analysis of global temporal trends in jellyfish populations has been missing. Here, we analyze all available long-term datasets on changes in jellyfish abundance across multiple coastal stations, using linear and logistic mixed models and effect-size analysis to show that there is norobust evidence for a global increase in jellyfish. Although there has been a small linear increase in jellyfish since the 1970s, this trend was unsubstantiated by effect-size analysis that showed no difference in the proportion of increasing vs. Decreasing jellyfish populations over all time periods examined. Rather, the strongest nonrandom trend indicated jellyfish populations undergo larger, worldwide oscillations with an approximate 20-y periodicity, including a rising phase during the 1990s that contributed to the perception of a global increase in jellyfish abundance. Sustained monitoring is required over the next decade to elucidate with statistical confidence whether the weak increasing linear trend in jellyfish after 1970 is an actual shift in the baseline or part of an oscillation. Irrespective of the nature of increase, given the potential damage posed by jellyfish blooms to fisheries, tourism, and other human industries, our findings foretell recurrent phases of rise and fall in jellyfish populations that society should be prepared to face."
