"","STUDY_ID.1","STUDY_ID","REVIEWERS","INCLUDE.x","INCLUDE.1","TITLE","AU","PY","ABSTRACT","X","dec","INCLUDE.y"
"52",134,153,"Yingjie","YES","MAYBE","Effects of invasion at two trophic levels on diet, body condition, and population size structure of hawaiian red shrimp","DUDLEY BRUCE D;MACKENZIE RICHARD A;SAKIHARA TROY S;RINEY MICHAEL H;OSTERTAG REBECCA",2017,"We examined the degree to which invasion by non-native, nitrogen (n)-fixing riparian trees and poeciliid fish alters diet of a common grazer/detritivore in brackish ponds on the dry coast of hawai. I island. Because this shrimp, halocaridina rubra ('opae'ula), displays a preference for autotrophic components of epilithon, we hypothesized that tree canopy would reduce their body condition and abundance, but that this would be moderated by nutrient quality of leaf litter (high-quality, non-native, nitrogen-fixing tree vs. Low-quality, endemic non-nitrogen-fixing tree). We hypothesized that poeciliid invasion would reduce population size and body condition of h. Rubra by direct predation and by inducing reductions in feeding rate. Analysis of stable isotopes (delta d, delta c-13, and delta n-15) showed that direct consumption of leaf litter detritus supplemented h. Rubra diet in ponds with canopy cover. In addition, epilithon in ponds with canopy cover was isotopically more similar to leaf litter than epilithon in ponds without canopy cover, and our evidence suggests this may be due to contributions of allochthonous nutrient sources to epilithon assemblages. However, canopy cover, whether native or invasive, did not decrease epilithon growth rates and had little effect on shrimp body condition or population size. In contrast, poeciliid invasion reduced daylight grazing on the benthos, and caused a reduction in body condition among larger shrimp. Our results indicate that primary succession by invasive trees may shift food web linkages in these ponds from autotrophic to heterotrophic support, without negative impacts on native grazer/detritivore communities. We suggest that poeciliid invasions have sub-lethal effects on h. Rubra as well as their direct predation effects, with potential long-term implications for the ecosystem function of anchialine ponds and other coastal systems.",NA,1,2
"53",134,153,"Aurora","YES","MAYBE","Effects of invasion at two trophic levels on diet, body condition, and population size structure of hawaiian red shrimp","DUDLEY BRUCE D;MACKENZIE RICHARD A;SAKIHARA TROY S;RINEY MICHAEL H;OSTERTAG REBECCA",2017,"We examined the degree to which invasion by non-native, nitrogen (n)-fixing riparian trees and poeciliid fish alters diet of a common grazer/detritivore in brackish ponds on the dry coast of hawai. I island. Because this shrimp, halocaridina rubra ('opae'ula), displays a preference for autotrophic components of epilithon, we hypothesized that tree canopy would reduce their body condition and abundance, but that this would be moderated by nutrient quality of leaf litter (high-quality, non-native, nitrogen-fixing tree vs. Low-quality, endemic non-nitrogen-fixing tree). We hypothesized that poeciliid invasion would reduce population size and body condition of h. Rubra by direct predation and by inducing reductions in feeding rate. Analysis of stable isotopes (delta d, delta c-13, and delta n-15) showed that direct consumption of leaf litter detritus supplemented h. Rubra diet in ponds with canopy cover. In addition, epilithon in ponds with canopy cover was isotopically more similar to leaf litter than epilithon in ponds without canopy cover, and our evidence suggests this may be due to contributions of allochthonous nutrient sources to epilithon assemblages. However, canopy cover, whether native or invasive, did not decrease epilithon growth rates and had little effect on shrimp body condition or population size. In contrast, poeciliid invasion reduced daylight grazing on the benthos, and caused a reduction in body condition among larger shrimp. Our results indicate that primary succession by invasive trees may shift food web linkages in these ponds from autotrophic to heterotrophic support, without negative impacts on native grazer/detritivore communities. We suggest that poeciliid invasions have sub-lethal effects on h. Rubra as well as their direct predation effects, with potential long-term implications for the ecosystem function of anchialine ponds and other coastal systems.",NA,1,2
"54",134,153,"Xutong","NO","MAYBE","Effects of invasion at two trophic levels on diet, body condition, and population size structure of hawaiian red shrimp","DUDLEY BRUCE D;MACKENZIE RICHARD A;SAKIHARA TROY S;RINEY MICHAEL H;OSTERTAG REBECCA",2017,"We examined the degree to which invasion by non-native, nitrogen (n)-fixing riparian trees and poeciliid fish alters diet of a common grazer/detritivore in brackish ponds on the dry coast of hawai. I island. Because this shrimp, halocaridina rubra ('opae'ula), displays a preference for autotrophic components of epilithon, we hypothesized that tree canopy would reduce their body condition and abundance, but that this would be moderated by nutrient quality of leaf litter (high-quality, non-native, nitrogen-fixing tree vs. Low-quality, endemic non-nitrogen-fixing tree). We hypothesized that poeciliid invasion would reduce population size and body condition of h. Rubra by direct predation and by inducing reductions in feeding rate. Analysis of stable isotopes (delta d, delta c-13, and delta n-15) showed that direct consumption of leaf litter detritus supplemented h. Rubra diet in ponds with canopy cover. In addition, epilithon in ponds with canopy cover was isotopically more similar to leaf litter than epilithon in ponds without canopy cover, and our evidence suggests this may be due to contributions of allochthonous nutrient sources to epilithon assemblages. However, canopy cover, whether native or invasive, did not decrease epilithon growth rates and had little effect on shrimp body condition or population size. In contrast, poeciliid invasion reduced daylight grazing on the benthos, and caused a reduction in body condition among larger shrimp. Our results indicate that primary succession by invasive trees may shift food web linkages in these ponds from autotrophic to heterotrophic support, without negative impacts on native grazer/detritivore communities. We suggest that poeciliid invasions have sub-lethal effects on h. Rubra as well as their direct predation effects, with potential long-term implications for the ecosystem function of anchialine ponds and other coastal systems.",NA,0,2
"64",152,28,"Veronica","YES","MAYBE","Disentangling the relative influences of global drivers of change in biodiversity: a study of the twentieth-century red fox expansion into the canadian arctic","GALLANT DANIEL;LECOMTE NICOLAS;BERTEAUX DOMINIQUE",2019,"The poleward range shift of the red fox (vulpes vulpes) > 1,700 km into the arctic is one of the most remarkable distribution changes of the early twentieth century. While this expansion threatens a smaller arctic ecological equivalent, the arctic fox (vulpes lagopus), the case became a textbook example of climate-driven range shifts. We tested this classical climate change hypothesis linked to an important range shift which has attracted little research thus far. We analysed canadian fur harvest data from the hudson's bay company archives (14 trading posts; 1926-1950), testing hypotheses based on changes in summer and winter climates. Summer warming might have triggered a bottom-up increase in ecosystem productivity, while winter warming might have lowered thermal stress, both favouring red fox expansion. Additionally, we evaluated the hypothesis that red fox expansion was driven by the appearance of human sedentary sites (n = 110) likely bringing food subsidies into the unproductive tundra. Analysis of red fox expansion chronologies showed that expansion speed was higher during warmer winters. However, the expansions occurred under both cooling and warming trends, being faster during cooler summers in the baffin island region. The increasing proportion of red fox in fox fur harvests was best explained by human activity, while generalized linear mixed models also revealed a marginal effect of warmer winters. Generalized additive models confirmed human presence as the most important factor explaining rates of change in the proportion of red fox in fox fur harvests. Using historical ecology, we disentangled the relative influences of climate change and anthropogenic habitat change, two global drivers that transformed arctic biodiversity during the last century and will likely continue to do so during this century. Anthropogenic food subsidies, which constitute stable food sources, facilitated the invasion of the tundra biome by a new mammalian predator and competitor, with long-term consequences that still remain to be understood.",NA,1,2
"65",152,28,"Ruishan","NO","MAYBE","Disentangling the relative influences of global drivers of change in biodiversity: a study of the twentieth-century red fox expansion into the canadian arctic","GALLANT DANIEL;LECOMTE NICOLAS;BERTEAUX DOMINIQUE",2019,"The poleward range shift of the red fox (vulpes vulpes) > 1,700 km into the arctic is one of the most remarkable distribution changes of the early twentieth century. While this expansion threatens a smaller arctic ecological equivalent, the arctic fox (vulpes lagopus), the case became a textbook example of climate-driven range shifts. We tested this classical climate change hypothesis linked to an important range shift which has attracted little research thus far. We analysed canadian fur harvest data from the hudson's bay company archives (14 trading posts; 1926-1950), testing hypotheses based on changes in summer and winter climates. Summer warming might have triggered a bottom-up increase in ecosystem productivity, while winter warming might have lowered thermal stress, both favouring red fox expansion. Additionally, we evaluated the hypothesis that red fox expansion was driven by the appearance of human sedentary sites (n = 110) likely bringing food subsidies into the unproductive tundra. Analysis of red fox expansion chronologies showed that expansion speed was higher during warmer winters. However, the expansions occurred under both cooling and warming trends, being faster during cooler summers in the baffin island region. The increasing proportion of red fox in fox fur harvests was best explained by human activity, while generalized linear mixed models also revealed a marginal effect of warmer winters. Generalized additive models confirmed human presence as the most important factor explaining rates of change in the proportion of red fox in fox fur harvests. Using historical ecology, we disentangled the relative influences of climate change and anthropogenic habitat change, two global drivers that transformed arctic biodiversity during the last century and will likely continue to do so during this century. Anthropogenic food subsidies, which constitute stable food sources, facilitated the invasion of the tundra biome by a new mammalian predator and competitor, with long-term consequences that still remain to be understood.",NA,0,2
"66",152,28,"Min","YES","MAYBE","Disentangling the relative influences of global drivers of change in biodiversity: a study of the twentieth-century red fox expansion into the canadian arctic","GALLANT DANIEL;LECOMTE NICOLAS;BERTEAUX DOMINIQUE",2019,"The poleward range shift of the red fox (vulpes vulpes) > 1,700 km into the arctic is one of the most remarkable distribution changes of the early twentieth century. while this expansion threatens a smaller arctic ecological equivalent, the arctic fox (vulpes lagopus), the case became a textbook example of climate-driven range shifts. we tested this classical climate change hypothesis linked to an important range shift which has attracted little research thus far. we analysed canadian fur harvest data from the hudson's bay company archives (14 trading posts; 1926-1950), testing hypotheses based on changes in summer and winter climates. summer warming might have triggered a bottom-up increase in ecosystem productivity, while winter warming might have lowered thermal stress, both favouring red fox expansion. additionally, we evaluated the hypothesis that red fox expansion was driven by the appearance of human sedentary sites (n = 110) likely bringing food subsidies into the unproductive tundra. analysis of red fox expansion chronologies showed that expansion speed was higher during warmer winters. however, the expansions occurred under both cooling and warming trends, being faster during cooler summers in the baffin island region. the increasing proportion of red fox in fox fur harvests was best explained by human activity, while generalized linear mixed models also revealed a marginal effect of warmer winters. generalized additive models confirmed human presence as the most important factor explaining rates of change in the proportion of red fox in fox fur harvests. using historical ecology, we disentangled the relative influences of climate change and anthropogenic habitat change, two global drivers that transformed arctic biodiversity during the last century and will likely continue to do so during this century. anthropogenic food subsidies, which constitute stable food sources, facilitated the invasion of the tundra biome by a new mammalian predator and competitor, with long-term consequences that still remain to be understood.",NA,1,2
"70",163,2,"Anna","NO","MAYBE","National consumption and global trade impacts on biodiversity","CHAUDHARY ABHISHEK;BROOKS THOMAS M",2019,"Effective and equitable conservation requires understanding of the global biodiversity impacts inflicted by consumption in individual countries and those embodied in international trade. Research to date has ascertained these impacts in terms of threats, but not on species directly. Here we use a novel approach, by parametrizing the countryside species-area relationship (sar) (a). Using a recent high resolution and harmonized global land use map along with (b). Iucn habitat classification data for all 22,386 mammal, bird, and amphibian species, to project endemic species extinctions due to habitat loss to date across all 804 terrestrial ecoregions; and then, (c). Validating the projected extinctions with iucn red list. We allocate projected extinctions to the agriculture, pasture, urban, and forestry areas used, traded, and consumed in 129 countries, using an environmentally extended global multi-regional input output database. Results show that for the three taxa combined, a total of 927 endemic species are projected to go extinct due to the impacts of current global land use. The taxonomic breakdown is 186 projected mammal extinctions, 170 birds, and 571 amphibians, with global agriculture land use responsible for 267 projected extinctions; pasture 314, forestry 313, and urbanization 32. Importantly, countryside sar projections compare well with the number of extinct and threatened species documented by the iucn red list. We found that land use for export production is responsible for 25% of these projected global extinctions. Our approach enables parametrization of countryside sars in any world region even without extensive field studies, and therefore allows quantitative assessment of biodiversity impacts under alternative land use scenarios. Overall, our approach and findings can inform sustainability assessment of commodity supply-chains as well as specific national actions toward achievement of the aichi 2020 and un sustainable development goals. (C) 2017 elsevier ltd. All rights reserved.",NA,0,2
"71",163,2,"Ming","YES","MAYBE","National consumption and global trade impacts on biodiversity","CHAUDHARY ABHISHEK;BROOKS THOMAS M",2019,"effective and equitable conservation requires understanding of the global biodiversity impacts inflicted by consumption in individual countries and those embodied in international trade. research to date has ascertained these impacts in terms of threats, but not on species directly. here we use a novel approach, by parametrizing the countryside species-area relationship (sar) (a). using a recent high resolution and harmonized global land use map along with (b). iucn habitat classification data for all 22,386 mammal, bird, and amphibian species, to project endemic species extinctions due to habitat loss to date across all 804 terrestrial ecoregions; and then, (c). validating the projected extinctions with iucn red list. we allocate projected extinctions to the agriculture, pasture, urban, and forestry areas used, traded, and consumed in 129 countries, using an environmentally extended global multi-regional input output database. results show that for the three taxa combined, a total of 927 endemic species are projected to go extinct due to the impacts of current global land use. the taxonomic breakdown is 186 projected mammal extinctions, 170 birds, and 571 amphibians, with global agriculture land use responsible for 267 projected extinctions; pasture 314, forestry 313, and urbanization 32. importantly, countryside sar projections compare well with the number of extinct and threatened species documented by the iucn red list. we found that land use for export production is responsible for 25% of these projected global extinctions. our approach enables parametrization of countryside sars in any world region even without extensive field studies, and therefore allows quantitative assessment of biodiversity impacts under alternative land use scenarios. overall, our approach and findings can inform sustainability assessment of commodity supply-chains as well as specific national actions toward achievement of the aichi 2020 and un sustainable development goals. (c) 2017 elsevier ltd. all rights reserved.",106,1,2
"72",163,2,"EmilyD","YES","MAYBE","National consumption and global trade impacts on biodiversity","CHAUDHARY ABHISHEK;BROOKS THOMAS M",2019,"effective and equitable conservation requires understanding of the global biodiversity impacts inflicted by consumption in individual countries and those embodied in international trade. research to date has ascertained these impacts in terms of threats, but not on species directly. here we use a novel approach, by parametrizing the countryside species-area relationship (sar) (a). using a recent high resolution and harmonized global land use map along with (b). iucn habitat classification data for all 22,386 mammal, bird, and amphibian species, to project endemic species extinctions due to habitat loss to date across all 804 terrestrial ecoregions; and then, (c). validating the projected extinctions with iucn red list. we allocate projected extinctions to the agriculture, pasture, urban, and forestry areas used, traded, and consumed in 129 countries, using an environmentally extended global multi-regional input output database. results show that for the three taxa combined, a total of 927 endemic species are projected to go extinct due to the impacts of current global land use. the taxonomic breakdown is 186 projected mammal extinctions, 170 birds, and 571 amphibians, with global agriculture land use responsible for 267 projected extinctions; pasture 314, forestry 313, and urbanization 32. importantly, countryside sar projections compare well with the number of extinct and threatened species documented by the iucn red list. we found that land use for export production is responsible for 25% of these projected global extinctions. our approach enables parametrization of countryside sars in any world region even without extensive field studies, and therefore allows quantitative assessment of biodiversity impacts under alternative land use scenarios. overall, our approach and findings can inform sustainability assessment of commodity supply-chains as well as specific national actions toward achievement of the aichi 2020 and un sustainable development goals. (c) 2017 elsevier ltd. all rights reserved.",106,1,2
"91",225,161,"Ming","YES","MAYBE","Exotic fish in exotic plantations: a multi-scale approach to understand amphibian occurrence in the mediterranean region","CRUZ JOANA;SARMENTO PEDRO;CARRETERO MIGUEL A;WHITE PIRAN C L",2015,"globally, amphibian populations are threatened by a diverse range of factors including habitat destruction and alteration. forestry practices have been linked with low diversity and abundance of amphibians. the effect of exotic eucalyptus spp. plantations on amphibian communities has been studied in a number of biodiversity hotspots, but little is known of its impact in the mediterranean region. here, we identify the environmental factors influencing the presence of six species of amphibians (the caudata pleurodeles waltl, salamandra salamandra, lissotriton boscai, triturus marmoratus and the anurans pelobates cultripes and hyla arborea/meridionalis) occupying 88 ponds. the study was conducted in a mediterranean landscape dominated by eucalypt plantations alternated with traditional use (agricultural, montados and native forest) at three different scales: local (pond), intermediate (400 metres radius buffer) and broad (1000 metres radius buffer). using the akaike information criterion for small samples (aicc), we selected the top-ranked models for estimating the probability of occurrence of each species at each spatial scale separately and across all three spatial scales, using a combination of covariates from the different magnitudes. models with a combination of covariates at the different spatial scales had a stronger support than those at individual scales. the presence of predatory fish in a pond had a strong effect on caudata presence. permanent ponds were selected by hyla arborea/meridionalis over temporary ponds. species occurrence was not increased by a higher density of streams, but the density of ponds impacted negatively on lissotriton boscai. the proximity of ponds occupied by their conspecifics had a positive effect on the occurrence of lissotriton boscai and pleurodeles waltl. eucalypt plantations had a negative effect on the occurrence of the newt lissotriton boscai and anurans hyla arborea/meridionalis, but had a positive effect on the presence of salamandra salamandra, while no effect on any of the other species was detected. in conclusion, eucalypts had limited effects on the amphibian community at the intermediate and broad scales, but predatory fish had a major impact when considering all the scales combined. the over-riding importance of introduced fish as a negative impact suggests that forest managers should prevent new fish introductions and eradicate fish from already-occupied ponds whenever possible.",46,1,2
