"timestamp","coder_id","paper_id","year_pub","author","taxa_list","habitat","num_countries","list_countries","list_continents","scale_entire","num_time_pd","year_start","year_end","temp_res","temp_res_unk","meta_var_type","b4_dur_after","peri_tele_flows","tele_cat","peri_tele_sep","peri_tele_sep_unk","data_source_biodiv","data_source_meta","data_type_biodiv","data_type_meta","scale_biodiv","comments","num_biodiv_metrics","list_biodiv_metrics","further_discuss","biodiv_countries"
2020-03-17 12:56:14,"A_Herzberger","1488",2017,"Lopez-Ricaurte","Birds","Terrestrial",1,"Colombia","South America","Sub-national ((within-country region)",1,"2016","2016","Daily","4 consecutive day ","Categorical","After","palm oil export","Trade","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","3","Species richness; abundance; distance to habitat","No",""
2020-03-30 20:16:48,"A_Torres","1488",2017,"López-Ricaurte","Birds","Terrestrial",NA,"Colombia","South America","Intercontinental (> 2 continents)",1,"2016","2016","Seasonally","","Categorical","During","Oil palm plantation","Trade","No","","Primary","Primary","Biological field observations","Field observations, Remote sensing","Sub-national (within-country region)","","13","species richness; species abundance; community composition; abundance of aquatic birds; abundance of forest birds; abundance of grassland birds; abundance of multiple birds; abudance of carnivores; abudance of frugivores; abundance of granivores; abundance of insectivores; abundance of omnivores; abundance of migratory species","No","Colombia"
2020-03-18 14:46:55,"C_Hovis","1488",2017,"Lopez-Ricaurte","Birds","Terrestrial",1,"Columbia","South America","Global (>100 countries)",1,"2016","2016","Seasonally","","Categorical","After","Palm oil, invasive species, and policy","Trade, Species Dispersal, Knowledge Transfer","No","","Primary","Primary","Biological field observations","Field observations, Remote sensing","Sub-national (within-country region)","invasive spp impact?","10","taxa spp richness; taxa spp abundance; func abundance (x5); community comp, invasive spp impact (richness/abun)","Yes",""
2020-05-14 23:43:00,"E_Xing","1488",2017,"L�pez-Ricaurte","Birds","Terrestrial",1,"Colombian","South America","Sub-national (within-country region)",1,"May,2016","June,2016","Other","na","Categorical","na","tropical rainforest convert to oil palm","Other","No","na","Primary","Primary","biological","social","subnational","na","11","no such data in Chinese survey","No","no such data in Chinese survey"
2020-03-18 20:34:58,"K_Kapsar","1488",2017,"Lopez-Ricaurte","Birds","Terrestrial",1,"Colombia","South America","Global (>100 countries)",1,"2016","2016","Unknown/Unclear","Single time period","Categorical","During","Oil palm","Trade","No","","Primary","Primary","Biological field observations","Field observations, Remote sensing","Sub-national (within-country region)","Scale of entire system: ambiguous because recipient countries of palm oil exports are not specified. 

Number of countries involved: Unclear due to previous reasons

Unclear temporal resolution because data were aggregated into one time period. ","3","Species richness, species abundance, community composition","No",""
2020-03-19 13:17:53,"M_Lei","1488",2017,"Ricaurte","Birds","Terrestrial",1,"Colombia","South America","Sub-national ((within-country region)",4,"2016","2016","Daily","","Categorical","After","Oil palm expansion(48 oil palm points were selected as observation points)","Investment","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","4","Species richness and abundance; mean species richness and mean total abundance","Yes",""
2020-03-23 11:31:06,"MG_Chung","1488",2017,"Lopez-Ricaurte","Birds","Terrestrial",NA,"Colombia","South America","Sub-national ((within-country region)",1,"2016","2016","Daily","","Categorical","During","oil palm expansions","Trade","No","","Primary","Primary","Biological field observations","Field observations, Remote sensing","Sub-national (within-country region)","","3","species richness; abundance; bird community structure","No","Colombia"
2020-03-19 17:01:40,"X_Wu","1488",2017,"López-Ricaurte","Birds","Terrestrial",1,"Colombia","South America","Sub-national ((within-country region)",1,"2016","2016","Daily","","Categorical","After","Oil palm expansion","Land use change","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","2","Species richness; species abundance","No",""
2020-03-18 12:39:42,"Y_Dou","1488",2017,"López-Ricaurte","Birds","Terrestrial",1,"1","South America","Sub-national ((within-country region)",1,"2016","2016","Daily","","Categorical","After","oil palm conversion","Trade","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","2","species richness; total abundance","No",""
2020-03-26 15:38:30,"A_Herzberger","2577",2016,"Titelboim","Fish","Marine",NA,"Israel ","Asia","Sub-national ((within-country region)",15,"2013","2014","Monthly","","Categorical","During","power and desalination plants use the water for cooling, which increases water temp.","Water Transfer, Energy Transfer","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","3","community assemblage; species richness; habitat temperature;","No","Isreal"
2020-03-19 11:13:01,"M_Lei","2577",2016,"Titelboim","Invertebrates","Marine",1,"Israel","Asia","Sub-national ((within-country region)",15,"2013","2014","Monthly","","Categorical","After","thermal pollution(Monitor the water temperature and set up a control monitoring point)","Energy Transfer","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","2","Species composition(species richness);The total numerical abundance(numerical abundance);","No",""
2020-03-19 17:35:37,"X_Wu","2577",2016,"Titelboim","Invertebrates","Marine",1,"Israel","Asia","Sub-national ((within-country region)",15,"2013","2014","Monthly","","Categorical","After","","Waste Transfer","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","2","Abundance; richness","No",""
2020-03-18 09:33:52,"A_Herzberger","3456",2015,"Bravo","Invertebrates, Plants/trees/shrubs","Marine",1,"Argentina","South America","Sub-national ((within-country region)",4,"2011","2012","Seasonally","2","Categorical","Before, After","Diving tourism ","Tourism","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","3","relative abundance; community composition; habitat","No",""
2020-04-02 14:02:03,"A_Torres","3456",2015,"Bravo","Invertebrates","Marine",NA,"Argentina","South America","Intercontinental (> 2 continents)",2,"2011","2012","Monthly","","Categorical","Before, After","recreational diving activities associated with tourism","Tourism","No","","Primary","Secondary","Biological field observations","Social science field surveys","Sub-national (within-country region)","","2","Community structure; Community composition","No","Argentina"
2020-03-20 09:47:05,"C_Hovis","3456",2015,"Bravo","Invertebrates","Marine",200,"Argentina","South America","Global (>100 countries)",4,"2011","2012","Seasonally","","Categorical","During","","Tourism","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","2","assemblage composition, assemblage structure","No",""
2020-03-15 14:03:17,"E_Dean","3456",2015,"Bravo","Invertebrates, Plants/trees/shrubs","Freshwater",1,"1","South America","Sub-national ((within-country region)",4,"2011","2012","Monthly","","Categorical","Before, After","They did not quantify the flow, they just compared sites before and after scuba season. Did not control for environmental variables and assumed shifts in species assemblages/composition were due to disturbance.","Tourism","No","","Primary","","Biological field observations","Did not use data - used sites with and without scuba pressure","Sub-national (within-country region)","Believe this example first the inside/outside college campus example but will complete survey 3","2","assemblage structure (identify of taxa and relative abundance); assemblage composition (presence / absence)","Yes",""
