"timestamp","paper_id","taxa","entry_id","taxon_or_func","biodiv_cat_1sp","biodiv_cat_multsp","biodiv_cat_habitat","scale","biodiv_temp_res","effect","significant","p_value","notes","coder_id","entry"
2020-03-30 20:31:51,1488,"Birds","4","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","Not evaluated","","Species abundance","A_Torres","4"
2020-04-02 14:34:14,3924,"Mammals","5","Taxonomic","Occurrence (presence, range, persistence, etc., NOT detection)","","","","Camera trap-night","Positive (beneficial)","Not evaluated","","Occurrence-Tayras","A_Torres","5"
2020-04-03 10:24:12,6655,"Mammals","77","Taxonomic","Occurrence (presence, range, persistence, etc., NOT detection)","Richness (number of species)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Seasonal","Unclear","Not evaluated","","not quantitative","R_Chen","77"
2020-03-15 14:41:34,1488,"Birds","Species richness","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Beta (between pairs of sites)","Seasonal","Negative (detrimental)","Not evaluated","","It is unclear what p-value they are referring to for oil palm in the supplementary material.","E_Dean","Species richness"
2020-03-15 14:42:38,1488,"Birds","Mean total abundance","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Beta (between pairs of sites)","Seasonal","Unclear","Not evaluated","","It is unclear what p-value they are referring to for oil palm in the supplementary material.","E_Dean","Mean total abundance"
2020-03-15 14:44:05,1488,"Birds","Community composition","Taxonomic","","Occurence","Amount (e.g. land use change from non-habitat to habitat)","Beta (between pairs of sites)","Seasonal","Unclear","Not evaluated","","It is unclear what p-value to interpret from their table.","E_Dean","Community composition"
2020-03-15 14:48:46,1488,"Birds","Species traits","Functional",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","Not evaluated","","It is unclear what p-value they are referring to in the supplementary material","E_Dean","Species traits"
2020-03-17 12:53:39,1488,"Birds","1","Taxonomic","","Richness (number of species)","","Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.05","","A_Herzberger","1"
2020-03-17 12:54:06,1488,"Birds","1","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.05","","A_Herzberger","1"
2020-03-17 12:55:52,1488,"Birds","1","Taxonomic","","","distance to habitat ","Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.001","","A_Herzberger","1"
2020-03-18 13:00:41,1488,"Birds","1","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,"Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","","Y_Dou","1"
2020-03-18 13:04:48,1488,"Birds","2","Taxonomic",NA,"Richness (number of species)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","","Y_Dou","2"
2020-03-18 13:05:31,1488,"Birds","4","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.02","","Y_Dou","4"
2020-03-18 13:07:38,1488,"Birds","5","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.002","","Y_Dou","5"
2020-03-18 13:07:51,1488,"Birds","3","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.001","","Y_Dou","3"
2020-03-18 13:08:48,1488,"Birds","6","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.001","","Y_Dou","6"
2020-03-18 13:09:35,1488,"Birds","8","",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.001","","Y_Dou","8"
2020-03-18 13:09:39,1488,"Birds","7","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.017","","Y_Dou","7"
2020-03-18 14:30:08,1488,"Birds","1","Taxonomic","","Richness (number of species)","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","","","C_Hovis","1"
2020-03-18 14:31:30,1488,"Birds","2","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","","","C_Hovis","2"
2020-03-18 14:35:21,1488,"Birds","3","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","0.01","Carnivore","C_Hovis","3"
2020-03-18 14:36:19,1488,"Birds","4","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","0.05","insectivore","C_Hovis","4"
2020-03-18 14:37:52,1488,"Birds","5","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Gamma (across all sites)","Seasonal","Negative (detrimental)","FALSE","","frugivore","C_Hovis","5"
2020-03-18 14:39:03,1488,"Birds","6","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Gamma (across all sites)","Seasonal","Negative (detrimental)","FALSE","","granivore","C_Hovis","6"
2020-03-18 14:40:22,1488,"Birds","7","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Gamma (across all sites)","Seasonal","Positive (beneficial)","FALSE","","omnivore","C_Hovis","7"
2020-03-18 14:41:17,1488,"Birds","8","Taxonomic","","Composition (what species?)","","Gamma (across all sites)","Seasonal","Changed (e.g. species composition)","TRUE","","","C_Hovis","8"
2020-03-18 14:43:59,1488,"Birds","9","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Gamma (across all sites)","Seasonal","Positive (beneficial)","FALSE","0.074","impact of invasive spp, Authors call this ""significant""","C_Hovis","9"
2020-03-18 14:45:07,1488,"Birds","10","Taxonomic","","Richness (number of species)","","Gamma (across all sites)","Seasonal","Neutral","FALSE","","","C_Hovis","10"
2020-03-18 20:34:25,1488,"Birds","1","Taxonomic","","Composition (what species?)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Changed (e.g. species composition)","TRUE","","We identified habitat type...as significant predictor of bird community composition. ","K_Kapsar","1"
2020-03-18 20:34:28,1488,"Birds","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","At the point count level, species richness and total abundance were significantly higher in savanna than in oil palm. ","K_Kapsar","1"
2020-03-18 20:34:30,1488,"Birds","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","At the point count level, species richness and total abundance were significantly higher in savanna than in oil palm. ","K_Kapsar","1"
2020-03-18 20:34:32,1488,"Birds","10","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","Significantly more insectivorous birds in savanna than oil palm. ","K_Kapsar","10"
