"paper_ID","title","author","year","abstract","taxa","tc","bd_ctr","bd_cont","study_id","study_effect"
"1007","Effectiveness of protected areas for biodiversity conservation: mammal occupancy patterns in the iguacu national park, brazil","DA SILVA MARINA XAVIER;PAVIOLO AGUSTIN;TAMBOSI LEANDRO REVERBERI;PARDINI RENATA",2018,"Protected areas - widely recognized as the main strategy for biodiversity conservation - have greatly expanded, covering similar to 15% of the earth; however, we still lack detailed information on biodiversity to evaluate their effectiveness. This is particularly urgent for biodiversity hotspots where protected areas are islands within human modified landscapes. We focus on mammals of the iguacu national park - one of the most important parks in the atlantic forest hotspot - to evaluate the effectiveness of protected areas in conserving biodiversity. We monitored 300 km(2) with 37 cameras traps during five years to assess if (1) species occupancy declined over time, and (2) if species occupancy/detectability are spatially associated with illegal hunting, proximity to tourism infrastructure and distance from the edge, estimating the proportion of the park where these negative effects are detected. Many species that are rare in most atlantic forest remnants presented high occupancy within the park, and no decline in occupancy was observed over time. However, the distribution of 11 species was spatially associated primarily with the distance from the edge and proximity to tourism infrastructure, resulting in a decline, across half of the park area, from 13 to 23% in occupancy and from 19 to 35% in detectability (values averaged among species). These negative effects should be even stronger on smaller protected areas, which are the majority in highly altered hotspots. Re-establishing and properly managing buffer zones and restricting tourism to localized areas are essential to ensure the effectiveness of protected areas for biodiversity conservation.","Mammals","Tourism","BRA","South America","1007_Mammals","Not significant or unclear"
"1040","Long-term trends in a northern gulf of mexico common bottlenose dolphin (tursiops truncatus) population in the wake of the deepwater horizon oil spill","BALMER B;MCDONALD T;HORNSBY F;ADAMS J;ALLEN J;BARLEYCORN A;CLARKE P;CUSH C;HONAKER A;MCHUGH K;SPEAKMAN T;WELLS R;SCHWACKE L",2018,"Bottlenose dolphins along the northern gulf of mexico continue to be impacted by numerous stressors including harmful algal blooms, infectious disease epizootics, and oil exposure following the deepwater horizon (dwh) oil spill. Studies to assess the potential impacts of the dwh oil spill on dolphins in the northern gulf of mexico were initiated as part of a natural resource damage assessment and included photographic-identification (photo id) surveys to determine abundance, density, and site fidelity in st. Joseph bay, florida (sjb). Although significant oiling did not occur in sjb, long-term data have been collected in this region to provide insight into population-level trends in abundance/density over time. Thus, sjb dolphins could serve as a reference for comparison to other dolphin populations exposed to dwh oiling. During 2005-2007, the results of photo id and telemetry surveys determined seasonal fluctuations in abundance and identified two different dolphin populations in sjb: residents sighted across multiple seasons and years (st. Joseph bay stock), and visitors that were present during the spring and fall and associated with a 2-3 fold increase in abundance (northern coastal stock). The goals for the current study were to compare dolphin abundance, density, and site fidelity, prior to (2005-2007), during (2010), and post-dwh (2011 and 2013) using photo-id surveys and a spatially explicit robust-design capture-recapture (serdcr) model. The data collected during and post-dwh paralleled previous research in that a low number of individuals with high site fidelity were sighted across seasons and years (st. Joseph bay stock), and abundance/density increased in the fall as a result of an influx of dolphins that were likely members of the northern coastal stock. However, june and august 2010 abundance (347; 193-498, 95% ci and 394; 288-534, 95% ci, respectively), density (dolphins/km(2)) (2.60; 1.36-3.70, 95% ci and 2.55; 1.89-3.29, 95% ci, respectively), and site fidelity patterns were more similar to previous years' spring and fall data, with high abundance estimates, increased dolphin density in coastal waters, and elevated numbers of individuals with low site fidelity in the sjb region. Factors that could have contributed to this increase in abundance include immigration of dolphins from adjacent estuaries, population growth within the st. Joseph bay stock, impacts from dwh oiling, and environmental and/or prey-based cues that influence movements of the northern coastal stock. The results of this study demonstrate the importance of long-term monitoring to assess impacts of current and future stressors on the dolphins in the northern gulf of mexico.","Mammals","Energy Transfer","USA","North America","1040_Mammals","Harmful"
"1270","Using a trait-based approach to measure the impact of dam closure in fish communities of a neotropical river","LIMA ANA C;SAYANDA DIOGO;AGOSTINHO CARLOS S;MACHADO ANA L;SOARES AMADEU M V M;MONAGHAN KIERAN A",2018,"Damming is one of the main causes of the global decline in freshwater biodiversity. Yet, many hydroelectric dams are being built (or planned) in the neotropics, where the high species diversity and lack of basic ecological knowledge provide a major obstacle to understanding the effects of this environmental change, which has been mostly described from the perspective of taxonomic change. However, this approach does not account for biological function. Trait-based analysis provides an alternative approach to bioassessment. We assessed the impact of dam closure on the functional structure of fish communities of a neotropical river by applying trait-based analyses to the response of individual traits aggregated at the assemblage level. Fish data were collected during three distinct time periods (1 year before, 1 year after and 5 years after dam closure), at eight sites located downstream of the dam, in the reservoir, transition zone and upstream. The results indicated that reproduction strategies (migration and parental care) and diet (detritivores) were the trait categories mostly affected by the dam, with the response of downstream assemblages differing from upstream of the dam. A trait-based analysis to the impact of damming on fish communities appears to be a promising approach using an initial descriptive analysis of individual traits and regression models of multiple traits that reflect species' adaptation to the new environment. This study provides both an alternative and complementary approach to taxonomic assessment of impacts from damming, contributing towards a more robust evaluation of the response of fish communities to dams.","Fish","Water Transfer;Energy Transfer","BRA","South America","1270_Fish","Changed"
"1299","Outdoor recreation causes effective habitat reduction in capercaillie tetrao urogallus: a major threat for geographically restricted populations","COPPES JOY;EHRLACHER JUDITH;THIEL DOMINIK;SUCHANT RUDI;BRAUNISCH VERONIKA",2017,"Outdoor recreation inflicts a wide array of impacts on individual animals, many of them reflected in the avoidance of disturbed areas. The scale and spatial extent, however, at which wildlife populations are affected, are mostly unclear. Particularly in geographically isolated populations, where restricted habitat availability may preclude a relocation to undisturbed areas, effective habitat reduction may remain underestimated or even unnoticed, when animals stay in disturbed areas and only show small-scale responses. Based on telemetry data, we investigated the spatial and seasonal effects of outdoor recreation - in relation to landscape and vegetation conditions - on western capercaillie tetrao urogallus, considering two scales, home range and within-home range habitat selection. We determined the distance-thresholds up to which recreation infrastructures were avoided and estimated the extent of affected habitat for the isolated black forest (southwestern germany) study population. While outdoor recreation did not affect home range selection, strong effects on habitat use within the home range were detected: distance to recreation infrastructure (hiking and cross-country skiing trails, ski pistes) was the main determinant of habitat selection in winter; in summer, mountain bike trails and hiker's restaurants were avoided up to an average distance of 145 m (ci: 60-1092 m). Around winter-infrastructure, relative avoidance was recorded up to 320 m (ci: 36-327 m), it was reduced, however, when dense understory provided visual cover. Of the entire population area, between 8-20% (summer) and 8-40% (winter) were affected by outdoor recreation, mainly in the high altitudes. Even without evident large-scale shifts in species distribution, local-scale avoidance of outdoor recreation can substantially contribute to effective habitat reduction. Based on our results we recommend a general reduction in recreation infrastructure density in key habitats, the establishment of undisturbed wildlife refuges with a diameter of at least 800 m, as well as enhancing visual protection by maintaining a strip of dense understory along trails.","Birds","Tourism","DEU","Europe","1299_Birds","Harmful"
"134","Effects of invasion at two trophic levels on diet, body condition, and population size structure of hawaiian red shrimp","DUDLEY BRUCE D;MACKENZIE RICHARD A;SAKIHARA TROY S;RINEY MICHAEL H;OSTERTAG REBECCA",2017,"We examined the degree to which invasion by non-native, nitrogen (n)-fixing riparian trees and poeciliid fish alters diet of a common grazer/detritivore in brackish ponds on the dry coast of hawai. I island. Because this shrimp, halocaridina rubra ('opae'ula), displays a preference for autotrophic components of epilithon, we hypothesized that tree canopy would reduce their body condition and abundance, but that this would be moderated by nutrient quality of leaf litter (high-quality, non-native, nitrogen-fixing tree vs. Low-quality, endemic non-nitrogen-fixing tree). We hypothesized that poeciliid invasion would reduce population size and body condition of h. Rubra by direct predation and by inducing reductions in feeding rate. Analysis of stable isotopes (delta d, delta c-13, and delta n-15) showed that direct consumption of leaf litter detritus supplemented h. Rubra diet in ponds with canopy cover. In addition, epilithon in ponds with canopy cover was isotopically more similar to leaf litter than epilithon in ponds without canopy cover, and our evidence suggests this may be due to contributions of allochthonous nutrient sources to epilithon assemblages. However, canopy cover, whether native or invasive, did not decrease epilithon growth rates and had little effect on shrimp body condition or population size. In contrast, poeciliid invasion reduced daylight grazing on the benthos, and caused a reduction in body condition among larger shrimp. Our results indicate that primary succession by invasive trees may shift food web linkages in these ponds from autotrophic to heterotrophic support, without negative impacts on native grazer/detritivore communities. We suggest that poeciliid invasions have sub-lethal effects on h. Rubra as well as their direct predation effects, with potential long-term implications for the ecosystem function of anchialine ponds and other coastal systems.","Invertebrates","Species Dispersal","USA","North America","134_Invertebrates","Not significant or unclear"
"1349","Reductions in global biodiversity loss predicted from conservation spending","WALDRON ANTHONY;MILLER DANIEL C;REDDING DAVE;MOOERS ARNE;KUHN TYLER S;NIBBELINK NATE;ROBERTS J TIMMONS;TOBIAS JOSEPH A;GITTLEMAN JOHN L",2017,"Halting global biodiversity loss is central to the convention on biological diversity and united nations sustainable development goals(1,2), but success to date has been very limited(3-5). A critical determinant of success in achieving these goals is the financing that is committed to maintaining biodiversity(6-9); however, financing decisions are hindered by considerable uncertainty over the likely impact of any conservation investment(6-9). For greater effectiveness, we need an evidence-based model(10-12) that shows how conservation spending quantitatively reduces the rate of biodiversity loss. Here we demonstrate such a model, and empirically quantify how conservation investment between 1996 and 2008 reduced biodiversity loss in 109 countries (signatories to the convention on biological diversity and sustainable development goals), by a median average of 29% per country. We also show that biodiversity changes in signatory countries can be predicted with high accuracy, using a dual model that balances the effects of conservation investment against those of economic, agricultural and population growth (human development pressures)(13-18). Decision-makers can use this model to forecast the improvement that any proposed biodiversity budget would achieve under various scenarios of human development pressure, and then compare these forecasts to any chosen policy target. We find that the impact of spending decreases as human development pressures grow, which implies that funding may need to increase over time. The model offers a flexible tool for balancing the sustainable development goals of human development and maintaining biodiversity, by predicting the dynamic changes in conservation finance that will be needed as human development proceeds.","Multiple","Investment","GLO","Global","1349_Multiple","Beneficial"
"1366","THE EFFECT OF CASCADED HUGE DAMS ON THE DOWNSTREAM MOVEMENT OF COREIUS GUICHENOTI (SAUVAGE & DABRY DE THIERSANT, 1874) IN THE UPPER YANGTZE RIVER","YANG ZHI;TANG HUIYUAN;TAO JIANGPING;ZHAO NA",2017,"huge dams (installed capacity > 100 mkw) are generally built on large rivers that display high biodiversity and include major migration routes for many diadromous and potamodromous fish. as a result, these dams lead to severe ecological impacts and receive more attention than smaller dams. most previous work on the impact of huge dams on fish downstream movement has focused on a single dam and reservoir, so little is known about the effect of cascaded huge dams and reservoirs on downstream movement. during the period 2012-2014, two huge dams (the xiangjiaba and the xiluodu) were constructed on the upper yangtze river and the reservoir impoundments began, respectively in october 2012 and may 2013. these cascaded hydroelectric projects could have a large adverse effect on the downstream movement of an important potamodromous fish species, coreius guichenoti. to study the effect of cascaded impact of sequential huge dams and reservoirs on passive and active downstream movement of c. guichenoti, eggs and larvae were collected in the yibin section during 2012-2014 and fish were collected monthly at a site in the hejiang section from june 2012 to july 2014. our results showed that, compared to one huge reservoir and dam, cascaded dams exert a more serious effect and obstruct downstream movement of eggs, larvae and young fish (particularly the yearlings and two-year-olds) of c. guichenoti. individual c. guichenoti were able to pass with relative ease through one reservoir and dam, but passing through both reservoirs and dams was very difficult. to allow access to the spawning grounds upstream, a fish passage should be built on the xiluodu dam. however, due to the hydropower development in the whole upper basin, captive breeding and maintaining at least 60 km of riverine habitat upstream of a spawning ground could be a more cost-effective approach to maintaining c. guichenoti populations in the upper yangtze river.","Fish","Energy Transfer","CHN","Asia","1366_Fish","Harmful"
"1368","population biology of the sea star anasterias minuta (forcipulatida: asteriidae) threatened by anthropogenic activities in rocky intertidal shores of san matias gulf, patagonia, argentina","ARRIBAS LORENA P;BAGUR MARIA;GABRIELA PALOMO M;BIGATTI GREGORIO",2017,"in patagonian coastal areas, intertidal benthic communities are exposed to extreme physical conditions. the interaction between harsh environment and anthropogenic pressure can generate changes in population biology of marine invertebrates, like density and reproduction. the oral brooding sea star anasterias minuta is a key organism in food chains of atlantic patagonian rocky intertidals, hence changes on its population structure can negatively affect shore communities. we studied the population biology of a. minuta and assess the effect of environmental parameters and anthropogenic activities on its population on rocky intertidal shores of san matias gulf, patagonia, argentina. seasonal sea surface temperature, ph, salinity, water velocity, desiccation rate, boulders density, and anthropogenic influence (tourists and octopus fishermen) were recorded. in sites with less tourist influence and high refuge, an increase in density was recorded, especially during the summer. brooding individuals were found in fall and winter, while feeding individuals were observed in all seasons (12 different prey, mainly the molluscs tegula patagonica and perumytilus purpuratus). environmental variables such as boulders density and water velocity were the most important predictor of variation in population structure. tourism and ph were the most important variables negatively correlated with density.","Invertebrates","Tourism","ARG","South America","1368_Invertebrates","Harmful"
"1376","The ""resort effect"": can tourist islands act as refuges for coral reef species?","MORITZ CHARLOTTE;DUCARME FREDERIC;SWEET MICHAEL J;FOX MICHAEL D;ZGLICZYNSKI BRIAN;IBRAHIM NIZAM;BASHEER AHMED;FURBY KATHRYN A;CALDWELL ZACHARY R;PISAPIA CHIARA;GRIMSDITCH GABRIEL;ABDULLA AMEER",2017,"Aimthere is global consensus that marine protected areas offer a plethora of benefits to the biodiversity within and around them. Nevertheless, many organisms threatened by human impacts also find shelter in unexpected or informally protected places. For coral reef organisms, refuges can be tourist resorts implementing local environment-friendly bottom-up management strategies. We used the coral reef ecosystem as a model to test whether such practices have positive effects on the biodiversity associated with de facto protected areas. Locationnorth ari atoll, maldives. Methodswe modelled the effects of the environment and three human management regimes (tourist resorts, uninhabited and local community islands) on the abundance and diversity of echinoderms and commercially important fish species, the per cent cover of reef benthic organisms (corals, calcareous coralline algae, turf and macroalgae) and the proportion of coral disease. We used multivariate techniques to assess the differences between reef components among the management regimes. Resultsreefs varied between the management regimes. A positive resort effect was found on sessile benthic organisms, with good coral cover and significantly less algae at resort islands. Corals were larger and had fewer diseases in uninhabited islands. Minor resort effect was detected on motile species represented by commercial fish and echinoderms. Main conclusionsin countries where natural biodiversity strongly sustains the tourist sector and where local populations rely on natural resources, a balance between tourism development, local extraction practices and biodiversity conservation is necessary. The presence of eco-friendly managed resorts, which practices would need to be certified on the long term, is beneficial to protect certain organisms. House reefs around resorts could therefore provide areas adding to existing marine protected areas, while marine protection efforts in local community islands should focus on improving fishing management.","Invertebrates","Tourism","MDV","Asia","1376_Invertebrates","Harmful"
"1376","The ""resort effect"": can tourist islands act as refuges for coral reef species?","MORITZ CHARLOTTE;DUCARME FREDERIC;SWEET MICHAEL J;FOX MICHAEL D;ZGLICZYNSKI BRIAN;IBRAHIM NIZAM;BASHEER AHMED;FURBY KATHRYN A;CALDWELL ZACHARY R;PISAPIA CHIARA;GRIMSDITCH GABRIEL;ABDULLA AMEER",2017,"Aimthere is global consensus that marine protected areas offer a plethora of benefits to the biodiversity within and around them. Nevertheless, many organisms threatened by human impacts also find shelter in unexpected or informally protected places. For coral reef organisms, refuges can be tourist resorts implementing local environment-friendly bottom-up management strategies. We used the coral reef ecosystem as a model to test whether such practices have positive effects on the biodiversity associated with de facto protected areas. Locationnorth ari atoll, maldives. Methodswe modelled the effects of the environment and three human management regimes (tourist resorts, uninhabited and local community islands) on the abundance and diversity of echinoderms and commercially important fish species, the per cent cover of reef benthic organisms (corals, calcareous coralline algae, turf and macroalgae) and the proportion of coral disease. We used multivariate techniques to assess the differences between reef components among the management regimes. Resultsreefs varied between the management regimes. A positive resort effect was found on sessile benthic organisms, with good coral cover and significantly less algae at resort islands. Corals were larger and had fewer diseases in uninhabited islands. Minor resort effect was detected on motile species represented by commercial fish and echinoderms. Main conclusionsin countries where natural biodiversity strongly sustains the tourist sector and where local populations rely on natural resources, a balance between tourism development, local extraction practices and biodiversity conservation is necessary. The presence of eco-friendly managed resorts, which practices would need to be certified on the long term, is beneficial to protect certain organisms. House reefs around resorts could therefore provide areas adding to existing marine protected areas, while marine protection efforts in local community islands should focus on improving fishing management.","Fish","Tourism","MDV","Asia","1376_Fish","Mixed"
