"timestamp","coder_id","paper_id","year_pub","author","taxa_list","habitat","num_countries","list_countries","list_continents","scale_entire","num_time_pd","year_start","year_end","temp_res","temp_res_unk","meta_var_type","b4_dur_after","peri_tele_flows","tele_cat","peri_tele_sep","peri_tele_sep_unk","data_source_biodiv","data_source_meta","data_type_biodiv","data_type_meta","scale_biodiv","comments","num_biodiv_metrics","list_biodiv_metrics","further_discuss","biodiv_countries"
2020-04-07 14:05:54,"E_Dean","17",2019,"Brandt","Plants/trees/shrubs","Terrestrial",NA,"Bhutan, China, India, Nepal","Asia","International (within a continent; e.g., European Union)",17,NA,NA,"Annually","","Categorical","During","Buffer zones of ecotourism were established in major ecotourism hubs of each country (Himachal Pradesh (n = 4), Nepal (n = 5), Bhutan (n = 3), and Yunnan (n = 3))","Tourism","Unclear/Uncertain","The study established ecotourism hubs, but did not specify what driver external to those hubs was driving ecotourism (for example, what countries are driving tourism in those hubs?)","Secondary","Secondary","Remote sensing","Remote sensing, Used literature to identify ecotourism hubs, then used remote sensing to delineate ecotourism zones","International (within a continent; e.g., European Union)","","1","% forest loss","No","Bhutan, China, India, Nepal"
2020-03-19 13:14:00,"E_Xing","44",2019,"Mokotjomela","Plants","Terrestrial",1,"South Africa","Africa","Sub-national (within-country region)",NA,NA,NA,"Other","na","Categorical","1","Biodiversity Economy Strategy at South Africa","Other","No","na","Secondary","Secondary","biological;rs","social","subnational","na","1","no such data in Chinese survey","No","no such data in Chinese survey"
2020-03-15 22:29:55,"MG_Chung","45",2019,"Green","Birds, Mammals, Amphibians, Plants/trees/shrubs","Terrestrial",139,"many","South America","Global (>100 countries)",2,"2000","2010","Annually","","Continuous","Before, During","Soybean trade","Trade","No","","Secondary","Secondary","Aggregate institutional data","Remote sensing, Aggregate institutional data","Sub-national (within-country region)","","1","species-by-species losses of suitable habitat","No",""
2020-04-30 18:34:53,"M_Lei","80",2019,"Krawczyk","Birds, Reptiles","Terrestrial",NA,"Greece","Europe","Sub-national (within-country region)",1,"2016","2016","Annually","","Categorical","After","Investment(building and road)","Investment","No","","Primary","Secondary","Biological field observations","Remote sensing","Sub-national (within-country region)","","2","bird and reptile abundance","No","Greece"
2020-04-29 13:19:36,"C_Hovis","84",2019,"Lindenmayer","Birds","Terrestrial",NA,"Australia, Rest of the World","Oceania (Australia, New Zealand, Fiji, etc)","Global (>100 countries)",1,"2004","2014","Annually","","Categorical","After","Logging ","Trade","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","LOTS OF METRICS, TOO MANY?, AM I DOING THIS WRONG? reports apparent occupancy, does not consider detectability","","functional trait and logging, spp richness (2 logging times), apparent occupancy by spp (2 logging times), apparent occupancy by spp with fire (2 logging times)","Yes","Australia"
2020-03-20 07:24:13,"Y_Dou","92",2019,"Wang","Amphibians","Terrestrial",1,"China","Asia","Sub-national ((within-country region)",15,"2014","2018","Monthly","","Categorical","During","categorical disturbances","Tourism, land use","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","2","species richness; species abundance","No",""
2020-04-28 18:33:52,"C_Hovis","134",2017,"Dudley","Invertebrates","Freshwater",NA,"USA, Rest of the World","North America (includes Hawaii & all countries above Panama Canal)","Global (>100 countries)",1,"2012","2014","Seasonally","","Categorical","Before, After","Invasive spp","Species Dispersal","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","USA = Hawaii","20","algae quality (both inv spp); litter quality (tree inv); day abun (both inv, two spp); night abun (both inv,two spp); migration (two inv, two spp), body size, body condition (small & large)","No","USA "
2020-05-11 12:49:11,"R_Chen","154",2017,"Grandi","Birds","Terrestrial",NA,"many","Unclear/unknown","Intercontinental (> 2 continents)",1,NA,NA,"Unknown/Unclear","review paper, not mentioned","Continuous","After","trade of individual numbers","Trade","No","","Secondary","Secondary","paper review","paper review","Intercontinental (> 2 continents)","","1","number of individuals ","No","many"
2020-04-16 11:45:16,"Y_Zhang","227",2019,"Marquardt","Not specified/global study","Not specified/Global study",NA,"many","North America (includes Hawaii & all countries above Panama Canal), South America, Asia, Europe, Africa, Oceania (Australia, New Zealand, Fiji, etc)","Global (>100 countries)",2,"2009","2016","Unknown/Unclear","Found in supplementary material, the data are secondary (from other studies) - one in 2009, one in 2016, temporal resolutions are unclear","Not specified, use household expenditure and population density as variables","After","Not specified, inferred only","Trade, Migration (human), human consumption (direct, agriculture/land use change)","No","","Secondary","Secondary","Aggregate institutional data","Aggregate institutional data","Global (>100 countries)","","4","mean species abundance, relative abundance, relative within-sample species richness, vulnearbility-weighted global relative species","No","many"
2020-04-01 15:48:23,"A_Herzberger","292",2019,"NOBRE","","Freshwater",NA,"Brazil","South America","Sub-national ((within-country region)",8,"2010","2013","Seasonally","","Categorical","Before, After","introduction of Astyanax bimaculatus to a previous fishless lake after a mine opended","Migration (human), Investment, unsure, it was the intentional introduction of a fish to a lake by miners presumably ","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","4","species richness, abundance, community assemblage ","No","Brazil"
2020-05-19 09:25:52,"X_Wu","302",2014,"Lima","Fish","Freshwater",NA,"Brazil","South America","Unclear/unspecified",1,"2005","2007","Daily","","Categorical","During","","Tourism","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","4","Species richness; diversity; eveness; density","No","Brazil"
2020-04-16 12:14:45,"Y_Zhang","311",2013,"Farris","Plants/trees/shrubs","Terrestrial",NA,"Italy","Europe","Sub-national (within-country region)",2,"2006","2006","Seasonally","Spring and summer","Categorical","Before, After","Tourists","Tourism","No","","Primary","Secondary","Biological field observations","No quantified data of tourists, but use intensity (high, low) instead","Sub-national (within-country region)","","1","species cover","No","Italy"
2020-03-19 15:29:13,"A_Herzberger","332",2019,"Wagaw","Birds, Fish","Freshwater",1,"Ethopia","Africa","Sub-national ((within-country region)",4,"1980","2016","Unknown/Unclear, They have collected others peoples datasets, and give populations at times when other studies reported it","They have lots of data sets at different times","Continuous","Before, During, After","water extraction for soda ash production, mineral and sand extraction, irrigation, and degradation from livestock","Water Transfer","Yes","","Secondary","Secondary","Biological field observations","Aggregate institutional data","Sub-national (within-country region)","","2","fishery collapse, # of waterfowl, ","No",""
2020-04-14 12:03:22,"E_Dean","339",2013,"Oldekop","Amphibians, Plants/trees/shrubs","Terrestrial",NA,"Ecuador","South America","Sub-national (within-country region)",1,NA,NA,"Unknown/Unclear","Study did not outline how often data was collected","Categorical","During","Trade was quantified as market access, categorizing areas into ""remote"" (less market access) and ""non-remote"" (more market access). Presence/absence of community rules/sanctions regulating land use (governing of trade) could not be quantified and related to biodiversity.","Trade, Governing of trade","No","","Primary","Primary","Biological field observations","Social science field surveys","Sub-national (within-country region)","","2","Fern species richness; leaf litter frog species richness","No","Ecuador"
2020-03-18 20:15:05,"A_Torres","357",2019,"Lomas","Reptiles","Terrestrial",1,"Canada","North America","Sub-national ((within-country region)",6,"2006","2012","every 2-3 days during the active season (April-October)","","Categorical","After","Tourism (among other factors) seems to have led to habitat disturbance, though tourism is not quantified in any way","Tourism","No","","Primary","Primary","Biological field observations","GIS observations (proximity to sources of human disturbance)","Sub-national (within-country region)","I included the paper because the authors say that the explanatory variable (habitat disturbance) is primarily linked with tourism (golf course, campground, hiking trails, roads, parking lots, vineyards, condominium complex), but such link is not thoroughly discussed nor quantified.","5","home range (Kernel Density); home range (minimum convex polygon); Core area size; Range length; Maximum distance traveled from hibernacula","No",""
2020-04-28 16:37:45,"M_Lei","379",2019,"Moraes","Invertebrates","Marine",NA,"Brazil","South America","Sub-national (within-country region)",6,"2008","2016","Annually","","Continuous","During","Bioeroding sponge richness and abundance","Species Dispersal","No","","Primary, Secondary","Primary, Secondary","Biological field observations, Aggregate institutional data","Field observations, Aggregate institutional data","Sub-national (within-country region)","","2","Bioeroding sponge richness and abundance","No","Brazil"
2020-04-30 17:13:50,"M_Lei","396",2019,"Wraith","Plants/trees/shrubs","Terrestrial",NA,"tourism and recreatio","Oceania (Australia, New Zealand, Fiji, etc)","Global (>100 countries)",1,"2018","2018","Annually","","Continuous","During","tourism and grazing, Get the data through the report: number of threatened species","Tourism, grazing","Yes","","Secondary","Secondary","Aggregate institutional data","Aggregate institutional data","Sub-national (within-country region)","","1","orchids richness ","No","Australia"
2020-04-28 22:26:10,"Y_Zhang","425",2019,"Costa","Invertebrates","Terrestrial, Marine",NA,"Brazil or more (unspecified tourist source)","South America","Unclear/unspecified",2,"2017","2018","Unknown/Unclear","Several field days","Continuous","Before, After","Urbanization index and percentage of fine sediment","Tourism","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","1","Single species abundance","No","Brazil"
2020-04-28 22:54:45,"Y_Zhang","466",2011,"Bejarano","Plants/trees/shrubs","Freshwater",NA,"Sweden","Europe","Sub-national (within-country region)",2,"2006","2009","Unknown/Unclear","","Categorical","After","Water flow (impact from dams)","Water flow (hydrological regulation)","No","","Primary","Secondary","Biological field observations","Remote sensing, Aggregate institutional data","Sub-national (within-country region)","","2","Number of trees; number of shrubs","No","Sweden"
2020-04-30 22:49:42,"M_Lei","471",2011,"WIANCKO","Birds","Terrestrial",NA,"CUBA","North America (includes Hawaii & all countries above Panama Canal)","Sub-national (within-country region)",3,"2005","2006","Seasonally","","Continuous","During","investment and building in resorts","Investment","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","2","landbird richness and abundance","No","CUBA"
2020-05-19 10:32:00,"X_Wu","479",2019,"Singh","Invertebrates","Terrestrial",NA,"China","Asia","Unclear/unspecified",1,"2013","2013","Annually","","Categorical","During","","Trade","No","","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","This paper only showed the significant differences about the α diversity.","3","Richness, abundance, diversity","No","China"
2020-04-17 10:03:12,"A_Herzberger","510",2018,"Geedicke","Plants/trees/shrubs, habitat pollution ","Terrestrial",NA,"Australia ","Oceania (Australia, New Zealand, Fiji, etc)","Sub-national (within-country region)",1,NA,NA,"snap shot, 1x","","Categorical","","Runoff from industrial, urban, and control","Water Transfer, Waste Transfer","Yes","the effect of residential vs. industrial runoff on habitat and plant communities ","Primary","Primary","Biological field observations","Field observations","Sub-national (within-country region)","","2","nutrient pollution, plant community composition","No","Australia"
2020-04-21 11:14:13,"A_Herzberger","518",2018,"Amira","Birds","Terrestrial",NA,"Malaysia ","Asia","Sub-national (within-country region)",2,"2015","2015","Seasonally","before/after rice harvest","just assuming rice export","Before, After","external flow is rice export","Trade","No","","Primary","Secondary","Biological field observations","knowledge of existence ","Sub-national (within-country region)","","3","bird abundance, richness and assemblage ","No","Malaysia"
