Timestamp,Coder ID,Paper ID Code ,Year Published,First Author's Last Name,Criteria 1: Biodiversity,Criteria 2: Metacoupling,Criteria 3: Biodiversity Quantification,Criteria 4: Study Type,Were you able to explicitly indicate that the paper meets all four of our criteria for the previous questions?,,,Did you check for relevant information in the supplementary material?,Concerns/Comments,Does this paper need further discussion with the whole group? (Expect most answers to be no),"Did the authors explicitly reference distant impacts on biodiversity in the text of the paper? (If yes, you did not have to infer that there was a telecoupling process.)",Please explain your above answer.
5/27/2020 1:12:04,R_Chen,2373,2016,LIOGCHII,"no biodiversity talked about, only protect areas",transboundary sources of pollution on protected areas,not explicit,Review (not qualified for coding),No,,,No Supplementary Material Provided,,,,
5/27/2020 0:56:36,R_Chen,2036,2017,Hakim,flora-fauna,Tourism,no metric,Review (not qualified for coding),No,,,No Supplementary Material Provided,,,No,
5/27/2020 0:49:34,R_Chen,1845,2017,Jawaheri,dragonflies,lake liming programmes on the species richness of dragonflies,species richness,Observational study,No,,,Yes,,No,No,only talked about local driver and impacts
5/26/2020 17:36:14,R_Chen,3081,2015,Mikoláš,Capercaillie,orest management,capercaillie abundance,Observational study,Yes,,,Yes,,No,No,selective logging on capercaillie abundence
5/26/2020 17:28:37,R_Chen,3393,2015,Manley,Insects,Emerging Viral Disease impacts,number of species,Review (not qualified for coding),No,,,No Supplementary Material Provided,,No,No,this is a review paper
5/26/2020 10:55:13,Y_Zhang,4209,2014,Molina-Montenegro,Poa annua (invasive species to Antarctica),Human activities (migration) impact poa annua presence and abundance,Abundance,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,
5/26/2020 0:01:28,Y_Zhang,4445,2013,Wolf,bird communities,Tourists impact on bird communities along road/hiking trails,"Bird abundance, species richness",Observational study,Yes,,,No Supplementary Material Provided,,No,No,
5/25/2020 23:45:51,Y_Zhang,3907,2014,Irl,endemic plant richness,no,endemic plant richness,Observational study,No,,,No Supplementary Material Provided,The issue is an earlier paper used the similar approach comparing road/trail plant species cover etc. while I included/coded that one because it specifically mentioned tourism; but this paper didn't mention any of those (can't infer metacoupling effect at all) so would exclude this paper.,Yes,No,
5/25/2020 23:39:32,M_Lei,3247,2015,Valencia,tree biodiversity in coffee (Coffea arabica) agroforests,farmers’ knowledge of management practices,"tree richness,tree density,shannon diversity",Observational study,Yes,,,No,,No,Yes,
5/25/2020 23:22:23,Y_Zhang,3849,2014,Wolf,vegetation species,"Tourists impact on roads and hiking trials' plant species compositon, cover, and diversity","Plant cover, non-native species cover, simpson's diversity index",Observational study,Yes,,,No Supplementary Material Provided,,No,No,Tourists inferred 
5/25/2020 23:02:49,M_Lei,6195,2011,Azhar,birds richness in Peninsular Malaysia,natural forest prior to conversion to oil palms.,the Shannon–Wiener index  the Simpson index.,Observational study,Yes,,,Yes,,No,No,Natural forest prior to conversion to oil palms because of agricultural expansion
5/25/2020 17:32:09,Y_Zhang,4198,2014,Coconier,NA,NA,NA,NA,No,,,No,Spanish language,No,No,
5/25/2020 17:22:22,Y_Zhang,3697,2014,Moraga,Guanaco Lama guanicoe,Ranching and commmercial logging (potential conflict) impact on guanaco abundance and spatical ecology,abundance,Observational study,Yes,,,No Supplementary Material Provided,,No,No,
5/25/2020 16:36:59,Y_Zhang,3396,2015,Koprivnikar,No,Parasitic nematodes richness in migratory/non-migratory birds,No,Observational study,No,,,No Supplementary Material Provided,,No,No,
5/25/2020 16:26:19,Y_Zhang,3222,2015,Almagro-Pastor,macrobenthic fauna,Carbon storage facilities causing seawater acidification due to CO2 leakage,"Species abundance, richness, evenness, diversity",Observational study,No,,,No,,No,No,
5/25/2020 16:14:30,Y_Zhang,3124,2015,Cherkaoui,waterbirds,Designated Important Bird Areas and Ramsar wetlands impact on waterbird species richness,Species richness,Observational study,No,,,No Supplementary Material Provided,"This (type of) article is somewhat tricky whether to fall within our four criteria. In this paper, they said the designated Important Bird Areas but they didn't discuss the 'desination' helped improve waterbird species richness except for discussing the environmental factors (altitude, vegetation cover etc.) that are susceptible to bird suitable habitat. I excluded it here strictly per se.",Yes,No,
5/25/2020 15:55:54,Y_Zhang,3108,2015,Bohm,No,Technology transfer from technology-rich countries to biodiversity-rich countries,No,Review (not qualified for coding),No,,,No Supplementary Material Provided,A good paper for background information,No,No,
5/25/2020 14:48:06,M_Lei,4429,2013,Yocheva,No,Tourists,NA,Review (not qualified for coding),No,,,No,,No,No,
5/24/2020 16:46:16,A_Torres,3009,2015,D’Cruze,clouded leopard,global trade,NA,"Combination of literature review, expert opnion and trade records",No,,,No,,,,
5/24/2020 16:42:57,A_Torres,2766,2016,Fontoura,Unclear,Unclear,NA,Questionnaires,No,,,No,Paper in Portuguese,,,
5/24/2020 16:35:19,A_Torres,2501,2016,Huang,NA,pathogenic avian influenza virus (HPAIV) H5N1,local distribution of the H5N1 viruses,Observational study,No,,,No,,,,
5/24/2020 16:32:59,A_Torres,2473,2016,Tang,wintering birds - Anseriformes,"NA - just assessing land-use changes through time, not the specific impact of a telecoupling",habitat suitability,Modeling study (using empirical data and not projected),No,,,No,,,,
5/24/2020 16:22:36,A_Torres,2316,2016,Antunes,10 large-bodied mammals,international trade in furs and skins - commercial hunting,"Harvesting rates, but not impacts on populations",Simulation or Forecasting study (does not qualify for coding),No,,,No,,,,
5/24/2020 16:11:25,A_Torres,2221,2016,Malik,NA (forest area is used as a proxy of biodiversity),Tourism,"Forest area, no focus on any taxa. Just using World Development Indicators of the World Bank",Modeling study (using empirical data and not projected),No,,,No,,,,
5/24/2020 16:03:42,A_Torres,2143,2017,Turbelin,invasive species,invasive species,"NA the paper assesses pathways of species introduction, no impacts on local biodiversity",Modeling study (using empirical data and not projected),No,,,No,,,,
5/24/2020 16:01:23,A_Torres,1366,2017,Yang,fish,dam-energy production,abundances,Observational study,Yes,,,No,,No,Yes,mention of hydroelectric projects
5/24/2020 15:38:08,A_Torres,674,2017,Bowler,Danish terrestrial birds,NA,abundance,Modeling study (using empirical data and not projected),No,,,No,,No,,
5/21/2020 14:01:39,C_Hovis,5437,2018,RUMSCHLAG,NA,NA,NA,Observational study,No,,,No Supplementary Material Provided,pesticide use not liked with apparent distant impact that impacts disease prevalence,,,
5/19/2020 21:18:22,X_Wu,5944,2012,Khan,Aquatic biodiversity,NA,Species,Observational study,No,,,No,"This paper is about pollution, not telecoupling.",,,
5/19/2020 21:12:54,X_Wu,5376,2018,Monti,NA,Tourism,NA,Observational study,No,,,No,"This paper is about breeding performance of osprey, not biodiversity.",,,
5/19/2020 21:05:21,X_Wu,3748,2014,Qin,Birds density,NA,Density,Review (not qualified for coding),No,,,No,,,,
5/19/2020 21:02:25,X_Wu,3529,2015,Chapman,Neotropical migratory birds,NA,Species richness,Observational study,No,,,No,,,,
5/19/2020 21:00:00,X_Wu,3364,2015,Rankin,Vascular plants,Tourism and recreation,Species,Review (not qualified for coding),No,,,No,A continental scale review about tourism threaten vascular plant diversity.,,Yes,
5/19/2020 20:19:22,X_Wu,5746,2012,Villamagna,Waterbird,Species invasion,"Density, species richness, Simpson's index, species composition",Observational study,Yes,,,No,,,,
5/19/2020 16:54:18,X_Wu,5687,2012,Thomas,Invertebrate species,NA,Species richness,Observational study,No,,,No,"This paper is about protected areas, not telecoupling",,,
5/19/2020 16:49:56,X_Wu,5649,2012,Crump,Microbial diversity,NA,Species richness,Observational study,No,,,No,"This paper is about inoculation, not telecoupling.",,,
5/19/2020 13:56:12,X_Wu,4892,2013,LABAJ,Invertebrate composition,Spieces invasion,Composition,Experimental study,No,,,No,This paper is about Paleolimnology.,,,
5/19/2020 13:45:39,X_Wu,4648,2013,KROEKER,NA,NA,NA,Meta-analysis,No,,,No,This paper is about ocean acidification and is a meta-analysis.,,,
5/19/2020 12:21:07,X_Wu,4257,2014,Miranda,Benthic assemblages,Species invasion caused by trade,Composition,Observational study,Yes,,,Yes,,,,
5/19/2020 12:04:54,X_Wu,3807,2014,Vasconcelos,Fish,Dam construction,"Species richness, evenness",Observational study,No,,,No,The paper is about changes after 2 and 10 years of a dam. Cannot show the impact of dam.,,,
5/19/2020 11:57:30,X_Wu,3019,2015,PLUMMER,NA,NA,NA,Observational study,No,,,No,"This paper is about bird migration, not biodiversity",,,
5/19/2020 11:54:11,X_Wu,3018,2015,Reade,NA,Commercial bumble bee trade,NA,Review (not qualified for coding),No,,,No,May be a good review.,,,
5/19/2020 11:49:14,X_Wu,2082,2017,RAISCHI,NA,NA,NA,Observational study,No,,,No,"This paper is about migration routes, not biodiversity",,,
5/19/2020 11:46:03,X_Wu,2045,2017,Argañaraz,Spider,NA,"Species richness, abundance and composition",Observational study,No,,,No,"This paper is about urbanization, not telecoupling.",,,
5/19/2020 11:43:03,X_Wu,1734,2017,Gutierrez,Helminth species richness,NA,Species richness,Modeling study (using empirical data and not projected),No,,,No,,,,
5/19/2020 11:29:11,X_Wu,1368,2017,Arribas,Sea star density,Tourism,Density,Observational study,Yes,,,No,,,,
5/19/2020 11:21:09,X_Wu,1074,2018,Iannucci,Black rats,Invasive species,NA,Observational study,No,,,No,"This paper focus on the genetic diversity of invasive rats, not their impact on biodiversity.",,,
5/19/2020 10:39:58,X_Wu,895,2018,Kandel,Birds,NA,Species,Review (not qualified for coding),No,,,No,,,,
5/19/2020 10:08:27,X_Wu,479,2019,Singh,Microfaunal and mesofaunal,Rubber plantation for trade,"Richness, abundance, diversity",Observational study,Yes,,,Yes,The telecoupling process was infered.,No,No,This paper is about difference between tropical forest and rubber plantation. We can infer that rubber plantation is for trade.
5/19/2020 9:17:18,X_Wu,302,2014,Lima,Fish,Tourism,Species richness; diversity; evenness; density,Observational study,Yes,,,No Supplementary Material Provided,,,,
5/19/2020 9:06:12,X_Wu,169,2016,Sandilyan,Fish diversity,Ornamental fish trade; introduction of exotic fishes,NA,Review (not qualified for coding),No,,,No Supplementary Material Provided,,,,
5/19/2020 9:02:33,X_Wu,8,2018,Lines,Mammal species,No,Species diversity,Modeling study (using empirical data and not projected),No,,,No Supplementary Material Provided,"This paper is about Transfrontier Conservation Area Programme, not metacoupling",,,
5/15/2020 14:07:29,E_Dean,5844,2012,Brewer,Coral reef fishes,Trade (market access) that increases fishing pressure,Reef fish populations,Observational study,Yes,,,Yes,,,Yes,
5/15/2020 11:50:26,E_Dean,5032,2019,Scheele,Amphibians,"Spread of the infectious disease ""Chytridiomycosis""",Abundances of amphibians,"Study integrates laboratory, experimental, and field data to assess declines in amphibian species- like a review, but with actual data.",Yes,,,Yes,,No,No,It is noted that the disease is spread by human means but the role of humans in spreading the disease is not quantified.
5/13/2020 12:40:35,M_Lei,2871,2016,Handal,NA,birds migrating,NA,Experimental study,No,,,No Supplementary Material Provided,,No,Yes,
5/12/2020 16:51:51,R_Chen,4207,2014,Goswami,Carnivore and Herbivore,political volatility and armed conflicts,densities of animals,Observational study,Yes,,,No Supplementary Material Provided,,No,No,they talked about conflicts and their impacts on biodiversity
5/12/2020 13:02:17,R_Chen,2036,2017,HAKIM,not specified,"unsustainable agriculture practices, illegal hunting, illegal logging, forest fire, illegal plant collections and tourism",not quantified,Review (not qualified for coding),Yes,,,No Supplementary Material Provided,,No,No,very general review
5/12/2020 12:24:33,R_Chen,1893,2017,Huang,fish assemblages and coral coverage,Privately managed marine reserves,fish abundances,Observational study,Yes,,,Yes,,No,No,"a local study, don't consider outside drivers"
5/12/2020 11:49:37,R_Chen,3790002,2019,Liu,Bryophyte,"Human activities, including agriculture, animal husbandry, and tourism development",number of species,Observational study,Yes,,,No Supplementary Material Provided,,No,No,"Human activities, including agriculture, animal husbandry, and tourism development are the drivers, but don't talk about the distance of these drivers.  "
5/12/2020 0:48:59,R_Chen,6315,2011,Burn,Elephants,ivory trade,number of elephant carcasses,Modeling study (using empirical data and not projected),Yes,,,No Supplementary Material Provided,,No,Yes, Important drivers of illegal killing that emerged at country level were poor governance and low levels of human development
5/11/2020 13:30:59,R_Chen,1836,2017,Vall-llosera,Australian endemic parrots,international trade,number of transactions,Observational study,Yes,,,Yes,,No,Yes,international trade in Australian endemic parrots
5/11/2020 13:18:52,R_Chen,854,2018,Yi,Habitat quality,urban expansion,InVEST model,Modeling study (using empirical data and not projected),Yes,,,Yes,,No,Yes,inception of the North American Free Trade Agreement (NAFTA) in 1994
5/11/2020 12:44:14,R_Chen,154,2017,Grandi,Amazon parrots,trade,number of individuals,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,international trade
5/11/2020 12:31:05,R_Chen,7010,2010,Morriën,exotic plants,invasive species,above-ground and below-ground interactions of plants,Experimental study,Yes,,,No Supplementary Material Provided,,No,Yes,intracontinental range-expanding
5/11/2020 11:58:37,R_Chen,6348,2011,Sundermann,benthic invertebrate assemblages,river restoration,number of species,Observational study,Yes,,,Yes,,No,No,only local effects were discussed
5/11/2020 11:47:01,R_Chen,4352,2014,Duffy,Elephant,tourism,number of elephant,Review (not qualified for coding),Yes,,,No Supplementary Material Provided,,No,No,"this is a review paper, no data presented."
5/11/2020 10:39:08,R_Chen,4136,2014,Li,Bird Species,trade,number of individuals,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,international trade
5/11/2020 10:12:51,R_Chen,2504,2016,Dronova,Wintering Waterbird,Landscape change,Wintering Waterbird Diversity and Abundance ,Observational study,Yes,,,No Supplementary Material Provided,,No,No,Landscape-Level change 
5/11/2020 9:57:17,R_Chen,2402,2016,Tata,Dyera polyphylla (Miq.) Steenis,human domestication,growth rate of the species,Observational study,Yes,,,No Supplementary Material Provided,,No,No,don't mention the distance of intervention
5/11/2020 9:48:58,R_Chen,2373,2016,LIOGCHII,plant and animal species,trans boundary pollution,number of species,Observational study,Yes,,,No Supplementary Material Provided,,No,No,"this paper is too generic, not too much information"
5/11/2020 9:30:30,R_Chen,2214,2016,Villatoro,dog,immigration,number of dogs,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,Some dogs were brought from areas located as far as ∼700 km away from the study area.
5/11/2020 0:49:24,R_Chen,2210,2016,Auliya,reptiles,trade,number of reptiles,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,Trade in live reptiles and its impact on wild populations
5/11/2020 0:40:05,R_Chen,1845,2017,Jawaheri,dragonflies,lake liming programmes,species richness,Observational study,Yes,,,Yes,,No,No,only local drivers were explored
5/1/2020 13:54:20,E_Dean,1717,2017,Pickering,Plant communities,"Tourism, however the study does not examine control groups but rather than differences between formal and informal structures of trails used be tourists for recreation.","Plant cover, growth forms, species richness, species composition",Observational study,No,,,Yes,,,,
5/1/2020 13:48:59,E_Dean,1676,2017,Robichaud,Bird communities during breeding season,"Species invasion, however as discussed in lab meeting, there is no control or before/after groups to determine the role of species invasions in affecting biodiversity.",Bird abundance and diversity,Observational study,No,,,Yes,,No,No,Only describes phragmites as an invader of coastal-marsh lands and their effects on bird communities.
5/1/2020 12:28:35,R_Chen,383,2017,BAUNI,Animals,transport development,number of animals,Simulation or Forecasting study (does not qualify for coding),No,,,No Supplementary Material Provided,,,,
5/1/2020 12:21:54,R_Chen,374,2018,Dale,bird,urbanization,species richness,Observational study,No,,,Yes,,,,
5/1/2020 11:46:02,R_Chen,369,2018,Gibbs,venomous snake,Amazon river,venomous snake numbers,Observational study,No,,,No Supplementary Material Provided,,,,
5/1/2020 11:39:10,R_Chen,364,2018,Assédé,orchid species,protected areas,orchid species number,Observational study,No,,,No Supplementary Material Provided,,,,
5/1/2020 11:30:47,R_Chen,359,2019,Parker,songbird,elephant browsing ,songbird density and diversity,Observational study,No,,,Yes,,,,
5/1/2020 11:21:38,R_Chen,340,2014,Schulze,Oilseed Rape,ban of import,Plant samples,Experimental study,No,,,Yes,,,,
5/1/2020 11:10:20,R_Chen,332,2017,Dimobe,Habitat Fragmentation,Tourism,Habitat Fragmentation,Observational study,No,,,No Supplementary Material Provided,,,,
5/1/2020 10:44:37,R_Chen,313,2017,Bek,Wildflower,Trade,Wildflower,Review (not qualified for coding),No,,,No Supplementary Material Provided,,,,
5/1/2020 10:39:41,R_Chen,310,2018,Oldekop,forest,international migration,forest cover,Observational study,Yes,,,Yes,,No,Yes,International migration 
5/1/2020 10:36:22,R_Chen,301,2016,Šilc,plant communities,tourism,connectivity,Observational study,No,,,No Supplementary Material Provided,,,,
