Timestamp,Coder ID,Paper ID Code ,Year Published,First Author's Last Name,Taxonomic Focus,Habitat Focus,Number of Countries Involved,Countries Analyzed,Continent(s) represented,Scale of Entire System,Number of Time Periods (number),Starting Year of Study,Ending Year of Study,Temporal Resolution,Temporal Resolution (Unknown/Unclear),,Metacoupling Variable Type,Before/During/After,Specific Peri- or Telecoupled Flow(s),Telecoupled Flow Category,,,,,,Separation of Peri- and Telecoupled Connections,Separation of Peri- and Telecoupled Connections (uncertain),,Source of Biodiversity Data,Source of Metacoupling Data,Type of Biodiversity Data,Type of Metacoupling Data,Scale of biodiversity metric(s)?,Comments/Concerns,How many metrics of biodiversity did the study report?,What were the specific metrics reported?,Does this paper need further discussion with the whole group? (Expect most answers to be no),Countries Analyzed for Biodiversity
4/17/2020 10:03:12,A_Herberger,510,2018,Geedicke,"Plants/trees/shrubs, habitat pollution ",Terrestrial,,Australia ,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),1,NA,NA,"snap shot, 1x",,,Categorical,,"Runoff from industrial, urban, and control","Water Transfer, Waste Transfer",,,,,,Yes,the effect of residential vs. industrial runoff on habitat and plant communities ,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,"nutrient pollution, plant community composition",No,Australia
4/1/2020 15:48:23,A_Herzberger,292,2019,NOBRE,,Freshwater,,Brazil,South America,Sub-national ((within-country region),8,2010,2013,Seasonally,,,Categorical,"Before, After",introduction of Astyanax bimaculatus to a previous fishless lake after a mine opended,"Migration (human), Investment, unsure, it was the intentional introduction of a fish to a lake by miners presumably ",,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,"species richness, abundance, community assemblage ",No,Brazil
3/19/2020 15:29:13,A_Herzberger,332,2019,Wagaw,"Birds, Fish",Freshwater,1,Ethopia,Africa,Sub-national ((within-country region),4,1980,2016,"Unknown/Unclear, They have collected others peoples datasets, and give populations at times when other studies reported it",They have lots of data sets at different times,,Continuous,"Before, During, After","water extraction for soda ash production, mineral and sand extraction, irrigation, and degradation from livestock",Water Transfer,,,,,,Yes,,,Secondary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,2,"fishery collapse, # of waterfowl, ",No,
3/26/2020 15:16:28,A_Herzberger,1270,2017,Lima,Fish,Marine,,Brazil,South America,"International (within a continent; e.g., European Union)",3,2004,2012,"1 year before, 1 year after, 5 years after dam closure",,,Categorical,"During, After","Hydropower production, before, after and 5 years after closure","Water Transfer, Energy Transfer",,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,3,"reproduction, habitat use, diet by functional groups",No,Brazil
3/17/2020 12:56:14,A_Herzberger,1488,2017,Lopez-Ricaurte,Birds,Terrestrial,1,Colombia,South America,Sub-national ((within-country region),1,2016,2016,Daily,4 consecutive day ,,Categorical,After,palm oil export,Trade,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,3,Species richness; abundance; distance to habitat,No,
3/31/2020 13:59:02,A_Herzberger,2253,2016,Ferrigno,Invertebrates,Marine,,Indonesia,Asia,Global (>100 countries),1,2014,2014,"2 months, across 18 sites ",,,Continuous,During,Distance from coral reefs to fishing villages and scuba diving resorts as a proxy for human activity,"Trade, Tourism",,,,,,Yes,"measured affect ""other"" local sites as well ",,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,an index of coral quality was created from other biodiversity metrics,No,Indonesia
4/1/2020 15:23:55,A_Herzberger,2546,2015,Sanderson,Birds,Terrestrial,,27 EU countries ,Europe,"International (within a continent; e.g., European Union)",2,1980,2012,short term 2001-2012; long-term 1980-2012,,,Categorical,During,bird is classified in annex I or not by EU conservation directive,Knowledge Transfer,,,,,,No,,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,"International (within a continent; e.g., European Union)",,5,"habitat association; migration strategy; reproduction; population short-term trend, population long-term trend",No,27
3/26/2020 15:38:30,A_Herzberger,2577,2016,Titelboim,Fish,Marine,,Israel ,Asia,Sub-national ((within-country region),15,2013,2014,Monthly,,,Categorical,During,"power and desalination plants use the water for cooling, which increases water temp.","Water Transfer, Energy Transfer",,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,3,community assemblage; species richness; habitat temperature;,No,Isreal
3/18/2020 9:33:52,A_Herzberger,3456,2015,Bravo,"Invertebrates, Plants/trees/shrubs",Marine,1,Argentina,South America,Sub-national ((within-country region),4,2011,2012,Seasonally,2,,Categorical,"Before, After",Diving tourism ,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,3,relative abundance; community composition; habitat,No,
3/26/2020 16:00:07,A_Herzberger,3738,2014,Macrae,Reptiles,Marine,,Australia ,Asia,Sub-national ((within-country region),2,NA,NA,"before 1980, after 1980",,,Categorical,"Before, After",the reclassifying of sea turtles as a forbidden food by Islam,Knowledge Transfer,,,,,,Yes,,,Secondary,"Primary, Secondary","Biological field observations, Social science field observations","Field observations, Social science field surveys",Sub-national (within-country region),,,turtle abundance,No,"Cocos Islands, Austrailian territory  "
