Timestamp,Coder ID,Paper_ID_correction,Paper ID Code ,Year Published,First Author's Last Name,Criteria 1: Biodiversity,Criteria 2: Metacoupling,Criteria 3: Biodiversity Quantification,Criteria 4: Study Type,Were you able to explicitly indicate that the paper meets all four of our criteria for the previous questions?,Did you check for relevant information in the supplementary material?,Concerns/Comments,Does this paper need further discussion with the whole group? (Expect most answers to be no),"Did the authors explicitly reference distant impacts on biodiversity in the text of the paper? (If yes, you did not have to infer that there was a telecoupling process.)",Please explain your above answer.
1/5/2020 9:51,R_Chen,242,240,2019,Vogdrup-Schmidt,migratory species,Transnational Conservation,habitat area,Observational study,No,Yes,,,,
1/5/2020 9:42,R_Chen,264,180,2019,Pinna,vegetation,tourism,"the total plant cover (%), the number of species (richness),",Observational study,Yes,Yes,,No,No,"tourism is more general, not explain where they from"
1/5/2020 9:09,R_Chen,337,57,2019,Klarenberg,plant,road development,plant species richness,Observational study,No,Yes,,,,
1/5/2020 11:30,R_Chen,483,359,2019,Parker,songbird,elephant browsing ,songbird density and diversity,Observational study,No,Yes,,,,
1/5/2020 10:39,R_Chen,566,310,2018,Oldekop,forest,international migration,forest cover,Observational study,Yes,Yes,,No,Yes,International migration 
3/18/2020 18:22:57,M_Lei,6655,77,2011,Salvador,Large mammal species richness and habitat use in an upper Amazonian forest,Ecotourism ,Large mammal species richness,Observational study,Yes,No Supplementary Material Provided,,,,
1/5/2020 11:39,R_Chen,826,364,2018,Ass?©d?©,orchid species,protected areas,orchid species number,Observational study,No,No Supplementary Material Provided,,,,
1/5/2020 11:46,R_Chen,934,369,2018,Gibbs,venomous snake,Amazon river,venomous snake numbers,Observational study,No,No Supplementary Material Provided,,,,
1/5/2020 12:21,R_Chen,986,374,2018,Dale,bird,urbanization,species richness,Observational study,No,Yes,,,,
1/5/2020 9:18,R_Chen,1007,85,2018,Silva,mammals,Protected Areas,number of species,Observational study,No,Yes,,,,
1/5/2020 10:02,R_Chen,1320,252,2017,Wraith,orchid,Tourism and recreation,the number of orchid species,Observational study,Yes,No Supplementary Material Provided,,No,No,only discussed residential and commercial development for tourism and recreation areas
1/5/2020 12:28,R_Chen,1482,383,2017,BAUNI,Animals,transport development,number of animals,Simulation or Forecasting study (does not qualify for coding),No,No Supplementary Material Provided,,,,
1/5/2020 10:44,R_Chen,1613,313,2017,Bek,Wildflower,Trade,Wildflower,Review (not qualified for coding),No,No Supplementary Material Provided,,,,
1/5/2020 11:10,R_Chen,2046,332,2017,Dimobe,Habitat Fragmentation,Tourism,Habitat Fragmentation,Observational study,No,No Supplementary Material Provided,,,,
1/5/2020 9:25,R_Chen,2048,91,2017,Parchizadeh,mammals,Protected Area,mammals numbers,Observational study,No,No Supplementary Material Provided,,,,
1/5/2020 10:36,R_Chen,2401,301,2016,?†ilc,plant communities,tourism,connectivity,Observational study,No,No Supplementary Material Provided,,,,
3/4/2020 10:31,R_Chen,2577,94,2016,Danna Titelboim,Abundances decreased,intracoupling,Abundances ,Observational study,Yes,No Supplementary Material Provided,not relevant to metacoupling,No,No,no external drivers were talk about
