"timestamp","paper_id","entry_id","significant","p_value","notes","coder_id","taxa","biodiv_cat_1sp","biodiv_cat_multsp","taxon_or_func","biodiv_cat_habitat","scale","biodiv_temp_res","effect"
2020-03-19 13:14:16,"44","1","Not evaluated","na","na","E_Xing","Plants","NA","NA","Taxonomic","Other","Alpha","Other","Positive"
2020-03-19 16:41:23,"1040","1","Not evaluated","na","na","E_Xing","Mammals","Abundance",NA,"Taxonomic",NA,"Alpha","Other","Negative"
2020-03-19 21:18:45,"1488","3","True","<0.01","Aquatic birds","E_Xing","Birds","NA","Abundance","Taxonomic","NA","Alpha","Other","Negative"
2020-03-19 21:19:21,"1488","2","True","<0.05","Savanna Savanna specialists","E_Xing","Birds","NA","Richness;Abundance","Taxonomic","NA","Alpha","Other","Negative"
2020-03-19 21:20:36,"1488","4","True","<0.05","Forest birds","E_Xing","Birds","NA","Abundance","Taxonomic","NA","Alpha","Other","Negative"
2020-03-19 21:22:15,"1488","5","True","<0.05","Grassland birds","E_Xing","Birds","NA","Abundance","Taxonomic","NA","Alpha","Other","Negative"
2020-03-19 21:24:17,"1488","6","True","<0.01","Carnivore birds","E_Xing","Birds","NA","Abundance","Taxonomic","NA","Alpha","Other","Negative"
2020-03-19 21:26:45,"1488","7","False","na","Frugivore birds","E_Xing","Birds","NA","Abundance","Taxonomic","NA","Alpha","Other","Negative"
2020-03-19 21:27:41,"1488","8","False","na","Granivore birds","E_Xing","Birds","NA","Abundance","Taxonomic","NA","Alpha","Other","Negative"
2020-03-19 21:28:44,"1488","9","True","<0.01","Insectivore birds","E_Xing","Birds","NA","Abundance","Taxonomic","NA","Alpha","Other","Negative"
2020-03-19 21:30:17,"1488","10","False","na","Omnivore birds","E_Xing","Birds","NA","Abundance","Taxonomic","NA","Alpha","Other","Positive"
2020-03-19 21:31:14,"1488","11","False","na","Multiple habit birds","E_Xing","Birds","NA","Abundance","Taxonomic","NA","Alpha","Other","Positive"
2020-03-19 21:31:47,"1488","1","True","<0.05","All species","E_Xing","Birds","NA","Richness;Abundance","Taxonomic","NA","Alpha","Other","Negative"
2020-04-15 21:52:19,"3456","1","True","0.0001","na","E_Xing","Invertebrates;Plants;Other","NA","Composition;Other","Functional","NA","Alpha","Seasonal","Negative;Changed"
2020-04-16 01:04:24,"3485","2","False","0.503","na","E_Xing","Other","Occurrence","NA","Taxonomic","NA","Alpha","Other","Negative"
2020-04-16 01:06:40,"3485","3","False","0.684","na","E_Xing","Other","Occurrence","NA","Taxonomic","NA","Alpha","Other","Negative"
2020-04-16 01:07:57,"3485","4","False","0.684","na","E_Xing","Other","Occurrence","NA","Taxonomic","NA","Alpha","Other","Positive"
2020-04-16 01:09:09,"3485","5","False","0.684","na","E_Xing","Other","NA","Occurence","Taxonomic","NA","Alpha","Other","Negative"
2020-04-16 01:13:58,"3485","6","False","0.671","na","E_Xing","Other","NA","Other","Taxonomic","NA","Alpha","Other","Negative"
2020-04-16 01:47:12,"3485","1","True","0.05","na","E_Xing","Other","Occurrence","NA","Taxonomic","NA","Alpha","Other","Negative"
2020-04-16 02:08:05,"3668","1","Not evaluated","no","na","E_Xing","Reptiles;Amphibians","NA","Other","Taxonomic","NA","Alpha","Other","Negative"
2020-05-11 02:20:07,"4574","1","Not evaluated","na","na","E_Xing","Mammals",NA,"Abundance","Taxonomic",NA,"Alpha","Other","Negative"
2020-05-11 20:08:42,"5175","1","Not evaluated","na","occupancy probability of Passerellidae species","E_Xing","Birds",NA,"Occurence","Taxonomic",NA,"Alpha","Annual","Positive"
2020-05-11 20:22:30,"5175","2","False","0.10","Apparent species richness","E_Xing","Birds",NA,"Richness","Taxonomic",NA,"Alpha","Annual","Positive"
2020-05-11 23:37:06,"5804","1","Not evaluated","na","na","E_Xing","Other","Occurrence","NA","Taxonomic",NA,"Alpha","Other","Negative"
2020-05-13 00:00:02,"6321","1","True","0.001","The densities of the total meiofauna","E_Xing","Invertebrates",NA,"Abundance","Functional",NA,"Alpha","Other","Negative"
2020-05-13 00:02:23,"6321","2","True","0.05","the commonest groups of meiofauna","E_Xing","Invertebrates",NA,"Abundance","Taxonomic",NA,"Alpha","Other","Negative"
2020-05-13 00:04:40,"6321","3","True","0.01","algal biomass","E_Xing","Plants",NA,"Abundance","Taxonomic",NA,"Alpha","Other","Negative"
2020-05-14 00:27:43,"6655","1","Not evaluated","na","na","E_Xing","Mammals",NA,"Occurence","Functional",NA,"Alpha","Other","Neutral"
2020-05-14 15:52:26,"3583","1","True","0.025","na","E_Xing","Invertebrates",NA,"Abundance","Functional",NA,"Alpha","Month;Other","Negative"
2020-05-14 15:53:54,"3583","2","True","0.003","na","E_Xing","Invertebrates",NA,"Richness","Functional",NA,"Alpha","Month;Other","Negative"
