"timestamp","coder_id","paper_id","year_pub","author","C1_biodiv","C2_meta","C3_quant","C4_study","meet_all_4","sup_check","comments","further_discuss","explicit_distant_impacts","explain_distant_impacts","status","abstract","title"
"2020-04-07 12:13:49","E_Dean",17,2019,"BRANDT JODI S","Forest cover","Tourism","Forest loss (change from forest to non-forest)","Modeling study (using empirical data and not projected)","Yes","No Supplementary Material Provided","","No","Yes","","accept","ecotourism is developing rapidly in biodiversity hotspots worldwide, but there is limited and mixed empirical evidence that ecotourism achieves positive biodiversity outcomes. we assessed whether ecotourism influenced forest loss rates and trajectories from 2000 to 2017 in himalayan temperate forests. we compared forest loss in 15 ecotourism hubs with nonecotourism areas in 4 himalayan countries. we used matching statistics to control for local-level determinants of forest loss, for example, population density, market access, and topography. none of the ecotourism hubs was free of forest loss, and we found limited evidence that forest-loss trajectories in ecotourism hubs were different from those in nonecotourism areas. in nepal and bhutan, differences in forest loss rates between ecotourism hubs and matched nonecotourism areas did not differ significantly, and the magnitude of the estimated effect was small. in india, where overall forest loss rates were the lowest of any country in our analysis, forest loss rates were higher in ecotourism hubs than in matched nonecotourism areas. in contrast, in china, where overall forest loss rates were highest, forest loss rates were lower in ecotourism hubs than where there was no ecotourism. our results suggest that the success of ecotourism as a forest conservation strategy, as it is currently practiced in the himalaya, is context dependent. in a region with high deforestation pressures, ecotourism may be a relatively environmentally friendly form of economic development relative to other development strategies. however, ecotourism may stimulate forest loss in regions where deforestation rates are low. efectos del ecoturismo sobre la perdida de bosques en el punto caliente de biodiversidad en el himalaya con base en analisis contrafactuales el ecoturismo esta desarrollandose rapidamente en los puntos calientes de biodiversidad en todo el mundo, pero existe evidencia empirica mixta y limitada de los resultados positivos que se logran con el ecoturismo. valoramos si el ecoturismo influyo sobre las tasas de perdida forestal y sus trayectorias entre el 2000 y el 2017 en los bosques templados del himalaya. comparamos la perdida forestal en quince focos ecoturisticos con la perdida forestal en las areas sin ecoturismo de cuatro paises del himalaya. utilizamos estadistica correspondiente para controlar las determinantes a nivel local de la perdida del bosque, por ejemplo, la densidad poblacional, el acceso al mercado y la topografia. ninguno de los focos ecoturisticos estaba libre de perdida forestal, ademas de que encontramos evidencia limitada de que las trayectorias de la perdida forestal en los focos ecoturisticos eran diferentes a las trayectorias en las areas sin ecoturismo. en nepal y en butan, las diferencias en la perdida forestal entre los focos ecoturisticos y las areas sin ecoturismo correspondidas no difirieron significativamente y la magnitud del efecto estimado fue menor. en la india, donde las tasas generales de perdida forestal fueron las mas bajas de cualquier pais en nuestro analisis, las tasas de perdida forestal fueron mas altas en los focos ecoturisticos que en las areas sin ecoturismo correspondidas. como contraste, en china, donde las tasas generales de perdida forestal fueron mas altas, las tasas de perdida forestal fueron mas bajas en los focos ecoturisticos que en donde no existe el ecoturismo. nuestros resultados sugieren que el exito del ecoturismo como estrategia de conservacion del bosque, a como se practica actualmente en el himalaya, depende del contexto. en una region con presiones altas de deforestacion, el ecoturismo puede ser una forma de desarrollo economico relativamente amigable con el ambiente comparado con otras estrategias de desarrollo. sin embargo, el ecoturismo puede estimular la perdida forestal en regiones en las que las tasas de deforestacion son bajas. resumen ?? ????, ????????????????????, ??????????????????????????????????????????? 2000-2017 ???????????????????????????????????????????????????????????????????????? ?????????????????????, ?????, ??????????????????????????????, ????????, ????????????????????????????, ????????????????????????????, ????????????????????, ????????????, ?????????????????????????????, ????????????, ??????????????????????????????, ??????????????, ???????????????????????????????????????, ???????????????????????????, ???????????, ?????????????????: ???; ??: ???? article impact statement: whether ecotourism protects forests is context dependent, and an important factor is the deforestation pressure overall on the landscape.","effects of ecotourism on forest loss in the himalayan biodiversity hotspot based on counterfactual analyses"
"2020-03-19 13:14:33","E_Xing",44,2019,"MOKOTJOMELA THABISO M","vegetation intactness","Biodiversity Economy Strategy at South Africa","vegetation intactness","Observational study","Yes","No Supplementary Material Provided","It should be included and the former survey result about it should be omitted.","no such data in Chinese survey","yes","The properties which conduct Biodiversity Economy Strategy (BES) have high total vegetation intactness. That indicates that implementation of the BES is likely to assist in conserving biodiversity.","accept","the biodiversity economy provides an important boost to socio-economic development in many developing countries. yet access and participation by previously disadvantaged individuals (pdis) has been limited, particularly in south africa. to address this social inequality, the biodiversity economy strategy (bes), implemented by the eastern cape parks and tourism agency, encouraged pdis to start game farms. we aimed to identify the critical factors influencing successful implementation of the bes in the eastern cape province in south africa, and its socio-economic and conservation benefits. critical factors that influence the success of the bes include poverty, limited land ownership and pdis' game farming skillsets which however, might be partly overcome by availability of bes's implementation funding. however, our results do not support socio-economic benefits in terms of job creation since the predicted jobs were fewer than actual jobs. all properties covered an area of 30 826ha, with high relative vegetation intactness (87.8 +/- 16.9%); and 84% (n=19) located within the eastern cape critical biodiversity areas comprising 21 distinct vegetation units, of which may confirm potential biodiversity conservation outcomes of bes. we provide first on-ground experience of implementing bes in south africa, and this study should guide future adjustments of bes and other implementing agencies beyond eastern cape province.","POTENTIAL BENEFITS ASSOCIATED WITH IMPLEMENTATION OF THE NATIONAL BIODIVERSITY ECONOMY STRATEGY IN THE EASTERN CAPE PROVINCE, SOUTH AFRICA"
"2020-03-15 20:40:16","MG_Chung",45,2019,"GREEN JONATHAN M H","Endemic species in Brazil (e.g., Managed Wolf and Giant Anteater)","The impacts of soybean trade (Cerrado-sourced soy) on endemic species","a percentage of global impacts of soy on endemic biodiversity in Cerrado","Observational/Modeling study","Yes","Yes","","","Yes","The impacts of soybean trade (Cerrado-sourced soy) on endemic species","accept","consumption of globally traded agricultural commodities like soy and palm oil is one of the primary causes of deforestation and biodiversity loss in some of the world's most species-rich ecosystems. however, the complexity of global supply chains has confounded efforts to reduce impacts. companies and governments with sustainability commitments struggle to understand their own sourcing patterns, while the activities of more unscrupulous actors are conveniently masked by the opacity of global trade. we combine state-of-the-art material flow, economic trade, and biodiversity impact models to produce an innovative approach for understanding the impacts of trade on biodiversity loss and the roles of remote markets and actors. we do this for the production of soy in the brazilian cerrado, home to more than 5% of the world ' s species. distinct sourcing patterns of consumer countries and trading companies result in substantially different impacts on endemic species. connections between individual buyers and specific hot spots explain the disproportionate impacts of some actors on endemic species and individual threatened species, such as the particular impact of european union consumers on the recent habitat losses for the iconic giant anteater (myrmecophaga tridactyla). in making these linkages explicit, our approach enables commodity buyers and investors to target their efforts much more closely to improve the sustainability of their supply chains in their sourcing regions while also transforming our ability to monitor the impact of such commitments over time.","LINKING GLOBAL DRIVERS OF AGRICULTURAL TRADE TO ON-THE-GROUND IMPACTS ON BIODIVERSITY"
"2020-04-30 18:34:55","M_Lei",80,2019,"KRAWCZYK ERIC","touristic development on Mediterranean island birds and reptile","buildings and roads","bird and reptile abundance","Observational study","Yes","Yes","","No","Yes","","accept","context islands harbor unique and sensitive wildlife. little is currently known, however, on how touristic development affects island species. we analyzed how tourism-associated infrastructure impacts wildlife and habitat availability across a representative mediterranean island landscape (naxos, aegean sea, greece). objectives first, we aimed to quantify how human-built structures (buildings and roads) affect island bird and reptile populations. additionally, we investigated whether specific factors associated with this development such as cats, water, and food shape these impacts. second, we mapped and quantified how touristic-dominated development over 33 years has changed landscape habitat availability for wildlife. methods we used wildlife field surveys and analyses to elucidate the spatial responses of wildlife to development, and combined this with a compilation of image-derived spatial data of the recent infrastructure expansion. results native birds declined strongly close to buildings and roads, and were replaced there by non-native invasive species. reptiles also largely disappeared close to human development; appearing to be influenced by predation by pet cats. over the study period, 1982-2015, human-built structures nearly doubled. combining the increase in infrastructure numbers with each structure's estimated ecological footprint, 100 m, revealed that only 20.5% of the potential wildlife habitat remains unaffected by development in the study region. conclusions this study demonstrates the landscape-level effects of diffuse tourism-dominated development on island wildlife and suggests the existence of cooperative effects between touristic expansion and exotic species. given the pervasive presence of tourism in island habitats, it raises concerns about its effects on resident biodiversity.","effects of touristic development on mediterranean island wildlife"
"2020-04-29 13:14:26","C_Hovis",84,2019,"LINDENMAYER DAVID B","Bird","Logging","apparent occupancy and richness","Observational study","Yes","Yes","","No","No","Distant impact is logging, assuming that at least a portion of the logging is used to meet demand from distant places and not just for local communities","accept","Forests globally are subject to disturbances such as logging and fire that create complex temporal variation in spatial patterns of forest cover and stand age. However, investigations that quantify temporal changes in biodiversity in response to multiple forms of disturbance in space and time are relatively uncommon. Over a 10-yr period, we investigated the response of bird species to spatiotemporal changes in forest cover associated with logging and wildfire in the mountain ash (eucalyptus regnans) forests of southeastern australia. Specifically, we examined how bird occurrence changed with shifts in the proportion of area burned or logged in a 4.5 km radius surrounding our 88 long-term field survey sites, each measuring 1 ha in size. Overall species richness was greatest in older forest patches, but declined as the amount of fire around each site increased. At the individual species level, 31 of the 37 bird species we modeled exhibited a negative response to the amount of fire in the surrounding landscape, while one species responded positively to fire. Only nine species exhibited signs of recovery in the 6 yr of surveys following the fire. Five species were more likely to be detected as the proportion of logged forest surrounding a site increased, suggesting a possible ""concentration effect"" with displaced birds moving into unlogged areas following harvesting of adjacent areas. We also identified relationships between the coefficients of life history attributes and spatiotemporal changes in forest cover and stand age. Large-bodied birds and migratory species were associated with landscapes subject to large amounts of fire in 2009. There were associations between old growth stands and small-bodied bird species and species that were not insectivores. Our study shows that birds in mountain ash forests are strongly associated with old growth stands and exhibit complex, time-dependent, and species-specific responses to landscape disturbance. Despite logging and fire both being high-severity perturbations, no bird species exhibited similar responses to fire and logging in the landscape surrounding our sites. Thus, species responses to one kind of landscape-scale disturbance are not readily predictable based on an understanding of the responses to another kind of (albeit superficially similar) disturbance.","Spatiotemporal effects of logging and fire on tall, wet temperate eucalypt forest birds"
"2020-04-28 18:33:54","C_Hovis",134,2017,"DUDLEY BRUCE D","Shrimp body condition and abundance","Species Invasion","body condition, habitat quality?, abundance","Observational study","Yes","No Supplementary Material Provided","","No","No","Two invasive spp described as introduced, had to google to make sure introductions were related to TC. Minimal amount of inferring. ","accept","We examined the degree to which invasion by non-native, nitrogen (n)-fixing riparian trees and poeciliid fish alters diet of a common grazer/detritivore in brackish ponds on the dry coast of hawai. I island. Because this shrimp, halocaridina rubra ('opae'ula), displays a preference for autotrophic components of epilithon, we hypothesized that tree canopy would reduce their body condition and abundance, but that this would be moderated by nutrient quality of leaf litter (high-quality, non-native, nitrogen-fixing tree vs. Low-quality, endemic non-nitrogen-fixing tree). We hypothesized that poeciliid invasion would reduce population size and body condition of h. Rubra by direct predation and by inducing reductions in feeding rate. Analysis of stable isotopes (delta d, delta c-13, and delta n-15) showed that direct consumption of leaf litter detritus supplemented h. Rubra diet in ponds with canopy cover. In addition, epilithon in ponds with canopy cover was isotopically more similar to leaf litter than epilithon in ponds without canopy cover, and our evidence suggests this may be due to contributions of allochthonous nutrient sources to epilithon assemblages. However, canopy cover, whether native or invasive, did not decrease epilithon growth rates and had little effect on shrimp body condition or population size. In contrast, poeciliid invasion reduced daylight grazing on the benthos, and caused a reduction in body condition among larger shrimp. Our results indicate that primary succession by invasive trees may shift food web linkages in these ponds from autotrophic to heterotrophic support, without negative impacts on native grazer/detritivore communities. We suggest that poeciliid invasions have sub-lethal effects on h. Rubra as well as their direct predation effects, with potential long-term implications for the ecosystem function of anchialine ponds and other coastal systems.","Effects of invasion at two trophic levels on diet, body condition, and population size structure of hawaiian red shrimp"
"2020-04-16 11:18:16","Y_Zhang",227,2019,"MARQUARDT SANDRA G","Biodiveristy indicators (alpha, gamma)","Human consumption (direct, agriculture/land use) impact on biodiveristy footprint","Alpha (mean species abundance, relative abundance, relative within-sample species richness), gamma (vulnerability-weighted global relative species)","Observational study","Yes","Yes","","No","No","No explicit discussion on distant impacts, but could infer human consumption (direct, agriculture/land use) and biodiveristy relationship","accept","Land use related to human consumption patterns leads to significant loss of biodiversity. Here, the implications of using different indicators in the calculation of biodiversity footprints caused by land use were analyzed. Footprints refer to the impacts related to the net consumption in a region. We calculated biodiversity footprints for 140 regions in the world with an environmentally-extended multi-regional input-output (eemrio) model. The eemrio links economic activities from the global trade analysis project (gtap) database with land use and four indicators of biodiversity loss. We included three alpha diversity indicators (loss of mean species abundance, relative abundance and relative species richness) and one indicator of gamma diversity (vulnerability-weighted relative species richness loss). While the three alpha diversity indicators reflect local diversity within a site, the gamma diversity indicator captures global diversity by weighting regional species richness with species' extinction vulnerability in a region. We found that the three alpha diversity footprints show close alignment (r(s) > 0.93), while there was limited convergence between alpha and gamma diversity footprints (r(s) < 0.22). The alpha diversity indicators identified a diverse set of regions with high per capita consumption-based biodiversity footprints across the globe, while the gamma diversity indicator emphasized human consumption patterns threatening particularly tropical biodiversity. Although all footprints are positively related to rising household expenditure, this relationship was weaker and highly uncertain for the gamma diversity footprints. The alpha-based footprints also showed a negative relationship with population density, while the gamma-based footprint was not related to population density. Our results highlight the relevance of including both alpha and gamma diversity indicators in land-based biodiversity footprint calculations.","Consumption-Based Biodiversity Footprints - Do Different Indicators Yield Different Results?"
"2020-08-31 14:35:40","C_Hovis",264,2019,"PINNA M S","Plant","tourism","indicies","Observational study","Yes","Yes","","No","Yes","tourism included in ""human impact""","accept","MEDITERRANEAN COASTAL DUNES ARE THREATENED BY SEVERAL FACTORS; PARTICULARLY, TOURISM CAUSES MODIFICATIONS TO THE VEGETATION AND THE DISAPPEARANCE OF ENDEMIC SPECIES. UNDERSTANDING THE DUNES' CONSERVATION STATUS IS CRUCIAL FOR PRESERVING THESE VULNERABLE ENVIRONMENTS THROUGH APPROPRIATE MANAGEMENT STRATEGIES. THIS STUDY WAS CONDUCTED ON 17 SARDINIAN COASTAL DUNES, WITH DIFFERENT LEVELS OF TOURISTIC PRESSURE. WE FOCUSED ON ENDEMIC PLANT SPECIES AND DEVELOPED A NEW ENDEMICITY INDEX (EI). OUR STUDY AIMED: 1) TO ASSESS THE CONSERVATION STATUS BY APPLYING THE DIVERSITY INDICES; 2) TO VERIFY IF THE STUDY SITES WOULD REVEAL A GENERAL PATTERN BASED ON DIFFERENT DEGREES OF HUMAN DISTURBANCE AND 3) TO TEST THE EFFECTIVENESS OF THE EI INDEX. FOUR M(2) PLOTS (2 X 2 M) WERE PLACED ALONG ORTHOGONAL TRANSECTS TO THE COASTLINE (446 PLOTS IN TOTAL), IN WHICH ALL PLANT SPECIES WERE IDENTIFIED, AND THEIR RELATIVE ABUNDANCE WAS ESTIMATED. WE FOUND SIGNIFICANT DIFFERENCES AMONG THE SITES FOR H-DUNE AND EI VALUES BUT NO STATISTICALLY SIGNIFICANT DIFFERENCES IN THE N VALUES. THE EI SHOWED THE HIGH NATURALISTIC VALUE OF SARDINIAN COASTAL DUNES AND ALLOWED US TO DISTINGUISH THE SITES WITH HIGHER ANTHROPIC PRESSURE. WE FOUND SIGNIFICANT DIFFERENCES IN THE INDICES AMONG THE DEGREES OF HUMAN DISTURBANCE IN THE COASTAL SYSTEMS. THE H-DUNE VALUES WERE POSITIVELY RELATED TO A MEDIUM LEVEL OF HUMAN DISTURBANCE, AND THE EI ALLOWED US TO DISTINGUISH THE SITES WITH VARYING LEVELS OF HUMAN DISTURBANCE, ALTHOUGH IT DIFFERENTIATED BETTER THOSE WITH THE HIGHEST ANTHROPIC PRESSURE. A MEDIUM LEVEL OF HUMAN DISTURBANCE WAS POSITIVELY RELATED TO THE PLANT RICHNESS AND COVER, AND HUMAN TRAMPLING COULD BE TOLERATED BY PSAMMOPHILOUS VASCULAR PLANTS. RESULTS SHOWED A SATISFACTORY CONSERVATION STATUS OF SARDINIAN DUNE SYSTEMS AND HIGHLIGHTED DIVERSITY INDICES AS VALUABLE SUPPORT FOR IMPLEMENTING A CONSERVATION STRATEGY, COMPATIBLE WITH THE TOURISM PURPOSES AND THE INTEGRATED MANAGEMENT OF THE MEDITERRANEAN COASTAL DUNE SYSTEMS. (C) 2019 ELSEVIER B.V. ALL RIGHTS RESERVED.","IS VEGETATION AN INDICATOR FOR EVALUATING THE IMPACT OF TOURISM ON THE CONSERVATION STATUS OF MEDITERRANEAN COASTAL DUNES?"
"2020-04-01 15:36:32","A_Herzberger",292,2019,"NOBRE REGINA L G","lake zooplankton & fish abundance","introduction of a fish ","species richness ","Observational study","Yes","Yes","","No","Yes","a omnivores was  introduced shortly after a mine opened up","accept","the introduction of nonnative species is one of the main threats to freshwater ecosystems. although omnivory and intraguild predation are common in those systems, little is known about the effects of introduced omnivorous fish on pelagic and littoral communities. this study tested predictions of food-web theory regarding the effects of omnivorous fish introduction on previously fishless lakes in the amazonian uplands of serra dos carajas, para, brazil. the trophic structure of two similar lakes, one with and the other without the introduced omnivorous fish astyanax bimaculatus, was compared using a data series of biotic variables collected from both lakes twice a year from 2010 to 2013. zooplankton was more abundant in the lake with fish, and the zooplankton composition differed between lakes. phytoplankton richness and chlorophyll-a were higher in the lake with the introduced fish than in the fishless lake regardless of phosphorus limitation. for the benthic macroinvertebrate communities, species richness and biomass were higher in the fishless lake. our results also indicate that a. bimaculatus has the potential to link pelagic and littoral habitats through nutrient cycling. the differences observed between the studied lakes are consistent with predictions from food-web theory regarding the effects of multichain omnivorous fish on trophic dynamics. despite limitations regarding replication at the ecosystem level, it is possible to infer from our findings that the introduction of an omnivorous fish might have changed lake overall functioning.","effects of the introduction of an omnivorous fish on the biodiversity and functioning of an upland amazonian lake"
"2020-05-19 09:17:18","X_Wu",302,2014,"LIMA ANA CAROLINA","Fish","Tourism","Species richness; diversity; evenness; density","Observational study","Yes","No Supplementary Material Provided","","","Yes","","accept","Bonito, in mato grosso do sul state, is an important destination for ecotourism in brazil and the main challenge of sustainable ecotourism here has been to accommodate and adjust the increase of tourism without compromising the ecological integrity of the local ecosystems. In this study we aimed to assess the environmental impact of ecotourism on the fish fauna of sucuri river in bonito by integrating ecological, behaviour and physiological criteria and using the fish species crenicichla lepidota and moenkhausia bonita as indicators. Two distinct sites were defined to collect data: (1) affected daily by ecotourism (tourism) and (2) undisturbed (no tourism). The ""stationary point count"" method was performed to assess variations in ecological parameters and ""ad libitum"" and focal animal methods were used to collect behaviour data. The cortisol response of m. Bonita to a stress protocol was measured from holding-water. Results showed a significantly increase in species richness, density and diversity at the tourism site. Nevertheless, behaviour patterns indicated a higher stress at the tourism site for both species as well higher cortisol levels for m. Bonita. In opposition to the ecological measures, the behaviour and physiological ones may be interpreted as an early sign of negative impact caused by ecotourism, prior to changes at community level.","Impact of ecotourism on the fish fauna of bonito region (mato grosso do sul state, brazil): ecological, behavioural and physiological measures"
