"biodiv_countries","paper_id","list_countries","data_source_meta","data_source_biodiv","tele_cat","data_type_meta","data_type_biodiv","habitat","list_continents","timestamp","coder_id","year_pub","author","taxa_list","scale_entire","num_time_pd","year_start","year_end","temp_res","temp_res_unk","meta_var_type","b4_dur_after","peri_tele_flows","peri_tele_sep","peri_tele_sep_unk","scale_biodiv","comments","num_biodiv_metrics","list_biodiv_metrics","further_discuss","taxa"
"",1320,"","Secondary","Secondary","Tourism","Aggregate institutional data","Aggregate institutional data","Terrestrial","North America;South America;Asia;Europe;Africa;Oceania","2020-06-22 09:23:04","R_Chen",2017,"Wraith","Plants/trees/shrubs","Global (>100 countries)","16","2000","2016","Annually","","Categorical","After","Tourism's impacts on orchids","No","","Global (>100 countries)","","1","number of species","No","Plants"
"FRA",3361,"FRA","Primary","Primary","Tourism","Social science field surveys","Biological field observations","Terrestrial","Europe","2020-06-22 13:22:06","R_Chen",2014,"Faille","Invertebrates","Sub-national (within-country region)","12","2010","2012","every 3 to 4 months during 3 years","","Continuous","During","Tourist","No","","Sub-national (within-country region)","","1","number of species","No","Invertebrates"
"ESP",4180,"ESP","Secondary","Primary","Tourism","Aggregate institutional data","Biological field observations","Marine","Europe","2020-06-22 13:54:59","R_Chen",2014,"Kowalewski ","Clams","Sub-national (within-country region)","2","1978","2010","Monthly","","Continuous","After","Loss of Shells to Tourism","No","","Sub-national (within-country region)","","1","number of species","No","Clams"
"KOR",4518,"KOR;PRK;CHN;MNG;AUS","Primary","Primary;Secondary","Trade;Migration (non-human);Knowledge Transfer","Other","Biological field observations;Aggregate institutional data","Freshwater;Marine","Asia","2020-06-15 13:56:37","A_Herzberger",2013,"Hyun","Birds","International (within a continent; e.g., European Union)","1","1999","2006","Unknown/Unclear","","Categorical","After","land was reclaimed and used for rice production, farmers changed management to attract birds, being compared to a control","No","","Sub-national (within-country region)","","1","diversity ","No","Birds"
"USA",5577,"USA","Primary","Primary","Species Dispersal;Knowledge Transfer","Other","Biological field observations","Terrestrial;Freshwater","North America","2020-06-09 14:31:59","A_Herzberger",2012,"Fischer","Birds","Intercontinental (> 2 continents)","2","2005","2006","Seasonally","","Categorical","During, After","Invasion of riparian areas by Russian Olive that was introduced for conservation (soil stability)  ","No","","Sub-national (within-country region)","","1","Species richness","No","Birds"
"BTN;CHN;IND;NPL",17,"BTN;CHN;IND;NPL","Secondary","Secondary","Tourism","Other","Remote sensing","Terrestrial","Asia","4/7/2020 14:05","E_Dean",2019,"Brandt","Plants/trees/shrubs","International (within a continent; e.g., European Union)","17",NA,NA,"Annually","","Categorical","During","Buffer zones of ecotourism were established in major ecotourism hubs of each country (Himachal Pradesh (n = 4), Nepal (n = 5), Bhutan (n = 3), and Yunnan (n = 3))","Unclear/Uncertain","The study established ecotourism hubs, but did not specify what driver external to those hubs was driving ecotourism (for example, what countries are driving tourism in those hubs?)","International (within a continent; e.g., European Union)","","1","% forest loss","No","Plants"
"USA",134,"USA;ROW","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","North America","4/28/2020 18:33","C_Hovis",2017,"Dudley","Invertebrates","Global (>100 countries)","1","2012","2014","Seasonally","","Categorical","Before, After","Invasive spp","No","","Sub-national (within-country region)","USA = Hawaii","20","algae quality (both inv spp); litter quality (tree inv); day abun (both inv, two spp); night abun (both inv,two spp); migration (two inv, two spp), body size, body condition (small & large)","No","Invertebrates"
"",154,"","Secondary","Secondary","Trade","Other","Other","Terrestrial","Unclear/unknown","5/11/2020 12:49","R_Chen",2017,"Grandi","Birds","Intercontinental (> 2 continents)","1",NA,NA,"Unknown/Unclear","review paper, not mentioned","Continuous","After","trade of individual numbers","No","","Intercontinental (> 2 continents)","","1","number of individuals ","No","Birds"
"BRA",302,"BRA","Primary","Primary","Tourism","Field observations","Biological field observations","Freshwater","South America","5/19/2020 9:25","X_Wu",2014,"Lima","Fish","Unclear/unspecified","1","2005","2007","Daily","","Categorical","During","","No","","Sub-national (within-country region)","","4","Species richness; diversity; eveness; density","No","Fish"
"ITA",311,"ITA","Secondary","Primary","Tourism","Other","Biological field observations","Terrestrial","Europe","4/16/2020 12:14","Y_Zhang",2013,"Farris","Plants/trees/shrubs","Sub-national (within-country region)","2","2006","2006","Seasonally","Spring and summer","Categorical","Before, After","Tourists","No","","Sub-national (within-country region)","","1","species cover","No","Plants"
