"biodiv_countries","paper_id","list_countries","data_source_meta","data_source_biodiv","tele_cat","data_type_meta","data_type_biodiv","habitat","list_continents","timestamp","coder_id","year_pub","author","taxa_list","num_countries","scale_entire","num_time_pd","year_start","year_end","temp_res","temp_res_unk","meta_var_type","b4_dur_after","peri_tele_flows","peri_tele_sep","peri_tele_sep_unk","scale_biodiv","comments","num_biodiv_metrics","list_biodiv_metrics","further_discuss","taxa"
"BTN;CHN;IND;NPL",17,"BTN;CHN;IND;NPL","Secondary","Secondary","Tourism","Other","Remote sensing","Terrestrial","Asia","2020-04-07 14:05:54","E_Dean",2019,"Brandt","Plants/trees/shrubs",NA,"International (within a continent; e.g., European Union)","17",NA,NA,"Annually","","Categorical","During","Buffer zones of ecotourism were established in major ecotourism hubs of each country (Himachal Pradesh (n = 4), Nepal (n = 5), Bhutan (n = 3), and Yunnan (n = 3))","Unclear/Uncertain","The study established ecotourism hubs, but did not specify what driver external to those hubs was driving ecotourism (for example, what countries are driving tourism in those hubs?)","International (within a continent; e.g., European Union)","","1","% forest loss","No","Plants"
"ZAF",44,"ZAF","Secondary","Secondary","Other","Social science field surveys","Biological field observations;Remote sensing","Terrestrial","Africa","2020-03-19 13:14:00","E_Xing",2019,"Mokotjomela","Plants","1","Sub-national (within-country region)",NA,NA,NA,"Other","na","Categorical","1","Biodiversity Economy Strategy at South Africa","No","na","subnational","na","1","no such data in Chinese survey","No","Plants"
"BRA",45,"","Secondary","Secondary","Trade","Other","Aggregate institutional data","Terrestrial","South America","2020-03-15 22:29:55","MG_Chung",2019,"Green","Birds, Mammals, Amphibians, Plants/trees/shrubs","139","Global (>100 countries)","2","2000","2010","Annually","","Continuous","Before, During","Soybean trade","No","","Sub-national (within-country region)","","1","species-by-species losses of suitable habitat","No","Birds; Mammals; Amphibians; Plants"
"GRC",80,"GRC","Secondary","Primary","Investment","Remote sensing","Biological field observations","Terrestrial","Europe","2020-04-30 18:34:53","M_Lei",2019,"Krawczyk","Birds, Reptiles",NA,"Sub-national (within-country region)","1","2016","2016","Annually","","Categorical","After","Investment(building and road)","No","","Sub-national (within-country region)","","2","bird and reptile abundance","No","Birds; Reptiles"
"AUS",84,"AUS;ROW","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","Oceania","2020-04-29 13:19:36","C_Hovis",2019,"Lindenmayer","Birds",NA,"Global (>100 countries)","1","2004","2014","Annually","","Categorical","After","Logging ","No","","Sub-national (within-country region)","LOTS OF METRICS, TOO MANY?, AM I DOING THIS WRONG? reports apparent occupancy, does not consider detectability","","functional trait and logging, spp richness (2 logging times), apparent occupancy by spp (2 logging times), apparent occupancy by spp with fire (2 logging times)","Yes","Birds"
"USA",134,"USA;ROW","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","North America","2020-04-28 18:33:52","C_Hovis",2017,"Dudley","Invertebrates",NA,"Global (>100 countries)","1","2012","2014","Seasonally","","Categorical","Before, After","Invasive spp","No","","Sub-national (within-country region)","USA = Hawaii","20","algae quality (both inv spp); litter quality (tree inv); day abun (both inv, two spp); night abun (both inv,two spp); migration (two inv, two spp), body size, body condition (small & large)","No","Invertebrates"
"",227,"","Secondary","Secondary","Trade","Aggregate institutional data","Aggregate institutional data","Not specified/Global study","North America;South America;Asia;Europe;Africa;Oceania","2020-04-16 11:45:16","Y_Zhang",2019,"Marquardt","Not specified/global study",NA,"Global (>100 countries)","2","2009","2016","Unknown/Unclear","Found in supplementary material, the data are secondary (from other studies) - one in 2009, one in 2016, temporal resolutions are unclear","Not specified, use household expenditure and population density as variables","After","Not specified, inferred only","No","","Global (>100 countries)","","4","mean species abundance, relative abundance, relative within-sample species richness, vulnearbility-weighted global relative species","No","Other"
"ITA",264,"ITA","Secondary","Primary","Tourism","Other","Biological field observations","Terrestrial","Europe","2020-08-31 14:48:16","C_Hovis",2019,"Pinna","Plants/trees/shrubs",NA,"Unclear/unspecified","1","2011","2019","Unknown/Unclear",NA,"Categorical","During","Tourism aspects included in human effect index","No","","Sub-national (within-country region)","Metrics differentiate between medium and high human impact because there was a non-linear relationship (ala the intermediate disturbance hypothesis). Also all impacts were comparing the ""low"" human impact to the ""med"" or ""high"" impacts.","6","Done for med and high impact. Hdune, Native/Invasive, Endemic index","No","Plants"
"BRA",292,"BRA","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","South America","2020-04-01 15:48:23","A_Herzberger",2019,"NOBRE","",NA,"Sub-national ((within-country region)","8","2010","2013","Seasonally","","Categorical","Before, After","introduction of Astyanax bimaculatus to a previous fishless lake after a mine opended","No","","Sub-national (within-country region)","","4","species richness, abundance, community assemblage ","No","Fish"
"BRA",302,"BRA","Primary","Primary","Tourism","Field observations","Biological field observations","Freshwater","South America","2020-05-19 09:25:52","X_Wu",2014,"Lima","Fish",NA,"Unclear/unspecified","1","2005","2007","Daily","","Categorical","During","","No","","Sub-national (within-country region)","","4","Species richness; diversity; eveness; density","No","Fish"
