timestamp,coder_id,paper_id,year_pub,author,taxa_list,habitat,list_countries,list_continents,scale_entire,num_time_pd,year_start,year_end,temp_res,temp_res_unk,meta_var_type,b4_dur_after,peri_tele_flows,tele_cat,peri_tele_sep,peri_tele_sep_unk,data_source_biodiv,data_source_meta,data_type_biodiv,data_type_meta,scale_biodiv,comments,num_biodiv_metrics,list_biodiv_metrics,further_discuss,biodiv_countries
4/1/2020 15:48,A_Herzberger,292,2019,NOBRE,,Freshwater,Brazil,South America,Sub-national ((within-country region),8,2010,2013,Seasonally,,Categorical,"Before, After",introduction of Astyanax bimaculatus to a previous fishless lake after a mine opended,"Migration (human), Investment, unsure, it was the intentional introduction of a fish to a lake by miners presumably ",No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,"species richness, abundance, community assemblage ",No,Brazil
3/19/2020 15:29,A_Herzberger,332,2019,Wagaw,"Birds, Fish",Freshwater,Ethopia,Africa,Sub-national ((within-country region),4,1980,2016,"Unknown/Unclear, They have collected others peoples datasets, and give populations at times when other studies reported it",They have lots of data sets at different times,Continuous,"Before, During, After","water extraction for soda ash production, mineral and sand extraction, irrigation, and degradation from livestock",Water Transfer,Yes,,Secondary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,2,"fishery collapse, # of waterfowl, ",No,
4/1/2020 15:23,A_Herzberger,2546,2015,Sanderson,Birds,Terrestrial,EU,Europe,"International (within a continent; e.g., European Union)",2,1980,2012,short term 2001-2012; long-term 1980-2012,,Categorical,During,bird is classified in annex I or not by EU conservation directive,Knowledge Transfer,No,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,"International (within a continent; e.g., European Union)",,5,"habitat association; migration strategy; reproduction; population short-term trend, population long-term trend",No,27
3/26/2020 16:00,A_Herzberger,3738,2014,Macrae,Reptiles,Marine,Australia,Asia,Sub-national ((within-country region),2,NA,NA,"before 1980, after 1980",,Categorical,"Before, After",the reclassifying of sea turtles as a forbidden food by Islam,Knowledge Transfer,Yes,,Secondary,"Primary, Secondary","Biological field observations, Social science field observations","Field observations, Social science field surveys",Sub-national (within-country region),,NA,turtle abundance,No,"Cocos Islands, Austrailian territory  "
3/18/2020 15:23,A_Herzberger,4087,2012,Randall,Birds,"Terrestrial, Freshwater",USA,North America,Sub-national ((within-country region),13,1995,2007,Annually,,Categorical,"Before, After",state conservation program,Knowledge Transfer,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,bird density,No,
3/19/2020 10:43,A_Herzberger,5486,2018,Urra,Invertebrates,Marine,Spain,Europe,Sub-national ((within-country region),4,2004,2005,Seasonally,,Categorical,"Before, During, After",harvest of mollusks during tourist season ,Tourism,No,,Primary,Secondary,Biological field observations,Field observations,Sub-national (within-country region),,1,abundance,No,
3/26/2020 16:18,A_Herzberger,5875,2012,Fiedler,Reptiles,Marine,sampled in global driftnet fishery,"South America, Africa",Global (>100 countries),5,2002,2008,Annually,,Categorical,During,Driftnet fisheries by catch sea turtle ,Trade,No,,Primary,Primary,Biological field observations,Field observations,Intercontinental (> 2 continents),,2,"capture rate, capture composition ",No,between 22° to 28°S and 35° to 48°W
3/20/2020 10:27,A_Herzberger,5905,2012,Sarmento,Invertebrates,Marine,Brazil,South America,Sub-national ((within-country region),1,2009,2009,5 replicates at 1 time,,Categorical,"Before, During, After",trampling of reef habitat by tourists,Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,reef temperature; reef height; reef weight; species richness; diversity;  community assemblage,No,
4/10/2020 16:05,A_Herzberger,5477,2018,Symes,Birds,Marine,Sundaland - its not really any countries; more like a region of islands,"Asia, Europe, Oceania (Australia, New Zealand, Fiji, etc)",Intercontinental (> 2 continents),2,2000,2015,Annually,,Categorical,During,"exploitation and habitat loss (driven by wildlife trade, agriculture)",Trade,Yes,they discuss the different sources of exploitation and habitat loss,"Primary, Secondary",Secondary,"Social science field observations, Remote sensing, Aggregate institutional data","Remote sensing, Aggregate institutional data",Intercontinental (> 2 continents),,1,habitat loss,No,"Sundaland - its not really any countries, more like a region of islands"
3/18/2020 20:15,A_Torres,357,2019,Lomas,Reptiles,Terrestrial,Canada,North America,Sub-national ((within-country region),6,2006,2012,every 2-3 days during the active season (April-October),,Categorical,After,"Tourism (among other factors) seems to have led to habitat disturbance, though tourism is not quantified in any way",Tourism,No,,Primary,Primary,Biological field observations,GIS observations (proximity to sources of human disturbance),Sub-national (within-country region),"I included the paper because the authors say that the explanatory variable (habitat disturbance) is primarily linked with tourism (golf course, campground, hiking trails, roads, parking lots, vineyards, condominium complex), but such link is not thoroughly discussed nor quantified.",5,home range (Kernel Density); home range (minimum convex polygon); Core area size; Range length; Maximum distance traveled from hibernacula,No,
3/30/2020 19:16,A_Torres,922,2017,Bhuiyan,Not specified,Not specified/Global study,Many,Asia,"International (within a continent; e.g., European Union)",15,2000,2014,Annually,,Continuous,During,Foreign Direct Investment,Investment,No,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,"International (within a continent; e.g., European Union)",,3,forest area; Global Environment Facility biodiversity index; total fisheries production,No,"""many"""
4/16/2020 18:24,A_Torres,2670,2016,Cao,Invertebrates,Freshwater,China,Asia,Unclear/unspecified,1,2013,2013,Seasonally,,Continuous,During,Tourism stress,Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,"Taxa richness; Ephemeroptera, Plecoptera, and Trichoptera (EPT) richness",No,China
4/29/2020 16:32,A_Torres,6254,2011,Seshadri,"Mammals, Reptiles, Amphibians, Invertebrates",Terrestrial,India,Asia,Sub-national (within-country region),2,2008,2009,Annually,,Continuous,"Before, During",Increased traffic due to religious tourism,Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,8,mortality-diurnal-habitat1;mortality-diurnal-habitat2;mortality-diurnal-habitat3;mortality-diurnal-habitat4;mortality-nocturnal-habitat1;mortality-nocturnal-habitat2;mortality-nocturnal-habitat3;mortality-nocturnal-habitat4,No,India
4/27/2020 12:29,C_Hovis,3335,2015,Ginter,Fish,Freshwater,Estonia; Russia; Rest of the World,Europe,Intercontinental (> 2 continents),22,1990,2012,Annually,,Categorical,"Before, During, After",,"Trade, Climate Change",No,,"Primary, Secondary",Secondary,"Biological field observations, Aggregate institutional data",Used co-occurence of policy changes in time-series,Intercontinental (> 2 continents),"Intercontinental might not be the correct classification since this is a transboundary and could be considered a telecoupling, look at co-occurence of size-selective harvest and climate change since two cannot be de-coupled",2,size and co-hort abund,No,Estonia
4/27/2020 16:08,C_Hovis,4850,2013,Arizaga,Birds,Terrestrial,Spain,Europe,Unclear/unspecified,1,2011,2011,Seasonally,,Categorical,"Before, After",invasive spp,Species Dispersal,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,diversity indes,No,Spain
4/27/2020 17:45,C_Hovis,3484,2015,Reyes-Martinez,Invertebrates,Marine,Spain; Rest of the World,Europe,Sub-national (within-country region),15,2011,2011,Hourly,,Continuous,"Before, After",# tourists/visitors,Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,assemblage density; richness; diversity; comm comp,No,Spain
4/29/2020 17:30,C_Hovis,4063,2014,Sealey,Plants/trees/shrubs,Marine,Bahamas; Rest of the world,North America (includes Hawaii & all countries above Panama Canal),Global (>100 countries),1,2002,2012,Annually,,Continuous,"Before, During, After",Human impact rank related to tourism,Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,"number of spp, margalef index, shannon, assemblage",No,Bahamas
