"","coder_id","paper_id","year_pub","author","taxa_list","list_countries","habitat","list_continents","meta_var_type","tele_cat","data_source_biodiv","data_type_biodiv","data_source_meta","data_type_meta","comments","biodiv_countries","num_biodiv_metrics","timestamp","num_countries","scale_entire","num_time_pd","year_start","year_end","temp_res","temp_res_unk","b4_dur_after","peri_tele_flows","peri_tele_sep","peri_tele_sep_unk","scale_biodiv","list_biodiv_metrics","further_discuss"
"1","A_Herzberger",292,2019,"NOBRE","Fish","Brazil","Freshwater","South America","Categorical","Migration (human), Investment, unsure, it was the intentional introduction of a fish to a lake by miners presumably ","Primary","Biological field observations","Primary","Field observations","","Brazil","4","2020-04-01 15:48:23",NA,"Sub-national ((within-country region)",8,"2010","2013","Seasonally","","Before, After","introduction of Astyanax bimaculatus to a previous fishless lake after a mine opended","No","","Sub-national (within-country region)","species richness, abundance, community assemblage ","No"
"2","A_Herzberger",510,2018,"Geedicke","Plants/trees/shrubs, habitat pollution ","Australia ","Terrestrial","Oceania (Australia, New Zealand, Fiji, etc)","Categorical","Water Transfer, Waste Transfer","Primary","Biological field observations","Primary","Field observations","","Australia","2","2020-04-17 10:03:12",NA,"Sub-national (within-country region)",1,NA,NA,"snap shot, 1x","","","Runoff from industrial, urban, and control","Yes","the effect of residential vs. industrial runoff on habitat and plant communities ","Sub-national (within-country region)","nutrient pollution, plant community composition","No"
"3","A_Herzberger",518,2018,"Amira","Birds","Malaysia ","Terrestrial","Asia","just assuming rice export","Trade","Primary","Biological field observations","Secondary","knowledge of existence ","","Malaysia","3","2020-04-21 11:14:13",NA,"Sub-national (within-country region)",2,"2015","2015","Seasonally","before/after rice harvest","Before, After","external flow is rice export","No","","Sub-national (within-country region)","bird abundance, richness and assemblage ","No"
"4","A_Herzberger",1270,2017,"Lima","Fish","Brazil","Marine","South America","Categorical","Water Transfer, Energy Transfer","Primary","Biological field observations","Primary","Field observations","","Brazil","3","2020-03-26 15:16:28",NA,"International (within a continent; e.g., European Union)",3,"2004","2012","1 year before, 1 year after, 5 years after dam closure","","During, After","Hydropower production, before, after and 5 years after closure","No","","Sub-national (within-country region)","reproduction, habitat use, diet by functional groups","No"
"5","A_Herzberger",1376,2013,"Moritz","Plants/trees/shrubs","Republic of Maldives","Marine","Asia","Categorical","Tourism","Primary","Biological field observations","Primary","Field observations","","Republic of Maldives","7","2020-06-03 14:42:54",NA,"Sub-national (within-country region)",1,NA,NA,"1 time period, compare between sites","","During","reef habitat near island resort tourism ","No","compared with local community, intracoupling ","Sub-national (within-country region)","reef area; reef quality; reef size/age; fish diversity; fish biomass; echinoderm diversity;  echinoderm abundance","No"
"6","A_Herzberger",1565,2017,"Kirk","Birds","Canada","Terrestrial","North America (includes Hawaii & all countries above Panama Canal)","Categorical","Trade, Knowledge Transfer","Primary","Biological field observations","Primary","Social science field surveys","","Canada","2","2020-04-21 15:38:14",NA,"Sub-national (within-country region)",4,"1990","1990","Weekly","just 1 time point, 4 replicates ","During","organic v. conventional agriculture practices","No","","Sub-national (within-country region)","abundance, richness","No"
"7","A_Herzberger",1616,2016,"Gamero","Birds","25 EU countries","Terrestrial","Europe","Categorical","Knowledge Transfer, the farmers were in a conservation program","Secondary","Aggregate institutional data","Secondary","Aggregate institutional data","","25 EU countries","4","2020-04-14 11:23:16",NA,"International (within a continent; e.g., European Union)",30,"1981","2012","Annually","","Before, During","Kinda, they look at the effect conservation programs and ag intensity have on farmland birds across the EU","Yes","no","National","relative abundance effected by conservation, population growth rate by conservation, abundance by ag intensity,  migration by ag intensity ","No"
"8","A_Herzberger",2201,2016,"Porras","Mammals","Mexico","Terrestrial","North America (includes Hawaii & all countries above Panama Canal)","Categorical","Tourism","Primary","Biological field observations","Secondary","Aggregate institutional data","","Mexico","2","2020-05-28 16:25:24",NA,"Sub-national (within-country region)",1,"2008","2009","Daily","","During","Tourism ","Yes","The considered tourism, AH, hunting and urban area on diversity","Sub-national (within-country region)"," tourism v. richness; tourism v. abundance","No"
"9","A_Herzberger",2253,2016,"Ferrigno","Invertebrates","Indonesia","Marine","Asia","Continuous","Trade, Tourism","Primary","Biological field observations","Primary","Field observations","","Indonesia","1","2020-03-31 13:59:02",NA,"Global (>100 countries)",1,"2014","2014","2 months, across 18 sites ","","During","Distance from coral reefs to fishing villages and scuba diving resorts as a proxy for human activity","Yes","measured affect ""other"" local sites as well ","Sub-national (within-country region)","an index of coral quality was created from other biodiversity metrics","No"
"10","A_Herzberger",2546,2015,"Sanderson","Birds","27 EU countries ","Terrestrial","Europe","Categorical","Knowledge Transfer","Secondary","Aggregate institutional data","Secondary","Aggregate institutional data","","27","5","2020-04-01 15:23:55",NA,"International (within a continent; e.g., European Union)",2,"1980","2012","short term 2001-2012; long-term 1980-2012","","During","bird is classified in annex I or not by EU conservation directive","No","","International (within a continent; e.g., European Union)","habitat association; migration strategy; reproduction; population short-term trend, population long-term trend","No"
