"paper_id","entry_id","taxon_or_func","biodiv_cat_1sp","biodiv_cat_multsp","biodiv_cat_habitat","scale","biodiv_temp_res","effect","significant","p_value","notes","UID","hab","tc","biodiv_countries","list_countries","data_source_meta","data_source_biodiv","tele_cat","data_type_meta","data_type_biodiv","habitat","list_continents","num_countries","scale_entire","meta_var_type","peri_tele_flows","peri_tele_sep","peri_tele_sep_unk","scale_biodiv","num_biodiv_metrics","list_biodiv_metrics","taxa","sig_effect","maj_eff","tax_ID","maj_eff_taxa"
45,1,"Taxonomic",NA,NA,"Amount (e.g. land use change from non-habitat to habitat)",NA,"Annual","Negative (detrimental)","Not evaluated","","","45_1","Terrestrial","Trade","BRA","","Secondary","Secondary","Trade","Other","Aggregate institutional data","Terrestrial","South America","139","Global (>100 countries)","Continuous","Soybean trade","No","","Sub-national (within-country region)","1","species-by-species losses of suitable habitat","Mammals","Harmful","Harmful","45_Mammals","Harmful"
357,1,"Taxonomic","Movement",NA,NA,NA,"Seasonal","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.07","","357_1","Terrestrial","Tourism","CAN","CAN","Primary","Primary","Tourism","Other","Biological field observations","Terrestrial","North America","1","Sub-national ((within-country region)","Categorical","Tourism (among other factors) seems to have led to habitat disturbance, though tourism is not quantified in any way","No","","Sub-national (within-country region)","5","home range (Kernel Density); home range (minimum convex polygon); Core area size; Range length; Maximum distance traveled from hibernacula","Reptiles","Not significant or unclear","Not significant or unclear","357_Reptiles","Not significant or unclear"
357,2,"Taxonomic","Movement",NA,NA,NA,"Seasonal","Unclear","TRUE","0.04","Home range (minimum convex polygon). Smaller home ranges in disturbed areas do not necessarily mean a negative impact. The authors conclude that there are not strong changes in movement patterns. ","357_2","Terrestrial","Tourism","CAN","CAN","Primary","Primary","Tourism","Other","Biological field observations","Terrestrial","North America","1","Sub-national ((within-country region)","Categorical","Tourism (among other factors) seems to have led to habitat disturbance, though tourism is not quantified in any way","No","","Sub-national (within-country region)","5","home range (Kernel Density); home range (minimum convex polygon); Core area size; Range length; Maximum distance traveled from hibernacula","Reptiles","Not significant or unclear","Not significant or unclear","357_Reptiles","Not significant or unclear"
357,3,"Taxonomic","Movement",NA,NA,NA,"Seasonal","Negative (detrimental)","TRUE","0.02","Core area size. Smaller core area in disturbed areas do not necessarily mean a negative impact. The authors conclude that there are not strong changes in movement patterns. ","357_3","Terrestrial","Tourism","CAN","CAN","Primary","Primary","Tourism","Other","Biological field observations","Terrestrial","North America","1","Sub-national ((within-country region)","Categorical","Tourism (among other factors) seems to have led to habitat disturbance, though tourism is not quantified in any way","No","","Sub-national (within-country region)","5","home range (Kernel Density); home range (minimum convex polygon); Core area size; Range length; Maximum distance traveled from hibernacula","Reptiles","Harmful","Not significant or unclear","357_Reptiles","Not significant or unclear"
357,4,"Taxonomic","Movement",NA,NA,NA,"Seasonal","Negative (detrimental)","TRUE","0.01","Range length. Shorter range in disturbed areas do not necessarily mean a negative impact. The authors conclude that there are not strong changes in movement patterns. ","357_4","Terrestrial","Tourism","CAN","CAN","Primary","Primary","Tourism","Other","Biological field observations","Terrestrial","North America","1","Sub-national ((within-country region)","Categorical","Tourism (among other factors) seems to have led to habitat disturbance, though tourism is not quantified in any way","No","","Sub-national (within-country region)","5","home range (Kernel Density); home range (minimum convex polygon); Core area size; Range length; Maximum distance traveled from hibernacula","Reptiles","Harmful","Not significant or unclear","357_Reptiles","Not significant or unclear"
357,5,"Taxonomic","Movement",NA,NA,NA,"Seasonal","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.06","Maximum distance traveled from hibernacula","357_5","Terrestrial","Tourism","CAN","CAN","Primary","Primary","Tourism","Other","Biological field observations","Terrestrial","North America","1","Sub-national ((within-country region)","Categorical","Tourism (among other factors) seems to have led to habitat disturbance, though tourism is not quantified in any way","No","","Sub-national (within-country region)","5","home range (Kernel Density); home range (minimum convex polygon); Core area size; Range length; Maximum distance traveled from hibernacula","Reptiles","Not significant or unclear","Not significant or unclear","357_Reptiles","Not significant or unclear"
654,1,"Taxonomic",NA,"Richness (number of species)",NA,"Gamma (across all sites)","Day","Negative (detrimental)","TRUE","0.01","","654_1","Terrestrial","Tourism","ESP","ESP","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Europe","1","Sub-national ((within-country region)","Continuous","the number of vehicles in protected areas as most of visitors access the park by motor vehicle","No","","Sub-national (within-country region)","1","the number of scavenger species recorded daily","Birds","Harmful","Harmful","654_Birds","Harmful"
897,1,"Taxonomic",NA,"Occurrence",NA,"Alpha (w/in site)","Annual","Positive (beneficial)","TRUE","0.001","Moderate trampling enhanced horizontal spread of this plant","897_1","Terrestrial","Tourism","SVK;POL","POL","Secondary","Primary","Tourism","Other","Biological field observations;Aggregate institutional data","Terrestrial","Europe","1","Sub-national ((within-country region)","Continuous","1600 climbers(statistics)","No","","Sub-national (within-country region)","2","species richness; diversity","Plants/Trees/Shrubs","Beneficial","Beneficial","897_Plants/Trees/Shrubs","Beneficial"
1270,1,"Functional",NA,"Population dynamics (survival, fitness, reproduction, mortality, etc.)",NA,"Gamma (across all sites)","change before and after ","Changed (e.g. species composition)","TRUE","0.001","","1270_1","Marine","Water Transfer;Energy Transfer","BRA","BRA","Primary","Primary","Water Transfer;Energy Transfer","Field observations","Biological field observations","Marine","South America",NA,"International (within a continent; e.g., European Union)","Categorical","Hydropower production, before, after and 5 years after closure","No","","Sub-national (within-country region)","3","reproduction, habitat use, diet by functional groups","Fish","Changed","Changed","1270_Fish","Changed"
1270,2,"Functional",NA,"Occurrence",NA,"Gamma (across all sites)","change between before and after","Changed (e.g. species composition)","TRUE","0.001","","1270_2","Marine","Water Transfer;Energy Transfer","BRA","BRA","Primary","Primary","Water Transfer;Energy Transfer","Field observations","Biological field observations","Marine","South America",NA,"International (within a continent; e.g., European Union)","Categorical","Hydropower production, before, after and 5 years after closure","No","","Sub-national (within-country region)","3","reproduction, habitat use, diet by functional groups","Fish","Changed","Changed","1270_Fish","Changed"
