"timestamp","coder_id","paper_id","year_pub","author","C1_biodiv","C2_meta","C3_quant","C4_study","meet_all_4","sup_check","comments","further_discuss","explicit_distant_impacts","explain_distant_impacts","status"
2020-04-07 12:13:49,"E_Dean","17",2019,"Brandt","Forest cover","Tourism","Forest loss (change from forest to non-forest)","Modeling study (using empirical data and not projected)","Yes","No Supplementary Material Provided","","No","Yes","","accept"
2020-03-19 13:14:33,"E_Xing","44",2019,"Mokotjomela","vegetation intactness","Biodiversity Economy Strategy at South Africa","vegetation intactness","Observational study","Yes","No Supplementary Material Provided","It should be included and the former survey result about it should be omitted.","no such data in Chinese survey","yes","The properties which conduct Biodiversity Economy Strategy (BES) have high total vegetation intactness. That indicates that implementation of the BES is likely to assist in conserving biodiversity.","accept"
2020-03-15 20:40:16,"MG_Chung","45",2019,"Green","Endemic species in Brazil (e.g., Managed Wolf and Giant Anteater)","The impacts of soybean trade (Cerrado-sourced soy) on endemic species","a percentage of global impacts of soy on endemic biodiversity in Cerrado","Observational/Modeling study","Yes","Yes","","","","","accept"
2020-04-30 18:34:55,"M_Lei","80",2019,"Krawczyk","touristic development on Mediterranean island birds and reptile","buildings and roads","bird and reptile abundance","Observational study","Yes","Yes","","No","Yes","","accept"
2020-04-29 13:14:26,"C_Hovis","84",2019,"Lindenmayer","Bird","Logging","apparent occupancy and richness","Observational study","Yes","Yes","","No","No","Distant impact is logging, assuming that at least a portion of the logging is used to meet demand from distant places and not just for local communities","accept"
2020-04-28 18:33:54,"C_Hovis","134",2017,"Dudley","Shrimp body condition and abundance","Species Invasion","body condition, habitat quality?, abundance","Observational study","Yes","No Supplementary Material Provided","","No","No","Two invasive spp described as introduced, had to google to make sure introductions were related to TC. Minimal amount of inferring. ","accept"
2020-04-16 11:18:16,"Y_Zhang","227",2019,"Marquardt","Biodiveristy indicators (alpha, gamma)","Human consumption (direct, agriculture/land use) impact on biodiveristy footprint","Alpha (mean species abundance, relative abundance, relative within-sample species richness), gamma (vulnerability-weighted global relative species)","Observational study","Yes","Yes","","No","No","No explicit discussion on distant impacts, but could infer human consumption (direct, agriculture/land use) and biodiveristy relationship","accept"
2020-04-01 15:36:32,"A_Herzberger","292",2019,"NOBRE","lake zooplankton & fish abundance","introduction of a fish ","species richness ","Observational study","Yes","Yes","","No","Yes","a omnivores was  introduced shortly after a mine opened up","accept"
2020-05-19 09:17:18,"X_Wu","302",2014,"Lima","Fish","Tourism","Species richness; diversity; evenness; density","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-04-16 12:06:26,"Y_Zhang","311",2013,"Farris","Dune plants","Tourist trampling impact on plant species cover","species cover","Experimental study","Yes","No Supplementary Material Provided","","No","Yes","","accept"
2020-04-14 11:35:42,"E_Dean","339",2013,"Oldekop","Ferns and leaf litter frogs","Market forces (trade) and the regulation of those markets through government","Species richness of ferns, species richness of leaf litter frogs","Observational study","Yes","Yes","","","","","accept"
2020-03-18 20:15:20,"A_Torres","357",2019,"Lomas","Movement Ecology of Northern Pacific Rattlesnakes","Tourism","attributes of home ranges and movement patterns within those home ranges","Observational study","Yes","No Supplementary Material Provided","The link with tourism is very weak","","","","accept"
2020-04-28 16:37:48,"M_Lei","379",2019,"Moraes","Long‐term temporal and spatial patterns in bioeroding sponge distribution at the Abrolhos Bank","bioeroding sponge","Bioeroding sponge richness and abundance","Observational study","Yes","Yes","","No","Yes","","accept"
2020-04-30 17:13:48,"M_Lei","396",2019,"Wraith","orchids richness in Australia","tourism and grazing ","orchids richness","Modeling study (using empirical data and not projected)","Yes","No Supplementary Material Provided","","No","Yes","","accept"
2020-04-28 22:17:00,"Y_Zhang","425",2019,"Costa","Tiger beetles (macroinvertebrates)","Tourism impacts on sand tiger beetle abundance","Tiger beetle abundance","Mixed: both observational/experimental study and literature review","Yes","Yes","","No","No","Didn't specify where the tourists come from","accept"
2020-04-28 22:44:28,"Y_Zhang","466",2011,"Bejarano","Riparian trees and shrubs","Presence of dam impact on numbers of riparian trees and shrubs (through flow regulation)","Number of species","Observational study","Yes","Yes","","No","No","","accept"
2020-04-30 22:49:41,"M_Lei","471",2011,"WIANCKO","Landbird in three coastal habitats","resorts sites","landbird richness and abundance","Observational study","Yes","Yes","","No","No","This article examines the effects of resorts on richness and abundance of landbird.","accept"
2020-05-19 10:08:27,"X_Wu","479",2019,"Singh","Microfaunal and mesofaunal","Rubber plantation for trade","Richness, abundance, diversity","Observational study","Yes","Yes","The telecoupling process was infered.","No","No","This paper is about difference between tropical forest and rubber plantation. We can infer that rubber plantation is for trade.","accept"
2020-04-17 09:40:59,"A_Herzberger","510",2018,"Geedicke","salt marsh habitat ","Disturbance from urban water runoff containing nutrients and heavy metal pollutants","they quantify chemical disturbance from water runoff  (pH, salinity, sediments, nutrients etc.)","Observational study","Yes","Yes","","No","Yes","runoff from urban systems to salt marsh habitat, pericoupling ","accept"
2020-04-21 11:05:00,"A_Herzberger","518",2018,"Amira","bird abundance, species richness, and composition","rice field landscape in South Asia ","bird abundance, species richness, and composition","Observational study","Yes","No","","No","No","rice fields are the landscape ","accept"
2020-04-30 16:14:27,"M_Lei","523",2018,"Kouvari","mammals of extinction"," human activity","extinct taxa","Modeling study (using empirical data and not projected)","Yes","Yes","","No","Yes","","accept"
2020-03-16 12:19:18,"MG_Chung","654",2018,"Antonio Donazar","avian acavengers","They studied how roads and the associated traffic intensity due to recreational activities influence natural ecological processes within a scavenger guild.","the number of scavenger species","Experimental study","Yes","Yes","","","","","accept"
2020-04-30 19:27:43,"M_Lei","708",2018,"Raghavan","dynamics of redline torpedo barb in india","unmanaged harvests","Distribution of length frequencies, total mortality","Observational study","Yes","No Supplementary Material Provided","","No","No","unmanaged harvests for the aquarium trade","accept"
2020-04-30 17:58:14,"M_Lei","713",2018,"Arbieu","Large mammal richness within protected areas in in Southern Africa","visitor numbers","Large mammal richness and Abundance","Observational study","Yes","No Supplementary Material Provided","","No","Yes","","accept"
2020-03-19 23:41:36,"M_Lei","897",2018,"Czortek","the distribution of Carex lachenalii Schkuhr in the Tatra Mts","tourism","species richness and diversity","Observational study","Yes","Yes","","","","","accept"
2020-04-05 15:53:35,"X_Wu","992",2018,"Johnson","Lake littoral invertebrate","Species invasion","Species composition","Observational study","Yes","Yes","","","","","accept"
2020-03-19 16:41:48,"E_Xing","1040",2018,"BALMER","Abundance and density of bottlenose dolphin","Deepwater Horizon (DWH) oil spill","Abundance and density","Observational study","Yes","No Supplementary Material Provided","na","no such data in Chinese survey","yes","Bottlenose dolphins along the northern Gulf of Mexico continue to be impacted by numerous stressors including harmful algal blooms, infectious disease epizootics, and oil exposure following the Deepwater Horizon (DWH) oil spill.","accept"
2020-03-26 14:57:22,"A_Herzberger","1270",2017,"Lima","fish community structure","hydropower dam","# of fish before and after dam closure, functional diversity","Observational study","Yes","Yes","","","No","they mention the dams are for electricity but to where it goes ","accept"
2020-04-06 09:17:43,"X_Wu","1299",2017,"Coppes","Habitat of capercaillie","Tourism (outdoor recreation)","Habitat","Observational study","Yes","Yes","","No","No","This paper is about the effect of outdoor recreation on habitat reduction, and use the distance to recreation infrastructure as proxy. ","accept"
2020-04-27 15:35:35,"C_Hovis","1349",2017,"Waldron","BD loss","Investment","percent bd lost/gained","Modeling study (using empirical data and not projected)","Yes","Yes","","No","Yes","","accept"
2020-05-24 16:01:23,"A_Torres","1366",2017,"Yang","fish","dam-energy production","abundances","Observational study","Yes","No","","No","Yes","mention of hydroelectric projects","accept"
2020-05-19 11:29:11,"X_Wu","1368",2017,"Arribas","Sea star density","Tourism","Density","Observational study","Yes","No","","","","","accept"
2020-05-29 13:46:12,"A_Herzberger","1376",2013,"Moritz","coral reef ","tourism","abundance ","Observational study","Yes","Yes","","No","Yes","yes island tourist resort v. local community v. control ","accept"
2020-03-17 12:45:24,"A_Herzberger","1488",2017,"Lopez-Ricaurte","Bird communities ","palm oil conversion","Bird species richness and abundance","Observational study","Yes","Yes","","","","","accept"
2020-03-30 20:35:55,"A_Torres","1488",2017,"López-Ricaurte","avian biodiversity","oil palm expansion","Bird species richness and abundance","Observational study","Yes","No","","No","No","they mention 'growing demand for agricultural commodities'","accept"
2020-03-18 13:50:14,"C_Hovis","1488",2017,"Lopez-Ricaurte","bird species richness/abundance/community composition etc."," Land conversion from savanna to oil palm due to global demand/spillover effects of forest protections (Ex:  REDD +)","bird species richness/abundance/community composition etc.","Observational study","Yes","Yes","","","","","accept"
2020-03-15 14:34:19,"E_Dean","1488",2017,"Lopez-Ricaurte","See my first survey","See my first survey","See my first survey","See my first survey","Yes","Yes","I meant to click yes for supplementary material, refer to first survey for answers","","","","accept"
2020-03-19 21:32:34,"E_Xing","1488",2017,"L�pez-Ricaurte","Species richness and abundance of birds","oil palm expansion","Species richness and abundance","Observational study","Yes","No","na","no such data in Chinese survey","yes","Converting tropical rainforest to oil palm reduces bird species richness and abundance significantly","accept"
2020-03-18 20:08:01,"K_Kapsar","1488",2017,"Lopez-Ricaurte","Birds","oil palm plantations","species richness, abundance, and community composition","Observational study","Yes","Yes","","","","","accept"
2020-03-19 13:17:56,"M_Lei","1488",2017,"Ricaurte","avian biodiversity in a Neotropical natural savanna","oil palm expansion","Species richness and abundance; mean species richness and mean total abundance","Observational study","Yes","Yes","","","","","accept"
2020-03-23 11:11:56,"MG_Chung","1488",2017,"Lopez-Ricaurte","bird species","NA; the impacts of oil palm conversion for bird communitieis inhabiting natural savannas in the Colombian Llanos","bird species richness and abundance","Observational study","Yes","Yes","","No","No","They did not clearly mentioned the flows of oil palm demands. They focused on oil palm expansion and their impacts on bird species. But we may imply that oil palm has high demands from other importing countries.","accept"
2020-03-19 16:30:17,"X_Wu","1488",2017,"López-Ricaurte","Bird species richness and abundance","Land use change","Species richness and abundance","Observational study","Yes","Yes","","","","","accept"
2020-03-18 12:30:22,"Y_Dou","1488",2017,"López-Ricaurte","biodiversity in oil palms and natural savanna","oil palm plantations.","species richness and abundance","Observational study","Yes","Yes","","","","","accept"
