"timestamp","paper_id","taxa","entry_id","taxon_or_func","biodiv_cat_1sp","biodiv_cat_multsp","biodiv_cat_habitat","scale","biodiv_temp_res","effect","significant","p_value","notes","coder_id","entry"
2020-03-30 20:31:51,1488,"Birds","4","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","Not evaluated","","Species abundance","A_Torres","4"
2020-04-02 14:34:14,3924,"Mammals","5","Taxonomic","Occurrence (presence, range, persistence, etc., NOT detection)","","","","Camera trap-night","Positive (beneficial)","Not evaluated","","Occurrence-Tayras","A_Torres","5"
2020-03-15 22:33:57,45,"Mammals","1","Taxonomic","Suitable habitat loss",NA,"Amount (e.g. land use change from non-habitat to habitat)",NA,"Annual","Negative (detrimental)","Not evaluated","","","MG_Chung","1"
2020-04-01 15:45:49,292,"Plants/trees/shrubs","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","Not evaluated","","","A_Herzberger","1"
2020-04-01 15:46:35,292,"Plants/trees/shrubs","2","",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","Not evaluated","","","A_Herzberger","2"
2020-04-01 15:47:12,292,"Plants/trees/shrubs","3","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Neutral (only when there is absolutely no difference in metrics)","TRUE","0.24","","A_Herzberger","3"
2020-04-01 15:48:12,292,"Plants/trees/shrubs","4","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.005","","A_Herzberger","4"
2020-03-18 20:07:38,357,"Reptiles","1","Taxonomic","Movement","","",NA,"Seasonal","Neutral","FALSE","0.07","","A_Torres","1"
2020-03-18 20:09:45,357,"Reptiles","2","Taxonomic","Movement","","",NA,"Seasonal","Unclear","TRUE","0.04","Home range (minimum convex polygon). Smaller home ranges in disturbed areas do not necessarily mean a negative impact. The authors conclude that there are not strong changes in movement patterns. ","A_Torres","2"
2020-03-18 20:11:11,357,"Reptiles","3","Taxonomic","Movement",NA,"",NA,"Seasonal","Negative (detrimental)","TRUE","0.02","Core area size. Smaller core area in disturbed areas do not necessarily mean a negative impact. The authors conclude that there are not strong changes in movement patterns. ","A_Torres","3"
2020-03-18 20:12:14,357,"Reptiles","4","Taxonomic","Movement","","",NA,"Seasonal","Negative (detrimental)","TRUE","0.01","Range length. Shorter range in disturbed areas do not necessarily mean a negative impact. The authors conclude that there are not strong changes in movement patterns. ","A_Torres","4"
2020-03-18 20:13:07,357,"Reptiles","5","Taxonomic","","","",NA,"Seasonal","Neutral","FALSE","0.06","Maximum distance traveled from hibernacula","A_Torres","5"
2020-03-16 12:58:55,654,"Birds","1","Taxonomic",NA,"Richness (number of species)","Quality (pollution, connectence, disturbance, etc.)","Gamma (across all sites)","Day","Negative (detrimental)","TRUE","0.01","","MG_Chung","1"
2020-03-19 23:41:30,897,"Plants/trees/shrubs","1","Taxonomic",NA,"Occurence",NA,"Alpha (w/in site)","Annual","Positive (beneficial)","TRUE","0.001","Moderate trampling enhanced horizontal spread of this plant","M_Lei","1"
2020-03-26 15:13:11,1270,"Fish","1","Functional",NA,"Population dynamics (reproduction)",NA,"Gamma (across all sites)","change before and after ","Changed (e.g. species composition)","TRUE","0.001","","A_Herzberger","1"
2020-03-26 15:15:00,1270,"Fish","2","Functional","","Occurence","","Gamma (across all sites)","change between before and after","Changed (e.g. species composition)","TRUE","0.001","","A_Herzberger","2"
2020-03-26 15:16:24,1270,"Fish","3","Functional","","Occurence",NA,"Gamma (across all sites)","before and after dam","Changed (e.g. species composition)","TRUE","0.001","","A_Herzberger","3"
2020-03-15 14:41:34,1488,"Birds","Species richness","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Beta (between pairs of sites)","Seasonal","Negative (detrimental)","Not evaluated","","It is unclear what p-value they are referring to for oil palm in the supplementary material.","E_Dean","Species richness"
2020-03-15 14:42:38,1488,"Birds","Mean total abundance","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Beta (between pairs of sites)","Seasonal","Unclear","Not evaluated","","It is unclear what p-value they are referring to for oil palm in the supplementary material.","E_Dean","Mean total abundance"
2020-03-15 14:44:05,1488,"Birds","Community composition","Taxonomic","","Occurence","Amount (e.g. land use change from non-habitat to habitat)","Beta (between pairs of sites)","Seasonal","Unclear","Not evaluated","","It is unclear what p-value to interpret from their table.","E_Dean","Community composition"
2020-03-15 14:48:46,1488,"Birds","Species traits","Functional",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","Not evaluated","","It is unclear what p-value they are referring to in the supplementary material","E_Dean","Species traits"
2020-03-17 12:53:39,1488,"Birds","1","Taxonomic","","Richness (number of species)","","Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.05","","A_Herzberger","1"
2020-03-17 12:54:06,1488,"Birds","1","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.05","","A_Herzberger","1"
2020-03-17 12:55:52,1488,"Birds","1","Taxonomic","","","distance to habitat ","Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.001","","A_Herzberger","1"
2020-03-18 13:00:41,1488,"Birds","1","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,"Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","","Y_Dou","1"
2020-03-18 13:04:48,1488,"Birds","2","Taxonomic",NA,"Richness (number of species)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","","Y_Dou","2"
2020-03-18 13:05:31,1488,"Birds","4","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.02","","Y_Dou","4"
2020-03-18 13:07:38,1488,"Birds","5","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.002","","Y_Dou","5"
2020-03-18 13:07:51,1488,"Birds","3","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.001","","Y_Dou","3"
2020-03-18 13:08:48,1488,"Birds","6","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.001","","Y_Dou","6"
2020-03-18 13:09:35,1488,"Birds","8","",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.001","","Y_Dou","8"
2020-03-18 13:09:39,1488,"Birds","7","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.017","","Y_Dou","7"
2020-03-18 14:30:08,1488,"Birds","1","Taxonomic","","Richness (number of species)","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","","","C_Hovis","1"
2020-03-18 14:31:30,1488,"Birds","2","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","","","C_Hovis","2"
