"coder_id","s2_papers","s2_last_date","num_s1_no_s2","num_s2_no_s1"
"A_Herzberger",24,2020-06-15 13:56:37,NA,NA
"A_Torres",10,2020-05-24 16:01:18,NA,NA
"C_Hovis",24,2020-09-01 17:33:03,NA,NA
"E_Dean",11,2020-05-15 14:32:41,NA,NA
"E_Xing",12,2020-05-14 23:43:00,NA,NA
"K_Kapsar",15,2020-05-28 17:01:26,NA,NA
"M_Lei",20,2020-05-25 23:39:29,NA,NA
"MG_Chung",8,2020-04-02 21:41:07,NA,NA
"X_Wu",21,2020-05-19 20:24:57,NA,NA
"Y_Dou",2,2020-03-18 12:39:42,NA,NA
"Y_Li",3,2020-05-29 22:49:00,NA,NA
"Y_Zhang",16,2020-05-26 11:03:35,NA,NA
