Fixed?,KK Thoughts,,timestamp,paper_id,taxa,entry_id,taxon_or_func,biodiv_cat_1sp,biodiv_cat_multsp,biodiv_cat_habitat,scale,biodiv_temp_res,effect,significant,p_value,notes,coder_id,entry,hab,flag,,,,,,,
Yes,"""Our measure of beta diversity was the dissimilarity of native species composition between plots within treatments..."" The statistic that is reported here is the difference in dissimilarity values between treatments.",138,4/6/2020 15:51,4551,Plants/Trees/Shrubs,3,Taxonomic,NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,Beta (between pairs of sites),Annual,Positive (beneficial),TRUE,0.05,Treatment only native species except Coriaria were allowed to establish VS Treatments retaining non-native species,X_Wu,3,Terrestrial,NA,,,,,,,
Yes,"""Our measure of beta diversity was the dissimilarity of native species composition between plots within treatments..."" The statistic that is reported here is the difference in dissimilarity values between treatments.",139,4/6/2020 15:52,4551,Plants/Trees/Shrubs,4,Taxonomic,NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,Beta (between pairs of sites),Annual,Positive (beneficial),FALSE,,Treatment non-native species removed and retaining Coriaria VS Treatments retaining non-native species,X_Wu,4,Terrestrial,NA,,,,,,,
Yes,"""Significant differences in 
the structure of the harpacticoid assemblage were detected 
between the protected and trampled areas""",99,3/20/2020 10:27,5905,Invertebrates,1,Taxonomic,NA,Composition (what species?),NA,Beta (between pairs of sites),Day,Changed (e.g. species composition),TRUE,0.05,,A_Herzberger,1,Marine,NA,,,,,,,
Yes,"While the change was most likely not a beneficial one for biodiversity, that is not what the statistic measured.",100,3/19/2020 15:33,5966,Fish,1,Taxonomic,NA,Composition (what species?),NA,Beta (between pairs of sites),Unknown/Unclear (ADD TO COMMENT BOX),Changed (e.g. species composition),TRUE,,"Jaccard's coefficient for quantifying fish community similarity between two basins before and after introductions. ""All kinds of fish species introduction, the increase in similarity was from 16.53-16.77% to 27.03-28.25%, taking account the aquatic environments after the elimination of the natural barrier (e.g., due to dam construction) by the Itaipu impoundment."" They observed an increase in the number of non-native species in common related to the introductions.",MG_Chung,1,Freshwater,NA,,,,,,,
Yes,"""The [percent] cover of exotic plants is best explained by Ca concentrations in the sediment. At Ca concentrations above 8840?mg/kg, exotic plant cover is significantly higher (p?=?0.01) across all sites.""",171,4/17/2020 10:03,510,Plants/Trees/Shrubs,2,Functional,NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,Beta (between pairs of sites),once,Negative (detrimental),TRUE,0.05,salt marshes with high Ca concentrations had more exotic & non-native species,A_Herzberger,2,Terrestrial,NA,,,,,,,
Yes,"I can't be sure about this one without seeing the other entries for the manuscript. The results section looks at 4 biodiversity parameters (abundance (N), richness (S), shannon biodiversity index (H'), and Simpson index (lambda). These all had non-significant differences before and after invasion. There are also a couple of other parameters that this could be referring to though...",377,5/19/2020 12:26,4257,Invertebrates,1,Taxonomic,NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,Gamma (across all sites),Annual,Changed (e.g. species composition),TRUE,0.045,Evaluated change in abnundance witha permanova so no way to tell the direction of the change...,K_Kapsar,1,Freshwater,NA,,,,,,,
Yes,,,,4257,Invertebrates,2,Taxonomic,NA,Richness (number of species),NA,Gamma (across all sites),Annual,Unclear,FALSE,0.207,Evaluated change in richness with permanova so no way to tell the direction of the change...,K_Kapsar,2,Freshwater,NA,,,,,,,
Yes,,,,4257,Invertebrates,3,Taxonomic,NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,Gamma (across all sites),Annual,Unclear,TRUE,0.043,Shannon Wiener,K_Kapsar,3,Freshwater,NA,,,,,,,
Yes,,,,4257,Invertebrates,4,Taxonomic,NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,Gamma (across all sites),Annual,Unclear,FALSE,0.145,Simpsons,K_Kapsar,4,Freshwater,NA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
