"","paper_id","total_sigeff","sig_effect","n_sigeff","pct_sigeff","maj_eff"
"1",17,1,"Not significant or unclear",1,100,"Not significant or unclear"
"2",44,1,"Beneficial",1,100,"Beneficial"
"3",45,1,"Harmful",1,100,"Harmful"
"4",80,2,"Harmful",2,100,"Harmful"
"5",84,162,"Beneficial",4,2.46913580246914,"Not significant or unclear"
"6",84,162,"Harmful",1,0.617283950617284,"Not significant or unclear"
"7",84,162,"Not significant or unclear",157,96.9135802469136,"Not significant or unclear"
"8",134,20,"Changed",5,25,"Not significant or unclear"
"9",134,20,"Not significant or unclear",15,75,"Not significant or unclear"
"10",227,6,"Beneficial",2,33.3333333333333,"Harmful"
"11",227,6,"Harmful",3,50,"Harmful"
"12",227,6,"Not significant or unclear",1,16.6666666666667,"Harmful"
"13",264,6,"Beneficial",1,16.6666666666667,"Not significant or unclear"
"14",264,6,"Not significant or unclear",5,83.3333333333333,"Not significant or unclear"
"15",292,4,"Beneficial",2,50,"Beneficial"
"16",292,4,"Changed",1,25,"Beneficial"
"17",292,4,"Not significant or unclear",1,25,"Beneficial"
"18",302,4,"Beneficial",1,25,"Harmful"
"19",302,4,"Harmful",2,50,"Harmful"
"20",302,4,"Not significant or unclear",1,25,"Harmful"
"21",311,1,"Harmful",1,100,"Harmful"
"22",339,2,"Changed",2,100,"Changed"
"23",357,5,"Harmful",2,40,"Not significant or unclear"
"24",357,5,"Not significant or unclear",3,60,"Not significant or unclear"
"25",379,3,"Harmful",3,100,"Harmful"
"26",396,2,"Harmful",2,100,"Harmful"
"27",425,2,"Harmful",2,100,"Harmful"
"28",466,2,"Beneficial",1,50,"Mixed"
"29",466,2,"Harmful",1,50,"Mixed"
"30",471,4,"Beneficial",2,50,"Mixed"
"31",471,4,"Not significant or unclear",2,50,"Mixed"
"32",479,14,"Beneficial",3,21.4285714285714,"Harmful"
"33",479,14,"Harmful",7,50,"Harmful"
"34",479,14,"Not significant or unclear",4,28.5714285714286,"Harmful"
"35",483,3,"Harmful",1,33.3333333333333,"Not significant or unclear"
"36",483,3,"Not significant or unclear",2,66.6666666666667,"Not significant or unclear"
"37",510,2,"Harmful",2,100,"Harmful"
"38",518,3,"Changed",2,66.6666666666667,"Changed"
"39",518,3,"Not significant or unclear",1,33.3333333333333,"Changed"
"40",523,1,"Harmful",1,100,"Harmful"
"41",654,1,"Harmful",1,100,"Harmful"
"42",708,2,"Harmful",2,100,"Harmful"
"43",713,2,"Harmful",2,100,"Harmful"
"44",813,1,"Harmful",1,100,"Harmful"
"45",826,4,"Harmful",3,75,"Harmful"
"46",826,4,"Not significant or unclear",1,25,"Harmful"
"47",897,1,"Beneficial",1,100,"Beneficial"
"48",992,1,"Not significant or unclear",1,100,"Not significant or unclear"
"49",1007,10,"Beneficial",1,10,"Not significant or unclear"
"50",1007,10,"Not significant or unclear",9,90,"Not significant or unclear"
"51",1040,1,"Harmful",1,100,"Harmful"
"52",1270,3,"Changed",3,100,"Changed"
"53",1299,4,"Beneficial",1,25,"Harmful"
"54",1299,4,"Harmful",2,50,"Harmful"
"55",1299,4,"Not significant or unclear",1,25,"Harmful"
"56",1349,1,"Beneficial",1,100,"Beneficial"
