"","tc","sig_effect","count","perc_per_tc"
"1","Energy Transfer","Beneficial",13,0.196969696969697
"2","Energy Transfer","Changed",18,0.272727272727273
"3","Energy Transfer","Detrimental",12,0.181818181818182
"4","Energy Transfer","No relation or unclear",23,0.348484848484849
"5","Investment","Beneficial",6,0.285714285714286
"6","Investment","Changed",1,0.0476190476190476
"7","Investment","Detrimental",5,0.238095238095238
"8","Investment","No relation or unclear",9,0.428571428571429
"9","Knowledge Transfer","Beneficial",10,0.120481927710843
"10","Knowledge Transfer","Changed",42,0.506024096385542
"11","Knowledge Transfer","Detrimental",10,0.120481927710843
"12","Knowledge Transfer","No relation or unclear",21,0.253012048192771
"13","Migration (human)","Beneficial",1,0.0714285714285714
"14","Migration (human)","Changed",1,0.0714285714285714
"15","Migration (human)","Detrimental",10,0.714285714285714
"16","Migration (human)","No relation or unclear",2,0.142857142857143
"17","Species Dispersal","Beneficial",6,0.0909090909090909
"18","Species Dispersal","Changed",10,0.151515151515152
"19","Species Dispersal","Detrimental",17,0.257575757575758
"20","Species Dispersal","No relation or unclear",33,0.5
"21","Tourism","Beneficial",29,0.120833333333333
"22","Tourism","Changed",23,0.0958333333333333
"23","Tourism","Detrimental",104,0.433333333333333
"24","Tourism","No relation or unclear",84,0.35
"25","Trade","Beneficial",21,0.0783582089552239
"26","Trade","Changed",6,0.0223880597014925
"27","Trade","Detrimental",60,0.223880597014925
"28","Trade","No relation or unclear",181,0.675373134328358
"29","Waste Transfer","Detrimental",2,0.285714285714286
"30","Waste Transfer","No relation or unclear",5,0.714285714285714
"31","Water Transfer","Beneficial",1,0.111111111111111
"32","Water Transfer","Changed",4,0.444444444444444
"33","Water Transfer","Detrimental",4,0.444444444444444
