"","taxa","tele_cat","effect","count","perc_per_taxa"
"1","Amphibians","Trade","Changed (e.g. species composition)",1,1
"2","Birds","Energy Transfer","Negative (detrimental)",6,0.0155038759689922
"3","Birds","Energy Transfer","Neutral (only when there is absolutely no difference in metrics)",8,0.020671834625323
"4","Birds","Energy Transfer","Positive (beneficial)",9,0.0232558139534884
"5","Birds","Investment","Negative (detrimental)",4,0.0103359173126615
"6","Birds","Investment","Positive (beneficial)",6,0.0155038759689922
"7","Birds","Knowledge Transfer","Changed (e.g. species composition)",42,0.108527131782946
"8","Birds","Knowledge Transfer","Negative (detrimental)",2,0.00516795865633075
"9","Birds","Knowledge Transfer","Neutral (only when there is absolutely no difference in metrics)",14,0.0361757105943152
"10","Birds","Knowledge Transfer","Positive (beneficial)",12,0.0310077519379845
"11","Birds","Knowledge Transfer","Unclear",1,0.00258397932816537
"12","Birds","Migration (human)","Negative (detrimental)",3,0.00775193798449612
"13","Birds","Migration (non-human)","Positive (beneficial)",1,0.00258397932816537
"14","Birds","Other","Positive (beneficial)",2,0.00516795865633075
"15","Birds","remove","Changed (e.g. species composition)",1,0.00258397932816537
"16","Birds","remove","Negative (detrimental)",4,0.0103359173126615
"17","Birds","remove","Neutral (only when there is absolutely no difference in metrics)",2,0.00516795865633075
"18","Birds","remove","Positive (beneficial)",1,0.00258397932816537
"19","Birds","Species Dispersal","Changed (e.g. species composition)",1,0.00258397932816537
"20","Birds","Species Dispersal","Negative (detrimental)",3,0.00775193798449612
"21","Birds","Species Dispersal","Neutral (only when there is absolutely no difference in metrics)",1,0.00258397932816537
"22","Birds","Species Dispersal","Positive (beneficial)",4,0.0103359173126615
"23","Birds","Species Dispersal","Unclear",3,0.00775193798449612
"24","Birds","Tourism","Negative (detrimental)",17,0.0439276485788114
"25","Birds","Tourism","Positive (beneficial)",7,0.0180878552971576
"26","Birds","Trade","Changed (e.g. species composition)",2,0.00516795865633075
"27","Birds","Trade","Negative (detrimental)",27,0.0697674418604651
"28","Birds","Trade","Neutral (only when there is absolutely no difference in metrics)",163,0.421188630490956
"29","Birds","Trade","Positive (beneficial)",12,0.0310077519379845
"30","Birds",NA,"Changed (e.g. species composition)",1,0.00258397932816537
"31","Birds",NA,"Negative (detrimental)",23,0.0594315245478036
"32","Birds",NA,"Positive (beneficial)",3,0.00775193798449612
"33","Birds",NA,"Unclear",2,0.00516795865633075
"34","Fish","Energy Transfer","Changed (e.g. species composition)",18,0.189473684210526
"35","Fish","Energy Transfer","Negative (detrimental)",7,0.0736842105263158
"36","Fish","Energy Transfer","Neutral (only when there is absolutely no difference in metrics)",13,0.136842105263158
"37","Fish","Energy Transfer","Positive (beneficial)",2,0.0210526315789474
"38","Fish","Migration (non-human)","Negative (detrimental)",4,0.0421052631578947
"39","Fish","Migration (non-human)","Positive (beneficial)",3,0.0315789473684211
"40","Fish","remove","Negative (detrimental)",2,0.0210526315789474
"41","Fish","remove","Positive (beneficial)",2,0.0210526315789474
"42","Fish","Species Dispersal","Negative (detrimental)",1,0.0105263157894737
"43","Fish","Tourism","Changed (e.g. species composition)",1,0.0105263157894737
"44","Fish","Tourism","Negative (detrimental)",2,0.0210526315789474
"45","Fish","Tourism","Neutral (only when there is absolutely no difference in metrics)",2,0.0210526315789474
"46","Fish","Tourism","Positive (beneficial)",5,0.0526315789473684
"47","Fish","Tourism","Unclear",1,0.0105263157894737
"48","Fish","Trade","Negative (detrimental)",15,0.157894736842105
"49","Fish","Trade","Neutral (only when there is absolutely no difference in metrics)",1,0.0105263157894737
"50","Fish","Trade","Positive (beneficial)",7,0.0736842105263158
"51","Fish","Water Transfer","Changed (e.g. species composition)",3,0.0315789473684211
"52","Fish","Water Transfer","Negative (detrimental)",2,0.0210526315789474
"53","Fish",NA,"Changed (e.g. species composition)",1,0.0105263157894737
"54","Fish",NA,"Positive (beneficial)",1,0.0105263157894737
"55","Fish",NA,"Unclear",2,0.0210526315789474
"56","Invertebrates","Migration (non-human)","Changed (e.g. species composition)",2,0.0124223602484472
"57","Invertebrates","Migration (non-human)","Negative (detrimental)",1,0.0062111801242236
"58","Invertebrates","Species Dispersal","Changed (e.g. species composition)",18,0.111801242236025
"59","Invertebrates","Species Dispersal","Negative (detrimental)",4,0.0248447204968944
"60","Invertebrates","Species Dispersal","Neutral (only when there is absolutely no difference in metrics)",3,0.0186335403726708
"61","Invertebrates","Tourism","Changed (e.g. species composition)",14,0.0869565217391304
"62","Invertebrates","Tourism","Negative (detrimental)",67,0.416149068322981
"63","Invertebrates","Tourism","Neutral (only when there is absolutely no difference in metrics)",11,0.0683229813664596
"64","Invertebrates","Tourism","Positive (beneficial)",8,0.0496894409937888
"65","Invertebrates","Tourism","Unclear",5,0.031055900621118
"66","Invertebrates","Trade","Negative (detrimental)",11,0.0683229813664596
"67","Invertebrates","Trade","Neutral (only when there is absolutely no difference in metrics)",1,0.0062111801242236
