"","taxa","tc","maj_eff","count","perc_per_taxa"
"1","Amphibians","Trade","Changed",1,1
"2","Birds","Energy Transfer","No relation or unclear",1,0.0285714285714286
"3","Birds","Investment","Beneficial",1,0.0285714285714286
"4","Birds","Investment","Detrimental",1,0.0285714285714286
"5","Birds","Knowledge Transfer","Beneficial",3,0.0857142857142857
"6","Birds","Knowledge Transfer","Changed",1,0.0285714285714286
"7","Birds","Knowledge Transfer","Detrimental",1,0.0285714285714286
"8","Birds","Knowledge Transfer","No relation or unclear",1,0.0285714285714286
"9","Birds","Migration (human)","Detrimental",1,0.0285714285714286
"10","Birds","Species Dispersal","Beneficial",1,0.0285714285714286
"11","Birds","Species Dispersal","No relation or unclear",3,0.0857142857142857
"12","Birds","Tourism","Beneficial",1,0.0285714285714286
"13","Birds","Tourism","Detrimental",6,0.171428571428571
"14","Birds","Tourism","No relation or unclear",1,0.0285714285714286
"15","Birds","Trade","Beneficial",3,0.0857142857142857
"16","Birds","Trade","Changed",1,0.0285714285714286
"17","Birds","Trade","Detrimental",7,0.2
"18","Birds","Trade","No relation or unclear",2,0.0571428571428571
"19","Fish","Energy Transfer","Beneficial",1,0.0714285714285714
"20","Fish","Energy Transfer","Changed",2,0.142857142857143
"21","Fish","Energy Transfer","Detrimental",1,0.0714285714285714
"22","Fish","Energy Transfer","No relation or unclear",1,0.0714285714285714
"23","Fish","Species Dispersal","Detrimental",1,0.0714285714285714
"24","Fish","Tourism","Beneficial",1,0.0714285714285714
"25","Fish","Tourism","Detrimental",1,0.0714285714285714
"26","Fish","Tourism","No relation or unclear",1,0.0714285714285714
"27","Fish","Trade","Detrimental",3,0.214285714285714
"28","Fish","Water Transfer","Changed",2,0.142857142857143
"29","Invertebrates","Species Dispersal","Changed",1,0.037037037037037
"30","Invertebrates","Species Dispersal","Detrimental",2,0.0740740740740741
"31","Invertebrates","Species Dispersal","No relation or unclear",2,0.0740740740740741
"32","Invertebrates","Tourism","Beneficial",1,0.037037037037037
"33","Invertebrates","Tourism","Changed",1,0.037037037037037
"34","Invertebrates","Tourism","Detrimental",10,0.37037037037037
"35","Invertebrates","Tourism","No relation or unclear",6,0.222222222222222
"36","Invertebrates","Trade","Detrimental",1,0.037037037037037
"37","Invertebrates","Trade","No relation or unclear",2,0.0740740740740741
"38","Invertebrates","Waste Transfer","No relation or unclear",1,0.037037037037037
"39","Mammals","Energy Transfer","Detrimental",1,0.0769230769230769
"40","Mammals","Migration (human)","Detrimental",1,0.0769230769230769
"41","Mammals","Tourism","Beneficial",1,0.0769230769230769
"42","Mammals","Tourism","Detrimental",5,0.384615384615385
"43","Mammals","Tourism","No relation or unclear",1,0.0769230769230769
"44","Mammals","Trade","Detrimental",4,0.307692307692308
"45","Multiple","Investment","Beneficial",1,0.2
"46","Multiple","Species Dispersal","Detrimental",1,0.2
"47","Multiple","Tourism","Detrimental",1,0.2
"48","Multiple","Trade","Detrimental",2,0.4
"49","Plants/Trees/Shrubs","Knowledge Transfer","Beneficial",1,0.0357142857142857
"50","Plants/Trees/Shrubs","Knowledge Transfer","Detrimental",2,0.0714285714285714
"51","Plants/Trees/Shrubs","Migration (human)","No relation or unclear",1,0.0357142857142857
"52","Plants/Trees/Shrubs","Species Dispersal","Beneficial",1,0.0357142857142857
"53","Plants/Trees/Shrubs","Species Dispersal","Detrimental",2,0.0714285714285714
"54","Plants/Trees/Shrubs","Tourism","Beneficial",3,0.107142857142857
"55","Plants/Trees/Shrubs","Tourism","Changed",2,0.0714285714285714
"56","Plants/Trees/Shrubs","Tourism","Detrimental",6,0.214285714285714
"57","Plants/Trees/Shrubs","Tourism","No relation or unclear",4,0.142857142857143
"58","Plants/Trees/Shrubs","Trade","Beneficial",1,0.0357142857142857
"59","Plants/Trees/Shrubs","Trade","Detrimental",1,0.0357142857142857
"60","Plants/Trees/Shrubs","Trade","No relation or unclear",2,0.0714285714285714
"61","Plants/Trees/Shrubs","Water Transfer","Beneficial",1,0.0357142857142857
"62","Plants/Trees/Shrubs","Water Transfer","Detrimental",1,0.0357142857142857
"63","Reptiles","Investment","Detrimental",1,0.25
"64","Reptiles","Tourism","No relation or unclear",1,0.25
"65","Reptiles","Trade","Detrimental",1,0.25
"66","Reptiles","Trade","No relation or unclear",1,0.25
