"","metric_type","metric","tc","sig_effect","count"
"1","single species","Abundance/Density","Energy Transfer","Beneficial",7
"2","single species","Abundance/Density","Energy Transfer","Detrimental",9
"3","single species","Abundance/Density","Energy Transfer","Not significant or unclear",10
"4","single species","Abundance/Density","Investment","Detrimental",2
"5","single species","Abundance/Density","Investment","Not significant or unclear",1
"6","single species","Abundance/Density","Knowledge Transfer","Beneficial",1
"7","single species","Abundance/Density","Knowledge Transfer","Changed",41
"8","single species","Abundance/Density","Knowledge Transfer","Detrimental",2
"9","single species","Abundance/Density","Knowledge Transfer","Not significant or unclear",12
"10","single species","Abundance/Density","Migration (human)","Beneficial",1
"11","single species","Abundance/Density","Migration (human)","Detrimental",5
"12","single species","Abundance/Density","Migration (human)","Not significant or unclear",2
"13","single species","Abundance/Density","Species Dispersal","Beneficial",1
"14","single species","Abundance/Density","Species Dispersal","Changed",3
"15","single species","Abundance/Density","Species Dispersal","Detrimental",1
"16","single species","Abundance/Density","Species Dispersal","Not significant or unclear",13
"17","single species","Abundance/Density","Tourism","Beneficial",6
"18","single species","Abundance/Density","Tourism","Changed",1
"19","single species","Abundance/Density","Tourism","Detrimental",30
"20","single species","Abundance/Density","Tourism","Not significant or unclear",18
"21","single species","Abundance/Density","Trade","Detrimental",26
"22","single species","Abundance/Density","Trade","Not significant or unclear",4
"23","single species","Abundance/Density","Waste Transfer","Not significant or unclear",1
"24","single species","Movement","Tourism","Detrimental",2
"25","single species","Movement","Tourism","Not significant or unclear",3
"26","single species","Occurrence","Energy Transfer","Beneficial",1
"27","single species","Occurrence","Investment","Beneficial",1
"28","single species","Occurrence","Species Dispersal","Detrimental",1
"29","single species","Occurrence","Tourism","Beneficial",1
"30","single species","Occurrence","Tourism","Detrimental",2
"31","single species","Occurrence","Tourism","Not significant or unclear",12
"32","single species","Occurrence","Trade","Beneficial",4
"33","single species","Occurrence","Trade","Detrimental",1
"34","single species","Occurrence","Trade","Not significant or unclear",155
"35","single species","Population Dynamics","Investment","Detrimental",1
"36","single species","Population Dynamics","Knowledge Transfer","Detrimental",1
"37","single species","Population Dynamics","Tourism","Beneficial",1
"38","single species","Population Dynamics","Trade","Detrimental",3
"39","single species","Within Species Diversity","Energy Transfer","Beneficial",1
"40","single species","Within Species Diversity","Energy Transfer","Changed",8
"41","single species","Within Species Diversity","Energy Transfer","Detrimental",2
"42","single species","Within Species Diversity","Energy Transfer","Not significant or unclear",11
"43","single species","Within Species Diversity","Investment","Beneficial",1
"44","single species","Within Species Diversity","Species Dispersal","Changed",2
"45","single species","Within Species Diversity","Species Dispersal","Not significant or unclear",4
"46","single species","Within Species Diversity","Tourism","Beneficial",1
"47","single species","Within Species Diversity","Tourism","Detrimental",2
"48","single species","Within Species Diversity","Trade","Detrimental",1
"49","multiple species","Abundance/Density","Energy Transfer","Beneficial",1
"50","multiple species","Abundance/Density","Energy Transfer","Changed",1
"51","multiple species","Abundance/Density","Energy Transfer","Not significant or unclear",1
"52","multiple species","Abundance/Density","Investment","Beneficial",1
"53","multiple species","Abundance/Density","Investment","Detrimental",1
