"metric_type","metric","tele_cat","sig_sig_effect","count"
"single species","Abundance/Density","Energy Transfer","Beneficial",7
"single species","Abundance/Density","Energy Transfer","Detrimental",8
"single species","Abundance/Density","Energy Transfer","Not Signif.",10
"single species","Abundance/Density","Energy Transfer","Unknown Signif.",1
"single species","Abundance/Density","Investment","Detrimental",2
"single species","Abundance/Density","Knowledge Transfer","Beneficial",1
"single species","Abundance/Density","Knowledge Transfer","Changed",41
"single species","Abundance/Density","Knowledge Transfer","Not Signif.",11
"single species","Abundance/Density","Knowledge Transfer","Unknown Signif.",1
"single species","Abundance/Density","Migration (human)","Beneficial",1
"single species","Abundance/Density","Migration (human)","Not Signif.",2
"single species","Abundance/Density","Species Dispersal","Beneficial",1
"single species","Abundance/Density","Species Dispersal","Changed",3
"single species","Abundance/Density","Species Dispersal","Not Signif.",13
"single species","Abundance/Density","Tourism","Beneficial",4
"single species","Abundance/Density","Tourism","Changed",1
"single species","Abundance/Density","Tourism","Detrimental",22
"single species","Abundance/Density","Tourism","Not Signif.",16
"single species","Abundance/Density","Tourism","Unknown Signif.",9
"single species","Abundance/Density","Tourism;Investment","Unknown Signif.",1
"single species","Abundance/Density","Trade","Detrimental",18
"single species","Abundance/Density","Trade","No relation or unclear",1
"single species","Abundance/Density","Trade","Not Signif.",3
"single species","Abundance/Density","Trade;Migration (human)","Detrimental",5
"single species","Abundance/Density","Trade;Species Dispersal","Unknown Signif.",1
"single species","Abundance/Density","Trade;Tourism;Knowledge Transfer","Detrimental",2
"single species","Abundance/Density","Waste Transfer","Not Signif.",1
"single species","Abundance/Density",NA,"Beneficial",1
"single species","Movement","Tourism","Detrimental",2
"single species","Movement","Tourism","No relation or unclear",1
"single species","Movement","Tourism","Not Signif.",2
"single species","Occurrence","Energy Transfer","Beneficial",1
"single species","Occurrence","Investment","Unknown Signif.",1
"single species","Occurrence","Species Dispersal","Unknown Signif.",1
"single species","Occurrence","Tourism","Detrimental",2
"single species","Occurrence","Tourism","Not Signif.",3
"single species","Occurrence","Tourism","Unknown Signif.",10
"single species","Occurrence","Trade","Unknown Signif.",160
"single species","Occurrence",NA,"Beneficial",1
"single species","Occurrence",NA,"Not Signif.",6
"single species","Occurrence",NA,"Unknown Signif.",1
"single species","Population Dynamics","Knowledge Transfer;Investment","Detrimental",1
"single species","Population Dynamics","Tourism","Beneficial",1
"single species","Population Dynamics","Trade","Unknown Signif.",3
"single species","Within Species Diversity","Energy Transfer","Beneficial",1
"single species","Within Species Diversity","Energy Transfer","Changed",8
"single species","Within Species Diversity","Energy Transfer","Not Signif.",11
"single species","Within Species Diversity","Energy Transfer","Unknown Signif.",2
"single species","Within Species Diversity","Species Dispersal","Changed",2
"single species","Within Species Diversity","Species Dispersal","Not Signif.",4
"single species","Within Species Diversity","Tourism","Detrimental",2
"single species","Within Species Diversity","Tourism;Investment","Unknown Signif.",1
"single species","Within Species Diversity","Trade","Unknown Signif.",1
"single species","Within Species Diversity",NA,"Detrimental",1
"multiple species","Abundance/Density","Energy Transfer","Changed",1
"multiple species","Abundance/Density","Energy Transfer","Not Signif.",1
"multiple species","Abundance/Density","Energy Transfer","Unknown Signif.",1
"multiple species","Abundance/Density","Investment","Beneficial",1
"multiple species","Abundance/Density","Investment","Not Signif.",1
"multiple species","Abundance/Density","Knowledge Transfer","Beneficial",5
"multiple species","Abundance/Density","Knowledge Transfer","No relation or unclear",1
"multiple species","Abundance/Density","Knowledge Transfer","Not Signif.",1
"multiple species","Abundance/Density","Knowledge Transfer","Unknown Signif.",1
