"","timestamp","paper_id","taxa","entry_id","taxon_or_func","biodiv_cat_1sp","biodiv_cat_multsp","biodiv_cat_habitat","scale","biodiv_temp_res","effect","significant","p_value","notes","coder_id","entry"
"12","2020-03-18 20:07:38",357,"Reptiles","1","Taxonomic","Movement","",NA,NA,"Seasonal","Neutral","FALSE","0.07","","A_Torres","1"
"13","2020-03-18 20:09:45",357,"Reptiles","2","Taxonomic","Movement","",NA,NA,"Seasonal","Unclear","TRUE","0.04","Home range (minimum convex polygon). Smaller home ranges in disturbed areas do not necessarily mean a negative impact. The authors conclude that there are not strong changes in movement patterns. ","A_Torres","2"
"14","2020-03-18 20:11:11",357,"Reptiles","3","Taxonomic","Movement",NA,NA,NA,"Seasonal","Negative (detrimental)","TRUE","0.02","Core area size. Smaller core area in disturbed areas do not necessarily mean a negative impact. The authors conclude that there are not strong changes in movement patterns. ","A_Torres","3"
"15","2020-03-18 20:12:14",357,"Reptiles","4","Taxonomic","Movement","",NA,NA,"Seasonal","Negative (detrimental)","TRUE","0.01","Range length. Shorter range in disturbed areas do not necessarily mean a negative impact. The authors conclude that there are not strong changes in movement patterns. ","A_Torres","4"
"16","2020-03-18 20:13:07",357,"Reptiles","5","Taxonomic","","",NA,NA,"Seasonal","Neutral","FALSE","0.06","Maximum distance traveled from hibernacula","A_Torres","5"
"90","2020-03-18 16:15:27",4155,"Birds","15","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Seasonal","Neutral","FALSE","0.68","Hooded warbler (Setophaga citrina)","MG_Chung","15"
"92","2020-03-18 16:17:02",4155,"Birds","17","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Seasonal","Neutral","FALSE","0.76","Black-throated blue warbler (Setophaga caerulescens)","MG_Chung","17"
"208","2020-04-16 18:23:00",2670,"Invertebrates","1","Taxonomic","","Richness (number of species)",NA,NA,"Seasonal","Negative (detrimental)","TRUE","0.022","Taxa richness vs. Tourism stress","A_Torres","1"
"240","2020-04-27 17:44:22",3484,"Invertebrates","4","Taxonomic",NA,"Composition (what species?)",NA,NA,"Hourly","Changed (e.g. species composition)","Not evaluated","","","C_Hovis","4"
"241","2020-04-27 17:44:25",3484,"Invertebrates","3","Taxonomic",NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,NA,"Hourly","Neutral (only when there is absolutely no difference in metrics)","FALSE","","no p-vals reported, just says >0.05","C_Hovis","3"
"242","2020-04-27 17:44:26",3484,"Invertebrates","2","Taxonomic",NA,"Richness (number of species)",NA,NA,"Hourly","Neutral (only when there is absolutely no difference in metrics)","FALSE","","no p-vals reported, just says >0.05","C_Hovis","2"
"243","2020-04-27 17:44:28",3484,"Invertebrates","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,NA,"Hourly","Negative (detrimental)","TRUE","0.003","assemblage density","C_Hovis","1"
"286","2020-04-28 18:13:15",134,"Invertebrates","4","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","FALSE","","Rubra day count and invasive tree, p-val >0.05 but exact not given","C_Hovis","4"
"287","2020-04-28 18:13:16",134,"Invertebrates","5","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","TRUE","","Rubra day count and invasive fish, p-val <0.05 but exact not given","C_Hovis","5"
"288","2020-04-28 18:13:18",134,"Invertebrates","6","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","FALSE","","Rubra night count and invasive tree, p-val >0.05 but exact not given","C_Hovis","6"
"289","2020-04-28 18:13:20",134,"Invertebrates","7","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","FALSE","","Rubra night count and invasive fish, p-val >0.05 but exact not given","C_Hovis","7"
"290","2020-04-28 18:13:22",134,"Invertebrates","8","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","FALSE","","Rubra migration count and invasive tree, p-val >0.05 but exact not given","C_Hovis","8"
"291","2020-04-28 18:13:25",134,"Invertebrates","9","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","FALSE","","Rubra migration count and invasive fish, p-val >0.05 but exact not given","C_Hovis","9"
"292","2020-04-28 18:23:21",134,"Invertebrates","10","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","FALSE","","lohena day count and invasive tree,, p-val >0.05 but exact not given","C_Hovis","10"
"293","2020-04-28 18:23:26",134,"Invertebrates","11","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","TRUE","","lohena day count and invasive fish,, p-val <0.05 but exact not given","C_Hovis","11"
"294","2020-04-28 18:23:28",134,"Invertebrates","12","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","FALSE","","lohena night count and invasive tree, p-val >0.05 but exact not given","C_Hovis","12"
"295","2020-04-28 18:23:30",134,"Invertebrates","13","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","TRUE","","lohena night count and invasive fish, p-val <0.05 but exact not given","C_Hovis","13"
"296","2020-04-28 18:23:32",134,"Invertebrates","14","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","FALSE","","lohena migration and invasive tree, p-val >0.05 but exact not given","C_Hovis","14"
"297","2020-04-28 18:33:18",134,"Invertebrates","15","Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,NA,"Seasonal","Changed (e.g. species composition)","TRUE","","Rubra length and invasive tree","C_Hovis","15"
"298","2020-04-28 18:33:20",134,"Invertebrates","16","Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,NA,"Seasonal","Changed (e.g. species composition)","TRUE","","Rubra length and invasive fish","C_Hovis","16"
"299","2020-04-28 18:33:22",134,"Invertebrates","17","Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,NA,"Seasonal","Changed (e.g. species composition)","FALSE","","Rubra small body condition and invasive tree","C_Hovis","17"
"300","2020-04-28 18:33:27",134,"Invertebrates","18","Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,NA,"Seasonal","Changed (e.g. species composition)","FALSE","","Rubra small body condition and invasive fish","C_Hovis","18"
"301","2020-04-28 18:33:32",134,"Invertebrates","19","Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,NA,"Seasonal","Changed (e.g. species composition)","FALSE","","Rubra large body condition and invasive tree, may be moderately sig","C_Hovis","19"
