"","taxa","effect","count","perc_per_taxa"
"1","Amphibians","Changed (e.g. species composition)",1,0.2
"2","Amphibians","Negative (detrimental)",1,0.2
"3","Amphibians","Neutral (only when there is absolutely no difference in metrics)",3,0.6
"4","Birds","Changed (e.g. species composition)",47,0.124338624338624
"5","Birds","Negative (detrimental)",87,0.23015873015873
"6","Birds","Neutral (only when there is absolutely no difference in metrics)",188,0.497354497354497
"7","Birds","Positive (beneficial)",50,0.132275132275132
"8","Birds","Unclear",6,0.0158730158730159
"9","Fish","Changed (e.g. species composition)",19,0.218390804597701
"10","Fish","Negative (detrimental)",32,0.367816091954023
"11","Fish","Neutral (only when there is absolutely no difference in metrics)",17,0.195402298850575
"12","Fish","Positive (beneficial)",18,0.206896551724138
"13","Fish","Unclear",1,0.0114942528735632
"14","Invertebrates","Changed (e.g. species composition)",36,0.227848101265823
"15","Invertebrates","Negative (detrimental)",83,0.525316455696203
"16","Invertebrates","Neutral (only when there is absolutely no difference in metrics)",22,0.139240506329114
"17","Invertebrates","Positive (beneficial)",12,0.0759493670886076
"18","Invertebrates","Unclear",5,0.0316455696202532
"19","Mammals","Changed (e.g. species composition)",2,0.0408163265306122
"20","Mammals","Negative (detrimental)",37,0.755102040816326
"21","Mammals","Neutral (only when there is absolutely no difference in metrics)",1,0.0204081632653061
"22","Mammals","Positive (beneficial)",8,0.163265306122449
"23","Mammals","Unclear",1,0.0204081632653061
"24","Multiple","Negative (detrimental)",15,0.789473684210526
"25","Multiple","Positive (beneficial)",3,0.157894736842105
"26","Multiple","Unclear",1,0.0526315789473684
"27","Plants/Trees/Shrubs","Changed (e.g. species composition)",11,0.142857142857143
"28","Plants/Trees/Shrubs","Negative (detrimental)",34,0.441558441558442
"29","Plants/Trees/Shrubs","Neutral (only when there is absolutely no difference in metrics)",7,0.0909090909090909
"30","Plants/Trees/Shrubs","Positive (beneficial)",25,0.324675324675325
"31","Reptiles","Negative (detrimental)",5,0.454545454545455
"32","Reptiles","Neutral (only when there is absolutely no difference in metrics)",3,0.272727272727273
"33","Reptiles","Unclear",3,0.272727272727273
